speaker,Start Time,timestamp,words,tags
Dr. Jim Gentry,[00:06:44:28],[00:06:44:28],"Well, the the of course, the issue again was how to get rid of the water and who was responsible and so forth. But what they discovered fairly quickly is that if they would drill wells, the water would come gushing up out of the the, the, soil. And then, of course, the problem is what happens to the water.",
Dr. Jim Gentry,[00:07:08:10],[00:07:08:10],"And, if you and I had a big puddle of water, they were trying to get rid of it, make a little ditch. And but the problem here was that the ditches did not have slant. They didn't have any angle to them. So they would get the water up from the, wells, but the water would just sit there.",
Dr. Jim Gentry,[00:07:32:04],[00:07:32:04],"And so what they had to figure out was how to get, the water moving. So another thing they did with the wells was they would dig ditches, including big ditches, and, try to divert the water through the ditches. But again, the problem was that they did not want to, drain because of the lack of, of an angle.",
Dr. Jim Gentry,[00:07:59:01],[00:07:59:01],"So the the ultimate trick with the tunnels was to get an angle so the water would go down instead of remain flat, or. That makes any sense?",
Johanna Bringhurst,[00:08:11:28],[00:08:11:28],"Yeah. Yeah. So from around 1911 through the 1920s, a company tried these different techniques. Who was it who came up with the idea of trying to put tunnels under the land to allow for drainage?",
Dr. Jim Gentry,[00:08:28:12],[00:08:28:12],"Well, that's. And then the like, so many historical things that began, and the people at the time don't realize what a, what a unique development. And so it's not documented as well as we might like, but there had been a lot of interest and it had been observed that, the water was seeping not very far from the snake or River canyon.",
Dr. Jim Gentry,[00:08:55:21],[00:08:55:21],"If you could just get if you could just get the water in some cases of matter 2 or 300ft closer to the canyon than it would fall, there. So there was experimentation. But the fella who we'd have to, to give credit, was Burton Smith, and he was the, general manager from 1924 to 28.",
Dr. Jim Gentry,[00:09:23:05],[00:09:23:05],"And, he took some, severe risk because the directors of the canal company, didn't think this was going to work. And so Smith says, in essence, I'm going to try it anyway. And, so the first, canal that, began to be, driven was in 1924. And there were some experiments a little bit before that trying to figure out what might happen.",
Dr. Jim Gentry,[00:09:56:12],[00:09:56:12],"But definitely. And that's one of the best known of the tunnels. The fish actually tunnel, that, would become very much a model.",
Johanna Bringhurst,[00:10:08:26],[00:10:08:26],Where the tunnels created what was the process of driving a new tunnel?,
Dr. Jim Gentry,[00:10:15:20],[00:10:15:20],"Well, it was a very, complicated process. I'm glad you asked that question, because I think that if we just look at it and you say, well, I just drive the tunnel, well, one of the questions that had to be solved before you could do anything else was determine where is the town going to go. And that was the engineers, for the Twin Falls Canal Company had to work it all out.",
Dr. Jim Gentry,[00:10:39:09],[00:10:39:09],"And believe it or not, these wells, I'm telling you about the wells had to be lined up with the tunnels because the water was going to come, up out of the well and would be going down through the tunnel. So, the process of, determining that that once they had decided where the tunnel should go.",
Dr. Jim Gentry,[00:11:01:11],[00:11:01:11],"And you can imagine there was a lot of discussion that the, the shareholders, the people who, who were members of the Twin Falls Canal Company, the farmers are all shareholders, they all own shares in that. So you can imagine each one wanting to get the tunnel, the best position for them. But, fundamentally, what happened was that the tunnels had to be driven, not dug.",
Dr. Jim Gentry,[00:11:31:04],[00:11:31:04],"And the reason we need to use that understanding is that this was a minor process. It was not a matter of digging in the dirt. And, so they would find out where they wanted to put the tunnel. Then they would use massive, compressors and fortunately, by this time, by 1924, the, you know, the internal combustion engine was very effective, but they would use a compressor, go in, then they'd put in the dynamite and then boil it, and then they would have each tunnel would have, rails for a little or car so that they knew the material that had been there.",
Dr. Jim Gentry,[00:12:20:12],[00:12:20:12],"The exploded. The rocks which had been crushed then had to be hauled out. And they said that 4 or 5ft a day, would have been oftentimes all they could make it was a very, very slow process.",
Johanna Bringhurst,[00:12:39:04],[00:12:39:04],"It sounds so time consuming and it's so draining, like a lot of hard labor.",
Dr. Jim Gentry,[00:12:47:13],[00:12:47:13],"And you have to figure out, who's going to do this. And so they had to put out bids for contractors and they would have multiple bids. As you can imagine. These bids in the wood, the canal company directors would select the contractor based upon the bids, and you can tell when you look through them as they had certain individuals who had done a lot of work for them.",
Dr. Jim Gentry,[00:13:17:23],[00:13:17:23],And there was a trust factor there. And so you see a lot of recurring names.,
Johanna Bringhurst,[00:13:24:11],[00:13:24:11],"For the next few years. The Twin Falls Canal Company continued to contract for more tunnels to be built. Meanwhile, the Twin Falls area underwent significant growth and development. That Perrine bridge, is that how you see it? Perry Ryan Prime Bridge was constructed by the American Falls Dam was finished, and the extension of the railroad 1927 was a big year for that area.",
Johanna Bringhurst,[00:13:56:11],[00:13:56:11],How else was Twin Falls changing during that time?,
Dr. Jim Gentry,[00:14:01:15],[00:14:01:15],"Well, part of the problem Twin Falls and had was that right after World War one, there had been a major agricultural recession from 1920 to about 23. And what had happened is that during the war, there had been all this pressure to increase wheat production and everything. Then once the war ended in 1918, the Germans and the English.",conflict
Dr. Jim Gentry,[00:14:27:09],[00:14:27:09],"And so what they wanted to create, they wanted to cultivate their own wheat. And so there was, so there was a glut. So that complicated that period just before the tunnels, that period just before 1924 was a tough, period in general. But starting around 1924, 1925, the economy began to pick up, significantly. And one of the things that occurs is that there had, as a result of the agricultural depression, they had learned the need to do, crop rotations, use different crops.",agriculture
Dr. Jim Gentry,[00:15:09:10],[00:15:09:10],"Beans became very important. So the economy in general during the 20s and, began to boom. And a lot of it is tied to new technology. We've all heard of the roaring 20s. Well, part of the rower was interested in anything that was new and new technologies or new dancing radios, automobiles. And then, of course, when you have automobiles, you have to have tires and gasoline.",
Dr. Jim Gentry,[00:15:40:29],[00:15:40:29],"And so all those things, fit together. Also, during the 20s, the, airplanes became, important. And so airports had to be built. And so in a sense, what happens is that a lot of the economy is booming, because of this new technology. And, of course, when we look at, the prime bridge, that wouldn't have been built had it not been for the automobiles.",
Johanna Bringhurst,[00:16:16:12],[00:16:16:12],"Of course. So the Twin Falls Canal Company, as you said, was, buying equipment that had these latest advances in technology and they had to take on a lot of debt to make those purchases, to keep building tunnels. How did they continue to operate while building more tunnels into the 1930.",
Dr. Jim Gentry,[00:16:41:07],[00:16:41:07],"Grand Falls Canal Company faced the same problems that sometimes we face, and that is often there's a desire for more goods and services than we have money to pay for. And that became a real controversial issue with the canal company. In fact, two of the at least two of the general managers lost their jobs because of the issue of debt.",economy
Dr. Jim Gentry,[00:17:10:04],[00:17:10:04],"And so, yeah, yeah, that accumulated, and the question of how to create tunnels and how to finance them. There was a lot of, a lot of money being put into the tunnels. But when we get to the depression, for instance, there's only, three tunnels that are done over, a year. In other words, we can look and see the relationship between the economy and the building of the of the tunnels, as you could imagine.",
Johanna Bringhurst,[00:17:47:25],[00:17:47:25],"So I'm wondering, how did the Great Depression impact the Twin Falls area?",
Dr. Jim Gentry,[00:17:52:29],[00:17:52:29],Oh my gosh. Yeah. One of the.,
Johanna Bringhurst,[00:17:56:29],[00:17:56:29],Brutal.,
Dr. Jim Gentry,[00:17:57:29],[00:17:57:29],"One of the things that's so interesting is when you look at the the early twin, well, the mid 20s, from about 25 to 29, the economy is doing relatively well in this area. I know there were some places where that was not so true, but in this area there's all kinds of evidence that the economy was really doing well.",
Dr. Jim Gentry,[00:18:22:22],[00:18:22:22],"But we have to look at that through the eyes of someone who doesn't know so much, because it's easy. I used to tell my students, it's easy for us to sit around and think that the people in 1928 were just thinking about, oh gosh, the depression is going to be coming next year. Well, you didn't know that then.",
Dr. Jim Gentry,[00:18:45:07],[00:18:45:07],"And so the same thing is, true here. And the building of, the economy, came to a screeching halt, during the depression. There were simply was a lack of capital and it impacted everything. The number of visitors to Yellowstone, to any number of factors. And so the price of, commodities dropped dramatically as a result of that, the farmers could not make payments on their farms.",
Dr. Jim Gentry,[00:19:21:14],[00:19:21:14],"Foreclosures occurred. So up until from about from about 29 late 29 up to about, 33, 34, things were really tough.",
Johanna Bringhurst,[00:19:38:18],[00:19:38:18],One of the interesting things about Idaho's history is that President Roosevelt's New Deal programs really had an impact in our state. Can you tell me more about the New Deal programs that impacted the Twin Falls area?,
Dr. Jim Gentry,[00:19:56:13],[00:19:56:13],"Yes. You know, I want to get started to life here.",
Johanna Bringhurst,[00:20:01:24],[00:20:01:24],But is this a favorite subject? Jim?,
Dr. Jim Gentry,[00:20:04:20],[00:20:04:20],"There's kind of, there's, there's kind of two new deals. There's one from 33 until 35, and then 35 things, start changing very rapidly back in, in the early days, after Roosevelt came into office, one of the big issues was trying to get jobs for individuals and also trying to stimulate the local economy.",
Dr. Jim Gentry,[00:20:32:29],[00:20:32:29],"So one of the developments we see is the CCC program. The Civilian Conservation Corps. And one of the things that made those so valuable is that the foodstuffs for the people working in the Civil Conservation Corps were purchased from local merchants. So that really brought some money into the economy. And even though Twin Falls was not, the CCC were not working for the canal company, they were still impacting, but more specifically on the canal company, the, Public Works Administration, which was very effective in their very early years, began to put a lot of, of, people to work for the canal company and,",environment
Dr. Jim Gentry,[00:21:28:13],[00:21:28:13],"they were involved in, working with the canals. They had to be careful to not get them in too much dangerous. It's interesting to see how the the employees of the canal company were involved in handling the dynamite. So. And, so, anyway, a major factor was that the farm loans, the, creation of the Southern Idaho Production Credit Association.",
Dr. Jim Gentry,[00:22:01:20],[00:22:01:20],"And in the middle of 1934, the the local paper talks about how the Twin Falls, courthouse was full of farmers who were getting their farm arms re, or getting them re, calculated and that, of course, cut down on foreclosures significantly. And I find that a lot of memories that people have, older people and of course, a lot of those older people are gone now, but they remember they don't remember the good times between 36 and 39.",conflict
Dr. Jim Gentry,[00:22:39:05],[00:22:39:05],"They tend to remember all of it is just one big depression. But statistically. And then my in the middle and on the edge of included a lot of that kind of stuff. But statistically the the bank or the banks were getting major deposits from the farmers. One I get a kick out in 1936, Twin Falls County sold more automobiles than any other county in Idaho, and the paper bragged about they even beat Boise.",boise
Dr. Jim Gentry,[00:23:09:14],[00:23:09:14],"Even need. Hey, the county, you know. So the newspaper, the wonderful job of tracking, you know, what was going on.",
Johanna Bringhurst,[00:23:17:10],[00:23:17:10],So there was a housing boom in Twin Falls. But what happened when Pearl Harbor was attacked and the U.S. became involved in World War Two?,
Dr. Jim Gentry,[00:23:31:01],[00:23:31:01],"I like the one. One thing I didn't mention is very important. You know my book at Sun Valley, in 1936. So I like to go back and insert that. Maybe we can I can just give a and then you can go back to your question. How's that.",
Johanna Bringhurst,[00:23:47:06],[00:23:47:06],Yeah. Tell us more about what was going on in Sand Valley. And then we'll catch up to World War two.,
Dr. Jim Gentry,[00:23:52:27],[00:23:52:27],"Yeah. One of the really important developments, for the Twin Falls area was the opening of Sun Valley in 1936. And this brought in a lot of capital, from Union Pacific. And there was a pride in this. There was the idea that if Sun Valley, if Union Pacific was worth, if Union Pacific was going to spend that kind of money, then, twin Falls ought to have an up to date bus station.",
Dr. Jim Gentry,[00:24:25:06],[00:24:25:06],"It should have good train transportation and, and movement of, of goods. And so a lot of this, including the demand to remove the toll from the prime bridge when the bridge was built in 1927, it had, been a toll bridge. And, the paper kept saying, if Union Pacific can spend that much, on the skiing, then the least we can do is provide a free bridge.",
Dr. Jim Gentry,[00:24:58:23],[00:24:58:23],"And so the tolls were removed in 1940, you know, and had a great impact on the economy. But it also was a reflection, of the, the impact of, Sun Valley on the economy. Yeah. Thank you. I garbled that a bit. But anyway.",
Johanna Bringhurst,[00:25:20:12],[00:25:20:12],"No, that was a great. Yeah. So then, catch us up to World War two and how that impacted Twin Falls.",
Dr. Jim Gentry,[00:25:29:15],[00:25:29:15],"Okay, so between 36 and 39, the economy had began to, improve, but there had still been, general issue of a problem of, too many employees, problems of unemployment. But as the horizons for World War Two began to look worse and worse, that began to shift even even before Pearl Harbor and 38, for example, the Idaho, Twin Falls was involved in, providing potatoes, for the little lace program and so forth.",conflict
Dr. Jim Gentry,[00:26:16:27],[00:26:16:27],"But, along comes Pearl Harbor and all of a sudden we're no longer looking at the war that's going on over there. But we're now looking at a war that is impacting directly. It was had enormous impact in terms of reshuffling population, people who had been farm workers. There was now advertisements and the, Twin Falls paper for aluminum workers needed in Portland, Oregon and so forth.",conflict
Dr. Jim Gentry,[00:26:48:24],[00:26:48:24],"So that was a massive, movement of population. But around that, there was a shortage. There was a shortage of labor, which of course, helped, if you were looking for a job that was very helpful. This also as a result of Pearl Harbor, and the United States entering the war, we have the impact of the, Minidoka relocation camp and, Japanese and Japanese Americans brought into this area.",conflict;migration
Dr. Jim Gentry,[00:27:23:08],[00:27:23:08],"Not because they wanted to, but because, they were, relocated. So lots going on there. But a lot of the economy that was for people who were, living and were involved there was not the soldiers, but the home. People had the same kind of, good quote unquote economy, that they had had earlier, because now in their depression, you were trying to figure out, what are you going to do with pigs because you have excess pigs now, Aries, amount of food that could be produced was needed.",
Dr. Jim Gentry,[00:28:05:27],[00:28:05:27],And so I think that era as a good term is feeling needed. The farmers.,
Johanna Bringhurst,[00:28:12:17],[00:28:12:17],But still the seepage issues persisted and tunnels were continually being constructed. Was that. Yeah.,
Dr. Jim Gentry,[00:28:21:27],[00:28:21:27],"The the seepage problem. And we find this later on. I won't get into the details on it, but the seepage problem peaked around 1939. The water accumulation after 1939 was still there, but it was not coming at this just impossible rate. As a result of that, there continued to be tunnels, that were driven, up to 1951, but they were not driven as long as what those tunnels were.",
Dr. Jim Gentry,[00:28:59:23],[00:28:59:23],"Maybe, 100, 200ft in compared to the longest tunnel, the auxiliary tunnel, which was about a mile and a half. So, there's definitely a shift. And also part of the, dilemma of the, the company is that the cost of driving these tunnels had increased significantly with World War two. There was a need, for, more and more, you know, money shall always say.",conflict
Dr. Jim Gentry,[00:29:38:29],[00:29:38:29],"And as a result of that inflation. So it was costing by the time of the last mile. It was costing about double what it did in 1928 for a, for a foot of rock being removed.",
Johanna Bringhurst,[00:29:54:26],[00:29:54:26],Double the cost.,
Dr. Jim Gentry,[00:29:56:21],[00:29:56:21],Pardon me.,
Johanna Bringhurst,[00:29:57:19],[00:29:57:19],Double the cost. Yes.,
Dr. Jim Gentry,[00:29:59:22],[00:29:59:22],Yeah. And did the.,
Johanna Bringhurst,[00:30:02:14],[00:30:02:14],Tunnel. Sorry. Keep going.,
Dr. Jim Gentry,[00:30:05:00],[00:30:05:00],"Just going to say in 1928, 29. I want to get too precise on my bet. About $7.50 per foot for, you know, excavating the tunnels by the last ones by 1951. We're looking at $14 a foot. So you can imagine the canal coming in. And one of the things that complicated this period for the canal company is the need for security.",
Dr. Jim Gentry,[00:30:34:07],[00:30:34:07],"We don't think about that too much, but the too involved canal company hired, security 24 hours a day because of the fear of, sabotage or, you know, destruction of, and, that ended up being, an issue that was big for the company. But they stopped that. I think it was in 1944. It was stopped before the end of the war.",conflict
Dr. Jim Gentry,[00:31:00:20],[00:31:00:20],"It was there was enough confidence that, sabotage was not going to blow out the dams, apparently. So.",
Johanna Bringhurst,[00:31:11:25],[00:31:11:25],So did the tunnels last for a long time. Were they well made and well constructed?,
Dr. Jim Gentry,[00:31:17:25],[00:31:17:25],"You know, those tunnels are still there. And, I went through, some of the tunnels and you can see engineer remarks that were made, you know, many, many years ago in the 20s or 30s and, this, we mentioned, Brian Olmstead earlier. Brian's, great friend. And and while I wrote the book, he helped me so much on some of the details.",
Dr. Jim Gentry,[00:31:46:19],[00:31:46:19],"But, one of the things that he pointed out is that, these tunnels were made possible by the ravines and the, canyon which exists in this area, like the Rock Creek canyon. And there's a mud creek and various tunnels under there. Ice, toe. Excuse me. Various, canyons. And without those canyons, the the tunnel wouldn't work.",
Dr. Jim Gentry,[00:32:18:15],[00:32:18:15],"There wouldn't have been any place to. Because you see a lot of the tunnels doing is giving a larger slope so I can slow down the, into the, into the canyon. But anyway, the, tunnels have survived. One of the things that I didn't mention is very important was the importance, these tunnels for Fish hatchery, that when the water came out of the first tunnel that was built in 1924, when the water came out, the water, was about 58 degrees.",
Dr. Jim Gentry,[00:33:02:08],[00:33:02:08],"And it just so happens that that was exactly, the right temperature for raising fish. And so, and I have, in, in the book, there's several pictures of showing these, these fish arches as they exist today. There used to be more, smaller ones that earlier time. But yeah, the the tunnels that have stood the test of time.",
Dr. Jim Gentry,[00:33:30:06],[00:33:30:06],"One of the issues are the 51 tunnels. Most of them are on private property. And so you really we're we're trying to look at some ways of opening up, maybe 2 or 3 tunnels for examination, but they really are on private property. So you can't see them, but they're they're.",
Johanna Bringhurst,[00:33:51:06],[00:33:51:06],"The fish hatchery is such an unexpected benefit. The tunnels, were there other unexpected ways that the tunnels benefited the area?",
Dr. Jim Gentry,[00:34:01:15],[00:34:01:15],"Yes, there were a a good example is when you think about the Twin Falls area, the Rock Creek Canyon, of course, goes right through the middle of, Twin Falls. And we think of Rock Creek Canyon. It was very dry because there was water from the canals, the irrigation canals during the, irrigation season. But the water is turned off in October whenever that date is.",
Dr. Jim Gentry,[00:34:31:20],[00:34:31:20],"And so what happens is all the greenery that you see not only in Rock Creek, but in Mud Creek and some of these other, areas. All that extra greenery is really a product of the tunnels, so that the trees, the area for birds, you know, the habitat. And so that was something that was not anticipated. In terms of a real advantage of those times.",
Johanna Bringhurst,[00:35:06:17],[00:35:06:17],"That's incredible. It's amazing to think that this once desert turned into, somewhat of a floodplain and that the tunnels that were built so long ago are still so they're still functioning and but it's all hidden. Where? Where you wouldn't know you can't go.",
Dr. Jim Gentry,[00:35:30:00],[00:35:30:00],"Well, you know, I have told, a number of people that the tunnels were so successful. So that's why we don't know more about them. Because when you're driving around in that and the land that's irrigated by the German Falls Canal Company, you don't see marsh area and you don't see marsh area because the tunnel worked well. Now, part of that also is that the water table, with pumpers, and the, the canal company is worrying too much about the water being too high these days.",
Dr. Jim Gentry,[00:36:03:01],[00:36:03:01],"They're more concerned about it being low with, the access usage, but nevertheless, the tunnels worked very, very well. And there are like a lot of other things of life is that the better they're working, the less observable they are. You know, it's kind of like us doing our jobs on a day to day basis if, if we're doing it well, and probably for the most part, there's not a big deal associated with it.",
Dr. Jim Gentry,[00:36:31:27],[00:36:31:27],"You know, it's just there.",
Johanna Bringhurst,[00:36:35:09],[00:36:35:09],"I agree, I think there's something noble in that, right? Doing good work and not being appreciated or that. Yeah. So it's nice to give some love to these tunnels and the people who had so much time and work and effort into building them.",
Dr. Jim Gentry,[00:36:55:09],[00:36:55:09],"Yes, they did. And, it was a real privilege, for my part, because I started working on this about three years ago. Back in 2003, I had written this book in the middle, on the edge about Twin Falls, and there was one paragraph, in my book on the title that shows you how little I knew.",
Dr. Jim Gentry,[00:37:18:19],[00:37:18:19],"And it was, yeah. And it wasn't a particularly good paragraph anyway, in terms of the Twin Falls and outcome, but I the canal company has been very generous in allowing me to go into their archives and use the directors minutes and shareholder, minutes and all, that kind of information. It's been really helpful to be able to write a book that's this evidence based rather than hoping for the best.",
Johanna Bringhurst,[00:37:52:14],[00:37:52:14],"Doctor Gentry, it's been so wonderful to talk to you today. I really appreciate you being with us and helping us learn more about this really fascinating part of Idaho's history.",
Dr. Jim Gentry,[00:38:04:18],[00:38:04:18],"But I thank you for your interest in this topic, because it is not a topic that's very well known, but it illustrates what I used to tell my students, and that is every topic is interesting if you get into the details. But yes, those don't know enough about things to really get into it, you know?",
Johanna Bringhurst,[00:38:22:25],[00:38:22:25],"So yeah, thank you for helping us get into the details.",
Dr. Jim Gentry,[00:38:27:23],[00:38:27:23],"Well, thanks for your interest.",
