speaker,timestamp,Endtime,words,tags
Mrs. Juanita Zazueta Huerta,[00:10:22:10],00;11;10;11,"And she would dream of someday getting a moment train and going away somewhere. And she did well, she could move, but she never she never did go back to Mexico, never to visit. And she always would talk about how Mexico and her and my dad, that's what they would talk about of Mexico. I guess that's the only thing to talk about them.",mexico
Mrs. Juanita Zazueta Huerta,[00:10:47:14],00;11;35;12,"My daddy's work permit and but we have we did have company. People from Pocatello would visit us out there for the Mexicans that were in Shelley, too. There was at the sugar factory. They had a lot of little houses, and there was quite a few Mexican families that lived there to insure me. But see, my folks went straight to Lincoln, Idaho.",pocatello;labor;mexico;idaho
Mrs. Juanita Zazueta Huerta,[00:11:12:19],00;11;44;25,That's where they had to. And there was a lot of Mexicans initially that lived there and worked in the fields and farms and there.,
Angela Luckey,[00:11:21:27],00;11;47;17,Where there are a lot of other families that went to Lincoln with you.,
Mrs. Juanita Zazueta Huerta,[00:11:24:23],00;12;13;10,"Oh, yes. Well, see, that's a that's trainload. And from there they dispersed and and there's we go over the many different places and like I say probably I don't know, I don't really remember I remember these Mexican families that lived in Chile. Now I can't tell you for sure if they were brought there like from Lincoln, you know, like they might have been brought there.",mexico
Mrs. Juanita Zazueta Huerta,[00:11:50:13],00;12;40;18,"But Lincoln was where they brought them as a group, and then they might have brought them to Shelley to closer to the farms that were around them, so that I don't remember. I don't remember that, but I remember the Mexicans that lived in and that we used to go visit them, some in the farms around around Lincoln and around there that lived for but not not right there in the sugar factory.",labor
Mrs. Juanita Zazueta Huerta,[00:12:17:19],00;12;43;08,We lived them in the farms.,
Angela Luckey,[00:12:20:10],00;12;45;04,Did they have their own little land or.,
Mrs. Juanita Zazueta Huerta,[00:12:22:11],00;12;57;21,"No, no, no, they didn't use the house, just that they just housed them. No, I didn't have no land. They might have land at a garden. Maybe we go to. Other than that. No, that made this work there for the farmers.",agriculture
Angela Luckey,[00:12:34:23],00;13;04;04,So it was a land. The houses belonged to the farmer. Yeah. And then they just lived in there. When they were there.,
Mrs. Juanita Zazueta Huerta,[00:12:41:07],00;13;27;21,"They moved in and just lived there. And they worked for these farmers. And and I don't ever remember any mistreatment or anything. They just worked for the for the farmers. And they had interpreters. I always remember this one lady, Mrs. Pearce, her name was in Pablo. She was in Chile. She was the interpreter for the Mexicans around there.",
Mrs. Juanita Zazueta Huerta,[00:13:04:24],00;13;51;26,"Just to Mrs. Pearce, my mother talked about her man who had already I could be. I must have been 6 or 7 that I met this lady, Mrs. Pearce, and my mother. This was Mrs. Pearce, one that was the interpreter for the Mexican woman, and she spoke very well. So I guess that's why they. And she wouldn't wear the war end.",family;mexico;conflict
Mrs. Juanita Zazueta Huerta,[00:13:28:26],00;14;14;23,"And I tell you that they made so much commotion. You know, when the war ended in 1918, there was whistles and people making a lot of noise, and she went to to the Mexicans and told them, you know, you know what? They didn't know what was going on. And she explained to them, we're real happy now because our war has ended, and that's why we're all so happy.",conflict
Mrs. Juanita Zazueta Huerta,[00:13:51:28],00;14;41;24,"My mother used to tell me that into Mrs. Pearce went and told the Mexican people what was going on at the end of the war, and after that, my mother used to say, see, some of them went back to Mexico, some of these Mexicans went back and others didn't go see, my mother didn't go back. And then after my dad out of jail on the railroad, well, then we figured that was a steady job.",family;mexico;conflict;railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:14:18:24],00;14;53;06,"Good. And, you know, we didn't have to worry. And then we just stayed there and birth. And that's where we were all born there and went to school there.",education
Angela Luckey,[00:14:30:08],00;14;57;17,You went to school there from first grade to the eighth grade?,education
Mrs. Juanita Zazueta Huerta,[00:14:34:19],00;15;18;06,"Yes. I remember my mother took me the first day by the hand to the first grade, and I just stayed there. And no, the people were nice to us. I don't, I can't complain about that. We were the only Mexican family. But like I say, we had company from Pocatello. They'd go, president, but they never mistreated us in any way.",family;education;mexico;pocatello
Mrs. Juanita Zazueta Huerta,[00:14:55:06],00;15;42;00,"My my dad did this job on the railroad, and that was it. And my mother never and no schooling. And we just went to school. And I can't say that they mistreated us. I remember when my little brother, when my little sister was born, how that I can't badmouth the LDS people. You know how they talk about them.",railroads and transportation;family;education
Mrs. Juanita Zazueta Huerta,[00:15:19:02],00;15;59;10,The ladies of the Relief Society are that. I do remember that when they went to our house. And how are you doing messing with them? Is there something we can do for it? Can we do can we do your laundry? I remember that and and they were very kind to us and to my mother who didn't speak English.,family
Mrs. Juanita Zazueta Huerta,[00:15:36:13],00;16;25;02,"And every Christmas I remember they'd always bring us the things for Christmas. And they tell us so. And we were puzzled because it say, Santa Claus left this at our house, and we used to say, well, how come you never come here? Do you know you could very well have brought those presents here, but we would get presents from everywhere in the church.",religion
Mrs. Juanita Zazueta Huerta,[00:16:02:06],00;16;45;27,"We didn't socialize with them. But I'm not saying we were invited to other things. We were the only Mexican family. And maybe that's what they were doing, a good deed or whatever. But they they used to tease my dad is there. They'd go there to visit him and say, well, what are you doing this Sunday? Are you playing the drums in the Lutheran church or something?",mexico;family;religion
Mrs. Juanita Zazueta Huerta,[00:16:22:27],00;17;07;12,"You know, teasing them because I tell you that we that we joined all the churches, but we didn't. The Lutheran church was right across the street. And even now there's a mrs. Johnson. Sometimes I can see you. It's charge of them. And she was there from birth, and she was in church across the street from out. And on Sundays.",religion
Mrs. Juanita Zazueta Huerta,[00:16:44:12],00;17;27;00,"We used to like to hear because they had the windows open and they'd. I'd like to hear them sing. They sing a lot. But see, to go to church, we'd have to come to Blackfoot because there was no Catholic church in church, but there was LDS church. It was built in church. There was the Presbyterian Church, but not Catholic.",religion
Mrs. Juanita Zazueta Huerta,[00:17:04:00],00;17;57;03,"It was in Blackfoot territory, I don't know, in Blackfoot and then in Idaho Falls Church. And the Catholic Church was we were made our first Holy Communion in Blackfoot and now in Maine. We were baptized and but I named and the priest that were there, he's there a long time. And we were friends to the Hernandez's who, you know, Marcella died in a do you know was Speranza Lacey.",idaho;religion
Mrs. Juanita Zazueta Huerta,[00:17:34:06],00;18;15;04,"So she belonged to that family. They were a large family. And they lived in Blackfoot, in the sugar factory. So sometimes we would even walk from Blackfoot to for two from the Blackfoot to go to church. And then we'd go on a little visit over there to the Hernandez's, and they would take us home and take us home.",family;labor;religion
Angela Luckey,[00:17:52:06],00;18;16;08,How did they take you?,
Mrs. Juanita Zazueta Huerta,[00:17:53:10],00;18;18;05,They had a little car.,
Angela Luckey,[00:17:55:08],00;18;19;24,What kind of car did they have?,
Mrs. Juanita Zazueta Huerta,[00:17:56:26],00;18;29;10,"Girls, I don't remember. It was a noisy car, but they would take us home and from Blackfoot. Different.",
Angela Luckey,[00:18:06:12],00;18;32;01,So you walked almost everywhere. You had to go?,
Mrs. Juanita Zazueta Huerta,[00:18:09:01],00;18;56;27,"Yeah. So we walked and we would walk to Shelley. That was six miles to Shelley. But if we went far then we could go on the train. And my dad had a fence, but it didn't seem like it was that far to us. I remember on Sundays my father would fix a lunch and my for my dad got an old 22, I'll never know.",family
Mrs. Juanita Zazueta Huerta,[00:18:33:29],00;19;18;04,"But we'd go and when we wanted to go anywhere, we'd go down to the river. We went to the snake River. You know how it is along the snake River, with those two little boys that got murdered there. And for the dog when I seen him on TV, it all brought memories to me because we would go down the road places, on the river there at first.",
Mrs. Juanita Zazueta Huerta,[00:18:55:06],00;19;45;10,"And then there was, what did they call railroads that are off to the side? And like a branch or something off of the main drag there was. And then maybe the train would go back in there to get the sugar beets and that we'd go for walks way back in there. And do you know why we don't just go on walking on the railroad tracks way down too close to the hills to put.",recreation;railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:19:22:13],00;19;56;07,"There's the two press stones, and then there's they stop and go, you know, to the little places where they would take the.",
Angela Luckey,[00:19:33:10],00;20;00;09,And what time was the mat Marsh?,
Mrs. Juanita Zazueta Huerta,[00:19:37:11],00;20;05;00,"Well, I can't really remember. It must have been maybe ten, 11 or mean.",
Angela Luckey,[00:19:42:02],00;20;07;07,So your mom would pack a lunch.,
Mrs. Juanita Zazueta Huerta,[00:19:44:10],00;20;10;20,And we'd start out walking. You'd want.,recreation
Angela Luckey,[00:19:47:22],00;20;11;27,How long would it take?,
Mrs. Juanita Zazueta Huerta,[00:19:48:29],00;20;33;04,"Oh, gosh. I don't know how long, how long it would take. And then there was a family that left, there was any. I don't remember their last name. There were Catholics, their infants. And sometimes they would pick us up and give us a ride.",family
Mrs. Juanita Zazueta Huerta,[00:20:10:07],00;20;40;10,To ministry. I can't remember the name of that Catholic family. Right of him.,family
Angela Luckey,[00:20:17:12],00;20;48;10,"So your mom would pack a lunch in the morning and you'd walk to church? Yeah. Go to church. And then after church, what would you do? Have a picnic or.",religion;recreation
Mrs. Juanita Zazueta Huerta,[00:20:25:12],00;20;52;01,"Well, imagine. So we must have we maybe we ate on the side of the road. Who knows?",
Angela Luckey,[00:20:29:01],00;20;54;01,You don't remember?,
Mrs. Juanita Zazueta Huerta,[00:20:31:04],00;21;20;08,"No, I don't remember. But then we would go to the Hernandez's home and then and then then they would give us a ride home. And I do remember. And their names were, Nicole Hernandez, and his wife was Rosalie Fernandez. They were the mother and father to these Hernandez's, you know, Marcel and Brenda Lacey next. That's a big family.",family
Mrs. Juanita Zazueta Huerta,[00:20:57:08],00;21;44;00,"There were about 15 in that family. Yeah, that's a very large family. They were from like 20, 20 year Tommy. And sometimes you see them like, there's a few more like you when Manuel Hernandez. They're not related to that. Manuel. Remember, for nine. But their last name was Hernandez too. And it was a different family around on the ship.",family
Mrs. Juanita Zazueta Huerta,[00:21:21:02],00;21;52;25,"And quite a few of them come over here. Feel now. Oh, man. No it wasn't many. Go to.",
Angela Luckey,[00:21:29:26],00;22;05;03,"Henderson now. When, when you went to school, you said that you were the only Mexican kids there. Yes. What? How many of you. Who was the oldest one or how? You know.",education;mexico
Mrs. Juanita Zazueta Huerta,[00:21:42:03],00;22;31;29,"My oldest one. We were five. I was the oldest. And I have a sister, Rosie. And my brother lives over in Washington. Alberto and my brother Frank and my sister Gary. And we were five, and I went to the eighth grade there in first and the rest of life. And then when we moved here to focus on my brothers went here to Montreal school.",family;education;canada
Mrs. Juanita Zazueta Huerta,[00:22:09:04],00;22;51;17,"But mom was too, I didn't, I just went to the eighth grade. And in those days it was, it was so different than it is now. And it was such a you couldn't go to school with the closure had. You know what I mean? Where you just didn't fit in. And you, you if you had any sense.",education
Mrs. Juanita Zazueta Huerta,[00:22:28:19],00;23;02;22,"No, I definitely think, you know, you were embarrassed because you couldn't compete with the, you know, your clothes just didn't fit with what you had. Like.",
Angela Luckey,[00:22:39:25],00;23;04;09,What did you wear?,
Mrs. Juanita Zazueta Huerta,[00:22:41:11],00;23;34;10,"Well, I guess we were dressed, but what I mean is, you felt that you had to be better dressed. And I know I didn't want to go to school and, you know, with the clothes that I had, they, well, you know, better dress and stuff. And then you were real conscious, that you were dressed. Now, now the kids in these past years, I think that they laid out their Levi's and and squirted that Clorox on my.",education
Mrs. Juanita Zazueta Huerta,[00:23:11:10],00;23;56;04,"You wouldn't be caught dead with a pair of pants like that. Now, in those days, anyway. And it was depression time. And still you felt that you needed to be, you know, better dressed as you got older, I imagine, because I remember, I remember like, say, Tony Rogers and his sister, only the best dressed Mexican kids in town.",clothing;family;mexico
Mrs. Juanita Zazueta Huerta,[00:23:33:09],00;24;04;07,"And, they were always well-dressed. So. So you are. You were real. Come on. Just how you were dressed to go to school.",education
Angela Luckey,[00:23:41:10],00;24;07;07,Did your mother sew or or where did you get your clothes?,family
Mrs. Juanita Zazueta Huerta,[00:23:44:11],00;24;32;00,"When we imagine. No, we thought they bottom. It was a little. There was a store there and for it dies merchandise. Red ribbon is what I see. The little country stores where they. Everything is in there, you know, everything. Shoes, stockings, dresses. Groceries, everything was in that store. And I remember that my dad got paid. What?",clothing
Mrs. Juanita Zazueta Huerta,[00:24:09:00],00;24;55;14,"We were paid that we, you know, we'd go there and buy clothes and shoes and stuff, you know, but of course, you know, imagine that they did. They had to, you know, watch and see what they bought. And five pairs of shoes. I remember when we were going to go out of town, when we was going to go in the summertime to the 4th of July in Idaho Falls.",clothing;idaho
Mrs. Juanita Zazueta Huerta,[00:24:32:16],00;25;20;19,"My dad would take us out and buy us all the same damn pair of shoes. He'd been all getting brand new shoes and you had to take care of of my mind. And we just warm up and take care of them during the summer months. Like, I have no idea, really. You know how how that went. But, you know, we all got brand new shoes, and we were going to go out of town.",clothing;health
Angela Luckey,[00:24:57:22],00;25;22;21,Did you wear your shoes every day?,clothing
Mrs. Juanita Zazueta Huerta,[00:24:59:23],00;25;53;14,"Well, guess with Mr. White or old words, I suppose, to help me. We were wearing shoes, but I don't remember. Just. I really can't remember. To tell you the truth, I even wonder right now. We made that. But no, I remember... And we got everything at this or going to do or whatever. And daddy, we can and it we just do start daddy store and main store there in front of us to store.",clothing
Angela Luckey,[00:25:30:16],00;25;56;08,"Did he, provide credit whenever you needed?",
Mrs. Juanita Zazueta Huerta,[00:25:33:09],00;26;11;02,Yes. Yeah. We had credit there. It died. And I remember my mother go and get things that she needed. We could do stuff and clothes and we can get clothes and. Yeah. To credit. Yeah. Those credit.,family
Angela Luckey,[00:25:48:09],00;26;15;07,"How did they work that? Did he have an, notebook or something?",
Mrs. Juanita Zazueta Huerta,[00:25:52:09],00;26;42;08,"Oh, no, I don't remember that. It did. It must have been just groceries. Where to give it to you, I don't remember. I don't remember that he did. No, I don't remember. He did. They both my mother and dad could both write like the one thing that I remember very well. I remember my mother and dad both writing letters to their families in Mexico, write letters.",family;mexico
Angela Luckey,[00:26:19:10],00;26;44;07,So they were educated in Mexico.,mexico
Mrs. Juanita Zazueta Huerta,[00:26:21:07],00;27;05;26,"Well, yeah. I don't think they they might have learned to read write because they could both read and write. But I don't think that they had any education or anything. I always tell my kids, I said, well, your grandma and grandpa were really nice people. They didn't have no college education. To be nice with me because they were they were they were real nice.",education
Mrs. Juanita Zazueta Huerta,[00:26:42:26],00;27;30;26,"They were real nice people. They were really nice people, both of them. When they died, I really can tell Angela they had their funerals were so big. I mean, maybe they, from. So that's one thing I always remember that you think they won't even remember the good deeds they did and all that. Know when my my father died first to me.",family
Mrs. Juanita Zazueta Huerta,[00:27:07:26],00;28;01;11,"I remember you know, so many people come to his funeral. And when my mother died, a lot of people were there. Lots of people were both, in my opinion, because they were nice. They were good human beings. And like I say, they weren't highly educated. They just went to school and and never learned to read and write. But and we just nice people.",family;education
Mrs. Juanita Zazueta Huerta,[00:27:38:13],00;28;02;17,,
Angela Luckey,[00:27:39:19],00;28;08;28,"So did you have any problems with, language in school? I mean, you said your parents spoke Spanish. The you being Spanish.",education
Mrs. Juanita Zazueta Huerta,[00:27:45:28],00;28;10;10,Then our learning.,education
Angela Luckey,[00:27:47:12],00;28;12;22,"In in school, was it hard for you?",education
Mrs. Juanita Zazueta Huerta,[00:27:49:24],00;28;45;02,"Well, I don't remember. Just come I learned English. Imagine that. Come easy to me. I remember that I didn't have any problems. No, I just went right through school till I went to the eighth grade, so, you know, and I wasn't any. I was the big of the kids that were in my room. So I figure that I must have just gone through this must I must have cut, right away.",education
Mrs. Juanita Zazueta Huerta,[00:28:22:04],00;29;06;10,"I don't remember that I had any problems in school. No. And I love school. I really know school, and I know and I think now myself, thinking how much I liked school at the time was like it is now, of all the things that they can do for people and you know, and minorities, I see in my mind, I don't think I even got married.",education
Mrs. Juanita Zazueta Huerta,[00:28:43:10],00;29;15;19,"I just went running right around the school, you know, that's how much I love. That's how much I love school. I really did I really did love school.",recreation;education
Angela Luckey,[00:28:52:22],00;29;19;23,"Did you play with, English speaking kids when you were little?",
Mrs. Juanita Zazueta Huerta,[00:28:56:24],00;29;20;25,Other kids.,
Angela Luckey,[00:28:57:27],00;29;24;26,"So you probably learned English then while you, before you went to school.",education
Mrs. Juanita Zazueta Huerta,[00:29:01:29],00;29;54;25,"With the kids that were around. Because. No, like I say, in those days, you just everybody then, you know, you you weren't invited or anything. I do remember we went to ask to go do anything. You just. We were used there. And then see the the foreman of the railroad of the of the section. He lived close by.",railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:29:31:28],00;30;17;22,"Mr. ball can't remember his name. And he had a daughter. She got my divorce. I don't remember that. He had a wife. She must have died. You know, I don't remember that Mr. McKee was the foreman. And his daughter Katie lived with him, and. And she had a daughter that was my age. So she would play with that.",family
Mrs. Juanita Zazueta Huerta,[00:29:54:25],00;30;38;27,"She was nice. Jean. Her name was Jean, and she would play with us. But other than that, I don't remember. We just made our own fun and then we just played together, I guess, because I don't remember them sociological thing, but very.",recreation
Angela Luckey,[00:30:15:29],00;30;46;11,"Do you can you tell me, describe a typical day then in your family? What time did you get up and. Yeah.",family
Mrs. Juanita Zazueta Huerta,[00:30:23:13],00;30;53;24,"Well, I mean, I just got up, my dad left for work, and we'd get up and go to school.",education
Angela Luckey,[00:30:30:26],00;30;57;00,Did your mom get up? Any earlier than everybody to make.,
Mrs. Juanita Zazueta Huerta,[00:30:34:03],00;31;29;09,"Sure she must have. She must go. And I don't remember, you know, in my mind and especially any special thing, you know, she must've just got up on time because she was a good mother in life. So she used to go up. And as we got older, well, to normal, they'd get up. Each had their own thing to do and like two women, the housework type, that they meant nothing.",family
Mrs. Juanita Zazueta Huerta,[00:31:06:12],00;31;53;07,"You know, we didn't just we just worked in the fields and that we never had any outside jobs to say, per se. You know, my sister. No, not most of the younger sisters. We after we moved here to Pocatello, she grew up. She worked in the laundry at Troy, Parisian laundry. She worked for a long time.",family;pocatello
Mrs. Juanita Zazueta Huerta,[00:31:30:09],00;32;17;03,"And then she. And that's when the war started. And then they brought soldiers here at this airbase. It wasn't there. But that's where she met her husband, Dan. So their names. It was an army. Army from Texas.",conflict;family
Angela Luckey,[00:31:54:05],00;32;22;12,"So was just your same family that lived in the house? Well, you didn't have any answer, uncle.",family
Mrs. Juanita Zazueta Huerta,[00:31:59:20],00;32;41;25,"No, no we didn't. We always would think about it, though. We did like to have a have a man or an uncle, grandparents or something. No, it was no. And many, many relatives in. So it was just us. We didn't.",family
Angela Luckey,[00:32:18:28],00;32;45;11,You said that you sometimes worked in the fields with your parents.,
Mrs. Juanita Zazueta Huerta,[00:32:22:11],00;32;54;18,"Oh, yeah. So we as we grew up. Yes. And we grew up working there. And the beets and then the potato and then.",agriculture
Mrs. Juanita Zazueta Huerta,[00:32:31:20],00;33;10;19,"Beets hoeing and tending and stuff like that. So, see, after my father was laid off during the depression from the railroad club, and then we were old enough to to be able to work in the fields.",family;railroads and transportation;education
Angela Luckey,[00:32:47:21],00;33;26;04,"What did your dad, then you said he went to work on the railroad. Or was he, like, working in the summer in the fields and then in the winter in the railroad? Or did he just quit the fields and go to the room?",railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:33:03:06],00;33;55;03,"Do you know, after he got laid off from grandma, that's when we went to the fields. When when we when he first come, they worked in the field. Then when you got the job on the railroad, then there was no more fields. But then it was new to us, to them about working in the fields. Because then after he got laid off from the railroad, then they were old enough to go to work in the beet.",railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:33:32:05],00;34;17;08,"Why do you. That's it was depression time and there wasn't any other work. And then when we come back, when we come here to Pocatello, that I tell you, these friends, we kept telling us, what are you doing out here on this farm? Things can be better for you in Pocatello. And they kept after saying, go visit us and leave this place.",pocatello
Mrs. Juanita Zazueta Huerta,[00:33:54:08],00;34;43;12,"What have you got here in the especially in the wintertime, there was nothing, you know, and, so, maybe a little bit of job here and there, but there was that nothing standing. So then that's when we moved here to Pocatello. Was depression down? And then then they were giving, there was a job at the WPA and stuff, you know, and so it was it was better, you know, it was better.",pocatello
