speaker,timestamp,words,spanish,tags
Thomas Murillo,[00:02:38:23],I traveled there myself during the war. That's the way I remember the trains.,Yo mismo viajé allí durante la guerra. Así es como recuerdo los trenes.,conflict
Angela Luckey,[00:02:49:08],Was it difficult for them to immigrate at that time?,¿Fue difícil para ellos emigrar en esa época?,
Thomas Murillo,[00:02:52:06],"No, no. As I understand it, it was easy. Because, of the need for, workers in the fields who at that time, you know, actually, US was fighting in Europe, World War one and they needed, field workers as well as I'm sure in other, in other fields, they needed workers. And so, as today, it's, very convenient and cheap source of labor.","No, no. Según tengo entendido, fue fácil. Debido a la necesidad de trabajadores en el campo, ya que en ese momento, Estados Unidos luchaba en Europa durante la Primera Guerra Mundial, y necesitaban trabajadores en el campo, al igual que, estoy seguro, en otros campos. Y, por lo tanto, como hoy, es una fuente de mano de obra muy conveniente y económica.",conflict;labor
Thomas Murillo,[00:03:35:15],People of Mexico City.,Gente de la Ciudad de México.,mexico
Thomas Murillo,[00:03:40:01],"So they experienced no difficulty that time. They didn't even have passports. They had, but they did have some kind of an entry paper that I've seen, with the pictures of the family and a stamp on it so that, it was probably pretty simple. By the time. and as I say. The same situation existed very well before World War One, as existed in World War Two.","Así que no tuvieron ninguna dificultad en esa época. Ni siquiera tenían pasaporte. Sí, pero sí tenían una especie de documento de entrada que he visto, con fotos de la familia y un sello, así que probablemente fue bastante sencillo. Para entonces, y como digo, la situación era muy similar antes de la Primera Guerra Mundial, y también durante la Segunda.",family;conflict
Thomas Murillo,[00:04:15:21],"They needed people, this country. Many people did to, work harvesting crops that put American people's food on the table. So it was it was convenient. And maybe it was made easier for they didn't apparently they didn't have quotas. And.",Este país necesitaba gente. Mucha gente trabajaba en la cosecha para alimentar a los estadounidenses. Así que era conveniente. Y quizás se facilitó porque aparentemente no tenían cuotas.,
Angela Luckey,[00:04:38:19],do you remember your grandparents?,¿Te acuerdas de tus abuelos?,
Thomas Murillo,[00:04:40:14],"No, I never knew them at all. I have pictured my father's mother, and, that's. I've never seen a picture of my other grandparents. I remember when I remember that my mother's father died, when I was small, because I remember seeing the letter and notifications bordered in black. I guess that was the custom those days, but other.","No, nunca los conocí. Me he imaginado a la abuela de mi padre, y eso es todo. Nunca he visto una foto de mis otros abuelos. Recuerdo cuando recuerdo que el abuelo de mi madre murió, cuando era pequeño, porque recuerdo ver las cartas y las notificaciones con bordes negros. Supongo que esa era la costumbre en aquellos tiempos, pero otras.",family
Thomas Murillo,[00:05:11:27],But I did not know anything.,Pero yo no sabía nada.,
Angela Luckey,[00:05:16:11],Did anybody else come with the family when they came?,¿Vino alguien más con la familia cuando llegaron?,family
Thomas Murillo,[00:05:18:27],"Yeah, I had an uncle. Joe and, cousin Nicholas, Nick. Do they come here? They came with family. There were young teenage guys at the time, and they're both dead now. But, those were the two came. That I know of. And I'm sure that's all the ones. Well, I mean, my sister, sister and two older brothers, of course, who?","Sí, tenía un tío, Joe, y mi primo Nicholas, Nick. ¿Vienen aquí? Vinieron con familiares. Había jóvenes adolescentes en aquel entonces, y ambos ya fallecieron. Pero esos fueron los dos que vinieron. Que yo sepa. Y estoy seguro de que son todos. Bueno, me refiero a mi hermana, mi hermana y mis dos hermanos mayores, claro, ¿quiénes?",family
Angela Luckey,[00:05:54:26],So your uncle lived with you during those times?,¿Entonces tu tío vivió contigo durante esos tiempos?,family
Thomas Murillo,[00:05:57:03],"Both. Both my uncle and, my cousin lived with the ladies who lived,","Ambos. Tanto mi tío como mi primo vivían con las señoras que vivían,",family
Thomas Murillo,[00:06:06:10],"In Mr. Curios household and and, you know, and moved a couple of houses over from, third, Nick was still living with those my uncles, still Great Lakes they lived with until he got married.","En la casa del Sr. Curios y, ya sabes, y se mudaron un par de casas más allá, en tercer lugar, Nick todavía vivía con esos tíos míos, todavía vivían en Great Lakes con ellos hasta que se casó.",environment
Angela Luckey,[00:06:26:17],And and so they all came to Idaho.,Y así fue como todos llegaron a Idaho.,idaho
Thomas Murillo,[00:06:29:15],At that time? Yeah.,¿En ese momento? Sí.,
Angela Luckey,[00:06:31:17],first.,primero.,
Thomas Murillo,[00:06:32:12],"I'm, among all of them. Did I know I'm sure a lot of them. But my cousin Nick now, he, he got on in Wyoming sometime, and, lived with the family. And then he quickly joined in. But, yes, they all wound up in the same year. Well, thank you.","Estoy entre todos ellos. ¿Sabía que muchos? Pero mi primo Nick, él, él se fue a Wyoming un tiempo y vivió con la familia. Y luego se unió rápidamente. Pero sí, todos terminaron el mismo año. Bueno, gracias.",family;health
Angela Luckey,[00:07:00:05],We're saying that the very first time we came down Idaho.,Estamos diciendo esto la primera vez que venimos a Idaho.,idaho
Thomas Murillo,[00:07:03:16],"To, Blackfoot, they came to Blackfoot, and from Blackfoot, they went to Aberdeen, and I guess from Aberdeen to Salt Lake, because they came here from Salt Lake. And no place around north.","Para los Pies Negros, llegaron a Pies Negros, y de Pies Negros, fueron a Aberdeen, y supongo que de Aberdeen a Salt Lake, porque vinieron aquí desde Salt Lake. Y de ningún lugar cerca del norte.",food and drink;recreation
Angela Luckey,[00:07:22:07],And you were born here?,¿Y tú naciste aquí?,
Thomas Murillo,[00:07:23:18],Yeah.,Sí.,
Angela Luckey,[00:07:25:15],"You know that after they went, right?","Sabes eso después de que se fueron, ¿verdad?",
Thomas Murillo,[00:07:27:21],"Yeah, yeah. I know they're born after they came from Salt Lake and Salt.","Sí, sí. Sé que nacieron después de venir de Salt Lake y Salt.",food and drink;recreation
Angela Luckey,[00:07:43:14],what kind of work did your dad do?,¿Qué tipo de trabajo hacía tu papá?,
Thomas Murillo,[00:07:48:02],"He worked on the railroad. he had made two previous trips with the family still to Mexico. And, I only known him working on the railroad. his first trip took him into the Chicago area, and the second trip took him to the California. So cooking valley? Yeah, he he worked there. Now, he may have worked in the fields there, but, I don't know.","Trabajaba en el ferrocarril. Había hecho dos viajes previos con la familia a México. Y solo lo conocía trabajando en el ferrocarril. Su primer viaje lo llevó a la zona de Chicago, y el segundo a California. ¿Entonces, en el valle de Cooking? Sí, trabajó allí. Puede que haya trabajado en el campo, pero no lo sé.",railroads and transportation;family;mexico
Thomas Murillo,[00:08:22:07],"There's. Anyway, you go to the two places that he had worked, so, it's almost certain to be rewarded. Most of the time.","Ahí está. En fin, vas a los dos lugares donde trabajó, así que es casi seguro que te recompensarán. La mayoría de las veces.",
Angela Luckey,[00:08:33:07],You work that have work on the.,Trabajas que tienes trabajo en el.,
Thomas Murillo,[00:08:35:08],"He was a laborer, and, he, he spent most of his railroad career here in cook, working for the Union Pacific in the stores department, as a, scraps or in the material yard.","Era obrero y pasó la mayor parte de su carrera ferroviaria aquí, en Cook, trabajando para Union Pacific en el departamento de almacenes, como chatarra o en el patio de materiales.",labor;railroads and transportation
Angela Luckey,[00:08:57:07],that when was that? During World War.,¿Cuándo fue eso? Durante la Primera Guerra Mundial.,conflict
Thomas Murillo,[00:08:59:21],"Well, no. No, he started back there. I'm not sure what year he started that, that to guess about the year before I was born. and,","Bueno, no. No, empezó allá atrás. No estoy seguro de en qué año empezó eso, así que supongo que fue el año antes de que yo naciera. Y,",
Thomas Murillo,[00:09:17:01],Until he retired in 1964.,Hasta su jubilación en 1964.,
Thomas Murillo,[00:09:24:29],"So he thinks that, been a part of 40 years doing what I.","Así que él piensa que, habiendo sido parte de 40 años haciendo lo que yo.",
Angela Luckey,[00:09:29:16],What is this craft? So you do. What is this? Graduating?,¿Qué es esta artesanía? Pues sí. ¿Qué es esto? ¿Graduarse?,
Thomas Murillo,[00:09:33:13],"Well, they send in, used material. Well, he worked in a material yard. And among other things, they  stored new materials such as new rails and stuff like that. And also there came their use material, which had to be sorted out as to what was usable and what was scrap. So that was what their, work consisted of.","Bueno, enviaban material usado. Trabajaba en un depósito de materiales. Y, entre otras cosas, almacenaban material nuevo, como rieles nuevos y cosas así. Y también llegaba el material usado, que había que clasificar para saber qué era útil y qué era chatarra. En eso consistía su trabajo.",
Angela Luckey,[00:10:04:05],"And then your mother, she stayed home.",Y luego tu madre se quedó en casa.,family
Thomas Murillo,[00:10:06:28],"Yeah. Yeah, yeah, my mother had more than a handful, raising seven kids. And my father. So, you know, I know that's what it was. Anyway, it's too much about when why was going on and working and leaving the kids. Well, no, that's, that was unheard of in those days.","Sí. Sí, sí, mi madre tuvo más de un puñado, criando a siete hijos. Y mi padre. Así que, ya sabes, sé que era así. En fin, se trata demasiado de cuándo y por qué iba a trabajar y dejaba a los niños. Bueno, no, eso era inaudito en aquella época.",family
Angela Luckey,[00:10:32:19],"Did your sisters go, stay with her? did they do some work or was.","¿Tus hermanas fueron, se quedaron con ella? ¿hicieron algún trabajo o fue?",
Thomas Murillo,[00:10:38:26],"Well, my older sister worked a lot. She, she worked out in a field with us. later on, after she got older, she worked as a maid for some people here in town. And also at, back hotel. So she worked very hard to. But my older sister, she, you know, she worked, when she graduated from high school.","Bueno, mi hermana mayor trabajaba mucho. Trabajaba en el campo con nosotros. Más tarde, cuando era mayor, trabajó como empleada doméstica para algunas personas aquí en el pueblo. Y también en un hotel. Así que trabajaba muy duro. Pero mi hermana mayor, ya sabes, trabajó cuando se graduó de la preparatoria.",family;education
Thomas Murillo,[00:11:12:28],"Different places here. I mean, I remember she would be creches, but most of the time she worked at the hospital and later worked for some doctors.","Aquí hay diferentes lugares. Recuerdo que ella trabajaba en guarderías, pero la mayor parte del tiempo trabajaba en el hospital y luego con algunos médicos.",health
Thomas Murillo,[00:11:25:11],"In an office job, sometimes.","En un trabajo de oficina, a veces.",
Angela Luckey,[00:11:29:11],"So your brothers, worked.","Así que tus hermanos, trabajaron.",
Thomas Murillo,[00:11:31:17],"Well, they, when all the brothers worked out in the fields and went to school. And later they in 1937, I went to work on the railroad at the freight house. And so they didn't have to work on the fields anymore. Would they got enough of that when they were younger? And it was very hard. And, eventually my oldest brother, sometime after my mother died, he left the railroad.","Bueno, ellos, cuando todos los hermanos trabajaban en el campo e iban a la escuela. Y más tarde, en 1937, yo fui a trabajar en el ferrocarril, en la estación de carga. Así que ya no tenían que trabajar en el campo. ¿Tendrían suficiente de jóvenes? Y era muy duro. Y, finalmente, mi hermano mayor, poco después de la muerte de mi madre, dejó el ferrocarril.",education;railroads and transportation;family
Thomas Murillo,[00:12:08:13],"He studied mechanics after the war. Then, after I moved, gone to California. Right. He then pulled up states and went to California to work for the right track circulation. But my other older brother stayed here on the railroad. My youngest brother stayed on the railroad. But the in between brother between my youngest and me,  Lewis. He also gone to school, aeronautical school in Oklahoma and became a meteorologist here.","Estudió mecánica después de la guerra. Luego, después de mudarme, se fue a California. Claro. Luego se mudó a California para trabajar en la circulación de la vía correcta. Pero mi otro hermano mayor se quedó aquí en el ferrocarril. Mi hermano menor se quedó en el ferrocarril. Pero el hermano intermedio entre mi hijo menor y yo, Lewis, también estudió aeronáutica en Oklahoma y se hizo meteorólogo aquí.",conflict;family;railroads and transportation;education
Thomas Murillo,[00:12:52:03],"And we left to the same day in 1956, he went to North Carolina, and I went to California, and he moved from, North Carolina. Well, he was working here not too far from my mother died, and then he went to North Carolina, and then he went to Arizona. And from Arizona, he went to El Paso.","Y nos fuimos el mismo día, en 1956. Él se fue a Carolina del Norte, yo a California, y él se mudó de Carolina del Norte. Bueno, él trabajaba aquí, no muy lejos de donde murió mi madre, y luego se fue a Carolina del Norte, y luego a Arizona. Y de Arizona, a El Paso.",family
Angela Luckey,[00:13:23:09],Why did your family come here?,¿Por qué vino aquí tu familia?,family
Thomas Murillo,[00:13:26:09],"Why did they come in? Well, we could, because my father had, become involved in the, in a matter of, that, the, the owner of la haceinda of that town, was built on, had in for my father because my father turned in there, too. Well, he claimed my older sister, he was.","¿Por qué entraron? Bueno, pudimos, porque mi padre se había involucrado en un asunto relacionado con eso. El dueño de la haceinda de ese pueblo, donde se construyó, estaba en contra de mi padre, porque mi padre también se había delatado allí. Bueno, él reclamó a mi hermana mayor.",family
Thomas Murillo,[00:13:58:01],"And, he didn't like to work. and he liked to drink and gamble and, I guess, that it didn't go over too well with the that, guy that owned the town. And I seen that my name don't get moved beyond. And, very conveniently when once this is all green Revolution. It was the Bunny Brown Band.","Y no le gustaba trabajar. Le gustaba beber y apostar, y supongo que eso no le convencía, bueno, al dueño del pueblo. Y he visto que mi nombre no se ha movido. Y, muy convenientemente, cuando todo esto es la Revolución Verde. Era la Bunny Brown Band.",conflict
Thomas Murillo,[00:14:25:19],The revolutionary came to the town and raised and raised the hell among the guy who was a friend of my father's. And somebody saw that guy. And after they left that we it reported on my friends. My father's friends had been in in that bunch of friends in the town so naturally followed. My father had been in cahoots with them.,"El revolucionario llegó al pueblo y armó un escándalo con el amigo de mi padre. Alguien lo vio. Y después de que se fueran, denunció a mis amigos. Los amigos de mi padre habían estado en ese grupo de amigos del pueblo, así que, naturalmente, los siguieron. Mi padre había estado conspirando con ellos.",history;family
Thomas Murillo,[00:14:50:24],"So that was all that old guy needed to, have my father arrested, and he was thrown in jail. fortunately, that night before he was to be shot by another revolutionary band. Right. they open the doors in the jail, and my father got out, and he came to the United States, and that's where he went to the Chicago area.","Así que eso era todo lo que necesitaba ese viejo: arrestar a mi padre, y lo metieron en la cárcel. Afortunadamente, esa noche, antes de que otra banda revolucionaria lo fusilara, abrieron las puertas de la cárcel, y mi padre salió y vino a Estados Unidos, y de ahí fue a la zona de Chicago.",family;history
Thomas Murillo,[00:15:22:18],"And, he stayed a period of time. I don't know what kind of money, but he stayed a period of time. And then he went back to Mexico to see if it was safe to go back. And apparently it was not safe. So he came back to the United States, this time to to California. Then after a period of time, he went back again to see if it was safe for him.","Y se quedó un tiempo. No sé cuánto dinero, pero se quedó un tiempo. Y luego regresó a México para ver si era seguro regresar. Y aparentemente no era seguro. Así que regresó a Estados Unidos, esta vez a California. Después de un tiempo, regresó de nuevo para ver si era seguro para él.",mexico
Thomas Murillo,[00:15:45:29],"And no, it was not safe for him. So that's what happened to the family. And it became the United States.","Y no, no era seguro para él. Así que eso fue lo que le pasó a la familia. Y se convirtió en Estados Unidos.",family
Angela Luckey,[00:15:54:03],At that time. Was was it your sisters then? How many family members came? Just your mom and your dad?,En ese entonces. ¿Fueron tus hermanas? ¿Cuántos familiares vinieron? ¿Solo tu mamá y tu papá?,family
Thomas Murillo,[00:16:01:20],"Well, one of the, the three kids, my oldest sister and my two older brothers and my uncle and my mother.","Bueno, uno de los tres niños, mi hermana mayor y mis dos hermanos mayores y mi tío y mi madre.",family
Angela Luckey,[00:16:09:16],But a bunch people.,Pero un montón de gente.,
Thomas Murillo,[00:16:13:14],"Yeah, that was seven. Yeah, my brother were small. The one, those three. That was very close. I guess maybe a couple years old, you know, you know, probably, you.","Sí, eran siete. Sí, mis hermanos eran pequeños. El uno, esos tres. Eran muy parecidos. Supongo que tendrían un par de años, ya sabes, ya sabes, probablemente tú.",family
Angela Luckey,[00:16:31:02],"Know. So, when you worked out on the field, what did you live in that the farmer provide.","Saber. Entonces, cuando trabajabas en el campo, ¿con qué vivías que te proporcionaba el agricultor?",
Thomas Murillo,[00:16:38:18],"In, in that one year that I remember and I'm not sure what year it was, but in about 1929, we did live out on the farm on, Chubbuck Road.","En ese año que recuerdo y no estoy seguro de qué año fue, pero alrededor de 1929, vivimos en la granja en Chubbuck Road.",
Thomas Murillo,[00:16:55:10],"And I don't know if it was the same year or the following year. We lived on farm where the Ordnance plant is located now. We lived there, and I, I'm pretty sure that it was two different years, but, I don't know what year they were, in relation to where the one on the farm moved shack to my house.","Y no sé si fue el mismo año o el siguiente. Vivíamos en la granja donde ahora está la planta de artillería. Vivíamos allí, y estoy bastante seguro de que fueron dos años diferentes, pero no sé en qué año fueron, en relación con el lugar donde el de la granja se mudó a mi casa.",
Thomas Murillo,[00:17:22:28],"20s to the house. but nowadays it's unbelievable. Yeah. I went last year with my niece. Sure. What it was. And because her mother, my old sister, was out there with us, and, the house over here, the ordnance plant is not I, I can't remember. The old house was like. But it was like living in a park because actually part of that farm was rented out as a picnic area.","Veinte años para la casa. Pero ahora es increíble. Sí. Fui el año pasado con mi sobrina. Claro. Lo que era. Y como su madre, mi hermana mayor, estaba con nosotros, y la casa de aquí, la fábrica de municiones no es mía, no me acuerdo. La casa vieja era como... Pero era como vivir en un parque porque, de hecho, una parte de esa granja estaba alquilada como zona de picnic.",family;recreation
Thomas Murillo,[00:17:57:10],"So it was pretty nice out there. And, with couches, too. It was pretty good. I don't remember that. We built, That we were living in poverty because, I mean, we were supplied with milk and eggs for the farm and apples and things like that. My father took time off. He was still employed on the railroad.","Así que se estaba bastante bien ahí fuera. Y, además, con sofás. Era bastante bueno. No lo recuerdo. Construimos... Vivíamos en la pobreza porque, bueno, nos abastecían de leche y huevos para la granja, manzanas y cosas así. Mi padre se tomó un tiempo libre. Seguía trabajando en el ferrocarril.",food and drink;family;railroads and transportation
Thomas Murillo,[00:18:25:21],"He was really lucky because when the depression came, he he was laid off for a while, but not very long. And so when he wanted to take us up there, I guess there was a need for extra money. Of course. So he took, time off from around, I don't remember. They called it, it wasn't vacation, but, something happened.","Tuvo mucha suerte porque cuando llegó la depresión, lo despidieron por un tiempo, pero no mucho. Así que, cuando quiso llevarnos allá, supongo que necesitaba dinero extra. Claro. Así que se tomó un tiempo libre, no lo recuerdo. Lo llamaban... no eran vacaciones, pero algo pasó.",labor
Thomas Murillo,[00:18:50:09],"They would go ahead and take us out there to work and when and, we came back and contracted job on the railroad. So, I, the conditions that I found in, in California when I went there, ammonia, ammonia field workers was not, nearly as good as the conditions that we were under here. in 1932, 1934, 1936, I worked in great outside of drinks in the fields.","Nos llevaban a trabajar allí, y cuando regresábamos, conseguíamos un trabajo en el ferrocarril. Así que, las condiciones que encontré en California cuando fui allí, trabajando en los campos de amoníaco, no eran tan buenas como las que teníamos aquí. En 1932, 1934 y 1936, trabajé mucho en los campos, tomando algo fuera de la mesa.",railroads and transportation
Thomas Murillo,[00:19:27:03],"And at that time, those people came from California. This was in the depths of the depression. They came from California to the Idaho to work so that, either there wasn't too much work at that time in California or the working conditions were better here than it was in that, Harriman versity Co. Those three years that I spent in good working old people paying, to work, work from, California, there was one Texas family, and, the rest of them were from Colorado.","Y en ese entonces, esa gente venía de California. Esto era en plena depresión. Vinieron de California a Idaho a trabajar, así que, o bien no había mucho trabajo en California en ese momento, o bien las condiciones laborales eran mejores aquí que en el condado de Harriman. Esos tres años que pasé en California, gente mayor y trabajadora que pagaba para trabajar, trabajando desde allí, había una familia de Texas y el resto eran de Colorado.",idaho;family
Thomas Murillo,[00:20:08:12],and... and Idaho.,Y Nebraska y yo.,
Angela Luckey,[00:20:11:20],From the braska.,De la braska.,
Thomas Murillo,[00:20:13:09],"No, I don't remember if there might have been, but I don't remember from Nebraska. but those states that I remember, yeah, I was family in Texas. So, people from Colorado with money, they called me from Utah and, and, Idaho and the, you know, the few families from here in Portland in 1932, about half dozen families going from here to there.","No, no recuerdo si los hubo, pero no recuerdo de Nebraska. Pero de esos estados que recuerdo, sí, tenía familia en Texas. Así que, gente de Colorado con dinero me llamó desde Utah, Idaho y, ya sabes, las pocas familias de aquí de Portland en 1932, como media docena de familias que iban de un lado a otro.",family;idaho
Thomas Murillo,[00:20:49:07],"There were, several people, several families from the Idaho Falls area that were there, too, at that time, only where they were necessary. But they were 1932. Later on, some came to live here, and I found that they were born outside of Idaho. So it was probably the cause.","Había varias personas, varias familias de la zona de Idaho Falls, que también estaban allí en ese momento, solo donde era necesario. Pero era 1932. Más tarde, algunos vinieron a vivir aquí, y descubrí que nacieron fuera de Idaho. Así que probablemente esa fue la causa.",idaho
Angela Luckey,[00:21:11:00],"whether very many Mexicans, Mexicans down here.","si hay muchos mexicanos, mexicanos acá abajo.",
Thomas Murillo,[00:21:14:20],"Well, I, I think, I think that at that time there were probably as many as there are now, but, I mean, the fact that they were able to organize, a social club, the.","Bueno, yo, yo creo, yo creo que en ese momento probablemente había tantos como hay ahora, pero, quiero decir, el hecho de que fueran capaces de organizar, un club social, el.",education
Thomas Murillo,[00:21:37:18],"Groups are. And I think it was called. Yeah. And they held, stage, presentations, and, and make dances.",Los grupos son... Y creo que se llamaba... Sí. Y hacían presentaciones en el escenario y bailaban.,art
Thomas Murillo,[00:21:56:22],"for the six in September and the 5th of May. And people, you know, made speeches and there were musical, presentations. The people that played for the dancers who were all Mexican musicians from Porto. so, I'm, I make judgments. There were quite a few people who to support that kind of activity.","Para los seis de septiembre y el 5 de mayo. Y la gente, ya sabes, dio discursos y hubo presentaciones musicales. Los que tocaron para los bailarines eran todos músicos mexicanos de Oporto. Así que, yo... yo hago juicios. Había bastante gente que apoyaba ese tipo de actividad.",mexico;recreation
Angela Luckey,[00:22:29:14],That was in the 30s? That was in the 30s?,"Eso fue en los años 30, hmhm. Eso fue en los años 30.",
Thomas Murillo,[00:22:32:16],"Yeah, the late 20s and the 30s. The 30s. It all ended when the depression came and so many were laid off on the road. And that broke it all up. But, in order to sustain that kind of social activity, there has to be, you know, quite a number of people to get a bang. For example, to play for our dances.","Sí, a finales de los 20 y los 30. Los 30. Todo terminó cuando llegó la depresión y muchos se quedaron sin trabajo. Y eso lo destrozó todo. Pero, para mantener ese tipo de actividad social, tiene que haber, ya sabes, mucha gente para que tenga éxito. Por ejemplo, para tocar en nuestros bailes.",recreation
Thomas Murillo,[00:22:56:04],"And, the speakers were all good speakers, as I can remember. You know, I was small. I was always zeroed in on that kind of stuff. And, yeah, they,","Y, los oradores eran todos buenos oradores, según recuerdo. Sabes, yo era pequeño. Siempre me centraba en ese tipo de cosas. Y, sí, ellos...",
Thomas Murillo,[00:23:10:17],"There were there were a considerable considerable number of people from Mexico around here. And they were at that time from southeast Mexico. we even had one year. We even had classes in Spanish. And, I heard in.","Había una cantidad considerable de gente de México por aquí. En ese entonces, eran del sureste de México. Incluso tuvimos un año. Incluso tuvimos clases de español. Y, según escuché,...",mexico
Angela Luckey,[00:23:32:28],School.,Escuela.,education
Thomas Murillo,[00:23:33:26],"Well, I'm talking about.","Bueno, de eso estoy hablando.",
Angela Luckey,[00:23:35:25],With this club.,Con este club.,education
Thomas Murillo,[00:23:37:02],"Here. Yeah. and I went to it, I was the dummy. And I had always been able to spell real well in English. I remember that I had my troubles in, in Spanish, but, you know, I was only maybe 6 or 7 years old. Eight at the most. But, yeah, we had classes in Spanish.","Aquí. Sí. Y fui, yo era el tonto. Y siempre había tenido muy buena ortografía en inglés. Recuerdo que tuve mis problemas con el español, pero, ya sabes, solo tenía unos 6 o 7 años. Ocho como mucho. Pero sí, teníamos clases de español.",
Angela Luckey,[00:23:57:15],"Taught them to,","Les enseñé a,",
Thomas Murillo,[00:24:00:21],"I don't know who the man was. I, I kind of think my impression is the guy was just stay here for a short period of time. I know he wasn't one of the, permanent residents here.",No sé quién era el hombre. Creo que solo estuvo aquí un rato. Sé que no era residente permanente.,
Thomas Murillo,[00:24:26:05],"But. So, again, you know, there there must have been a considerable number of those here to sustain that. Going back to this, you know, this story.","Pero. De nuevo, debe haber habido un número considerable de personas aquí para sostener eso. Volviendo a esta historia.",
Angela Luckey,[00:24:36:21],"Oh, yeah. great. They called me. Yeah.","Oh, sí. Genial. Me llamaron. Sí.",
Thomas Murillo,[00:24:40:26],"Well, my father was, some type of officer of that club, because when they broke up, we wouldn't end up with a bunch of, books that were sent by the Mexican government. I still had one of them around the state. Right? I, I came too late to this, idea of saving and having books, having my own library.","Bueno, mi padre era una especie de oficial de ese club, porque cuando se disolvieron, no nos quedaríamos con un montón de libros enviados por el gobierno mexicano. Todavía tenía uno por el estado. ¿Verdad? Llegué demasiado tarde a esta idea de ahorrar y tener libros, tener mi propia biblioteca.",family;crime;education;mexico
Thomas Murillo,[00:25:05:06],"So I won't be able to salvage one, no, two, two and,","Así que no podré salvar uno, no, dos, dos y,",
Angela Luckey,[00:25:11:13],What kind of books?,Tipo de libros.,
Thomas Murillo,[00:25:12:14],"Well, one of them is, kind of a primary reader, and the other one is a technical book on shooting, really just. I mean, I made it up, when I went to work on the moment that I'd be employed, one of the things that I, had to learn because nobody else wanted to do it was to mention my work.","Bueno, uno es una especie de libro de lectura principal, y el otro es un libro técnico de fotografía, en realidad. O sea, lo inventé cuando empecé a trabajar, cuando me contrataron. Una de las cosas que tuve que aprender, porque nadie más quería hacerlo, fue a mencionar mi trabajo.",
Thomas Murillo,[00:25:36:25],"And, here I couldn't, like, managed to keep this book in its own sheet metal sheet metal fabrication in Spanish. But interesting to me that I should have that damn book after my experience my job. but they were some of the others that I remember, kind of, it's not fair to call them propaganda from, any government puts out literature telling them the type of improvements and the advancements and things like that.","Y aquí no pude, como que, mantener este libro sobre fabricación de chapa metálica en español. Pero me resulta curioso que lo tuviera después de mi experiencia laboral. Pero había otros que recuerdo, en cierto modo... no es justo llamarlos propaganda, ya que cualquier gobierno publica literatura que les cuenta las mejoras, los avances y cosas así.",manufacturing;art
Thomas Murillo,[00:26:12:00],"The one thing that I remember had to do was maybe agriculture or water preservation, something along that line. Those are the ones that I remember, the terror others.","Lo único que recuerdo que tenía que hacer era quizás agricultura o conservación del agua, algo por el estilo. Esos son los que recuerdo, el terror en los demás.",agriculture
