speaker,timestamps,End Time,words,tags
Dr. Liz Redd,[00:11:50:03],00:12:25:18,"This meant that a lot of native people had to prove that they were native. And, how do you do that without documentation? so this set up the Dawes Commission to determine, degree of Indian blood. And this really set this, policy, in effect, where we're now measuring blood quantum for native people. And as one of the videos that we that we're not going to see today, points out that it's, dogs, horses and, native people who have to prove their pedigree, which is, really unfortunate.",education
Dr. Liz Redd,[00:12:25:20],00:12:46:10,"and it's a colonial idea, this idea of blood quantum, it's not one that was inherent in native nation. prior to colonization and prior to the allotment act, the residential schools were established. So there's forced attendance at residential schools to, in effect, do what Pratt, advocated for, which was, you know, kill the Indians, save the man.",history;migration
Dr. Liz Redd,[00:12:46:12],00:13:12:08,"the point of this was to assimilate native peoples, to teach them, European ways of using the land and engaging with, subsistence and, farming. And we also had what are termed the Indian wars, massacres as part of the Civil War. And there's a significant connection between the Indian massacres and the Civil War. and that's again another topic.",agriculture;conflict
Dr. Liz Redd,[00:13:12:08],00:13:39:18,"But, I invite you to, to go and investigate that connection. there's some significant connection there. So then we have the next era, which is, starting at about the 1940s. the termination and relocation era in the 1940s. the the U.S. government attempted to terminate the tribes. They said you no longer have a government.",economy;migration
Dr. Liz Redd,[00:13:39:20],00:14:08:06,"part of the goal of this was to say, you know, we no longer have a responsibility to provide those services, to uphold those treaties. If you no longer exist as a sovereign native nation as part of this. and as, an additional, aimed at assimilating native peoples, many native peoples were relocated to urban centers.",
Dr. Liz Redd,[00:14:08:08],00:14:36:00,"the thinking being that it would be easier for them to assimilate, but another, impact of that is if you move people to urban centers, they're no longer living in the reservations. That can impact whether or not they get counted as a tribal citizen. Are voting members of their governments. And that further, weakens native governments.",
Dr. Liz Redd,[00:14:36:02],00:15:05:22,"And then in the 1960s, to the present, we're in this era of self-determination, starting with the the Indian Civil Rights Act. There's the Indian child welfare Act, the Indian Self-Determination and Education Assistance act. And during this time, native nations governments were reestablish, under, reorganization. And so these native governments, many of them look very, very similar to the US government structure.",
Dr. Liz Redd,[00:15:05:24],00:15:47:14,"But, at this point, we are acknowledging the US government is acknowledging that native nations are sovereign nations, although that might be slightly under threat with some of the recent Supreme Court decisions. So those are just general trends in U.S. history. But if we look at this timeline and if we really examine the US policies, and policies of other colonial nations, if we examine the policies that the US has had that are directed at or concern native peoples, it really becomes clear that at least until the 1960s, the overarching purposes of these policies was to erase or to erase native peoples from culture.",history
Dr. Liz Redd,[00:15:47:16],00:16:17:14,"It was to deprive them of their lands, their livelihoods, their ceremonies, languages and cultures, and that depriving them of their lands, livelihoods, ceremonies, languages, cultures and sovereign status in some cases. that actually fulfills the UN definition of genocide. So this speaks to that myth that the U.S. does not have a policy of genocide. Here, we can clearly see it.",conflict
Dr. Liz Redd,[00:16:17:16],00:16:44:07,"It's about erasing native peoples. It's about assimilating them. So when you're talking with, students and, you know, especially, you know, upgrades, middle, middle school, high school, this is, it I know that some people in the current political climate are worried about engaging in this type of discussion, where you're openly talking about power differentials and the lasting impacts of colonization and settlement.",education;environment;migration
Dr. Liz Redd,[00:16:44:09],00:17:06:14,"But one of the ways that you can do this is just show the students the timeline and ask the students to think about what are the purposes of these policies. If we look at them as if they are telling a whole story, as if they are a narrative. So you invite your students into having that conversation, and I think that creates a safer space in the current political climate for having these discussions.",literature;environment
Dr. Liz Redd,[00:17:06:14],00:17:17:10,"If they're student led and the students are coming to the realizations on their own, you're just providing them all the information.",education
Dr. Liz Redd,[00:17:17:12],00:17:35:11,"So again, I like to show videos. I'm not going to show these three videos, but I like to give teachers some resources that they can start with that they know are quality. They know are going to represent, an accurate history and represent native voice. so I have these three videos here and they'll be listed again.",
Dr. Liz Redd,[00:17:35:13],00:17:59:05,"and one is on residential schools, one's on relocation and one's on red power. So if you were discussing the timeline and you had these students, use the videos, perhaps in a jigsaw, type activity, you could have, you could divide your, your students up into three groups. each group watches one of these videos and discusses and then presents the video to the rest of the class.",migration
Dr. Liz Redd,[00:17:59:07],00:18:18:00,"and then maybe you divide those groups up so that they can discuss, how their, how the, the histories presented in their videos connect to one another. They can find those themes. So it's a type of, a jigsaw activity that could be useful to getting students to thinking about what are the themes and purposes of policy.",
Dr. Liz Redd,[00:18:18:00],00:18:41:08,"If we look at it as a, as a whole, rather than as any individual policy? Looking at the scope and sweep of history right. another way to engage with students, in thinking about this is looking at local native histories. So, I want to talk a little bit about the bear River massacre. this is specifically, Idaho history.",
Dr. Liz Redd,[00:18:41:10],00:19:14:23,"so the bear River massacre was part of what is termed the Indian wars, right. And has a connection to, the Civil War. soldiers who were stationed in the West didn't get to see the action happening in, the East in the Civil War. And there was, what has been termed a Western Front. So the the American Indian Wars were actually are actually considered the Western Front of the Civil War.",conflict
Dr. Liz Redd,[00:19:15:00],00:19:43:21,"And again, this is a very complex history, but these massacres were ways for, soldiers to get combat experience and to get promoted through that as well. So if you were being left out of the Civil War, this was the other front. This was a way that you so there was there was incentive for, for the, military here to actually engage in conflict.",conflict
Dr. Liz Redd,[00:19:43:23],00:20:17:22,"There's also a connection here for bear River, to the, settlement of the Utah and, Idaho, territories by, members of the, Church of Jesus Christ of Latter day Saints. So, settlement was occurring, and native peoples were being displaced and, moved on to reservations. the native peoples were not able to maintain their, traditional subsistence pattern.",religion
Dr. Liz Redd,[00:20:17:22],00:20:43:21,"So for Shoshone peoples, this meant they're living in a relatively confined area and they don't have their traditional subsistence. means they can't forage in that confined area. And, starvation is occurring. And with ideas of reciprocity being, you know, if I need that, I can use it and I'll give back to you at some point. this idea of property ownership is a little bit different.",indigenous
Dr. Liz Redd,[00:20:43:23],00:21:24:18,"So, yes, this is how many people would go and take a cow because they're starving and they need the cow, right? But this didn't sit well, of course, with settlers. And so, the settlers asked the military to come in and help. And the way that the military helped in this case was to go and massacre an entire band of Shawnee people, 400 people who were just in their winter camp at dawn were invaded by a group of soldiers who, have been called volunteers from California.",history;conflict
Dr. Liz Redd,[00:21:24:20],00:21:43:13,"and they just they just killed them all. And there are some really, moving and horrific stories. There are some, wonderful, video coverage out there you can find on YouTube as well. And that's also linked in the resources. but what I want to talk about here is that there's, there's a, there River is a place.",
Dr. Liz Redd,[00:21:43:14],00:22:11:05,"It is it's a winter camp for the showing people. And there there has been a plaque, marking where this event, this massacre took place for many years. and it has recently been replaced by a new plaque. And so I want to compare these two plaques. So on the left we have the original plaque, and it reads The Battle of Bear River.",conflict
Dr. Liz Redd,[00:22:11:07],00:22:33:24,"Notice it calls it the Battle of Bear River, indicating that there were people fighting on both sides that this was, you know, like two, two groups of army, coming down into a field, with their, you know, we think about it in terms of, you know, the revolutionary War battle. but that's not what happened. They were invaded as they were waking up and just killed.",conflict;history
Dr. Liz Redd,[00:22:34:01],00:23:09:17,"so the Battle of Bear River was fought in this vicinity January 29th, 1863. So right in the middle of the Civil War, Colonel P Connor, leading 300 California volunteers from Camp Douglas, Utah, against Bannock and Shoshone Indians, guilty of hostile attacks on emigrants and settlers, engaged about 500 Indians, of whom 250 to 300 were killed or incapacitated, including 90 combatants, women and children.",conflict;indigenous;history
Dr. Liz Redd,[00:23:09:19],00:23:46:20,"14 soldiers were killed, four officers and 49 men wounded, of whom officer of whom officer, and seven men died. Later, 79 were severely frozen. chiefs bear, Hunter, Savage, and Levi were reported killed. 175 horses and I can't really read that word stolen, property were recovered and 70 lodges were burned. So this reads like an inventory.",
Dr. Liz Redd,[00:23:46:21],00:24:19:01,"We burned 70 lodges. There's many people, you know, there's many horses. And notice how they're including the people in the count of how many horses were killed, how many things were. So it's just an inventory of what we accomplished. and it's it's centers, the military, it, upholds the military as, doing good deeds here and frames the, native peoples here as guilty of hostile attacks.",conflict
Dr. Liz Redd,[00:24:19:03],00:24:39:20,"That's how it calls, the women and children combatants, women and children, mothers and babies waking up, grandmothers just starting the fire. If someone comes in with a gun and is trying to kill you, are you not going to fight back?",
Dr. Liz Redd,[00:24:39:22],00:25:10:09,"Thankfully, the, there's been a new plaque, placed, and this is a very, very fuzzy image. So that's one I could find because it's very recent. It's just happened. just this past year. but it reads, bear River massacre. And again, this is in contrast to the the battle of the River. and it reads in memory of the estimated 400 men, women and children of the Northwestern Shoshone nation, Shoshone nation.",conflict;indigenous
Dr. Liz Redd,[00:25:10:11],00:25:44:20,"So upholding sovereignty, very different framing, who were brutally massacred in this vicinity on January 29th, 1863, by the United States Army California Volunteers from Fort Douglas, Utah, under the command of Colonel Patrick E Connor. The attack took place in the early morning hours against a group of people with limited can't read that word without peaceful means",
Dr. Liz Redd,[00:25:44:22],00:26:09:21,"So if you look at this as it's getting more challenging for me to read it, but, it does list that some 23 soldiers died. it does, frame, the, the members of The Church of Jesus Christ of Latter day Saints, as, people who helped eventually. But it frames the native people as a sovereign nation.",cinema;religion
Dr. Liz Redd,[00:26:09:23],00:26:29:20,"It says, we're commemorating them and it talks about this as a massacre. So it is an improvement, for people who go to visit the site. Another thing I want to mention about bear River is, in talking with, teachers here in Idaho, the majority, not all, but the majority of them have never heard of this event.",
Dr. Liz Redd,[00:26:29:22],00:26:49:17,"It's not treated in our U.S history books, even though it is the largest scale massacre of native people in North America. It doesn't get coverage in our history books. Why don't we tell this story? Why do we tell the story of Thanksgiving and Sacajawea? but we don't tell this story. Why do we tell the story of the Native American wars?",
Dr. Liz Redd,[00:26:49:21],00:27:12:16,But we don't tell this story. Because this story challenges those myths and narratives that form that discourse that justifies westward expansion.,
