speakers,timestamp,End Time,words,tags
Dr. Becca Scofield,[00:11:37:08],00:12:23:11,"So John first was born in 1863, in what was still the Grand Duchy of Finland that was held by Russia. Faced with famine and forced conscription, by Russian forces, emigration from Finland and other Scandinavian countries was incredibly common in the late 19th century. my great great great great grandfather immigrated in 1888, and in 1895 he and two other men from Finland, crossed the mountains into Long Valley and staked claims, briefly returning to Pendleton to collect their families, and come create their homesteads.",environment
Dr. Becca Scofield,[00:12:23:13],00:12:52:23,"now obviously farming, in Long Valley, which is, very can be very cold and have long winters was extremely difficult. And and making these homestead studs operational were very difficult. however, Finnish settlers were very used to long winters. and they had a strong sense of community that helped them survive. They were also willing to leave the area if other economic opportunities presented themselves.",agriculture;history
Dr. Becca Scofield,[00:12:52:23],00:13:19:18,"So, for instance, in World War One, the family moved to Vancouver, Oregon, to work in the shipyards. and generate some money. And it was there that my great grandmother, Elena, met Otto Guest Strand, who was himself a Finnish immigrant. They, were married in 1917 and returned to Long Valley, to, reclaim the original homestead.",conflict;agriculture
Dr. Becca Scofield,[00:13:19:20],00:13:51:24,"and, start farming again. So of the 12 children, my great great grandmother bore, only eight survived to adulthood and only one, Elena. My great grandmother continued to live in Long Valley. They had, a large family as well. my grandmother, Ida was born in 1921. and as you can tell, this was, an interesting way to grow up, right?",agriculture
Dr. Becca Scofield,[00:13:51:24],00:14:19:11,"Skiing to school, picnics in your Sunday best, in the middle of the mountains. and again, it snowed a lot. It was very cold. There was a lot of difficulty, but, one way this group coped with it was through creating a strong ethnic community. so, for instance, the Long Valley Finnish ladies aids organization helped, raise money for events and buildings and people in need.",education;environment
Dr. Becca Scofield,[00:14:19:13],00:14:54:09,"obviously coming from northern, Europe, socialism was, present, though communism was often, rejected because of its association with atheism, as this was a very, strong Lutheran, community. So my grandmother often talked about how embarrassed she was, to, be, called out for her immigrant roots. Right. A Finnish was still spoken at home.",
Dr. Becca Scofield,[00:14:54:11],00:15:24:02,"her her own mother was second generation Finnish. Her father was first generation Finnish. And she bore the the white blond hair that, many, Finns did. And she talked about once, combing shoe black into her hair, to try to cover up the fact that she had this really, distinctive ethnic identity. So it it was, in many ways, a difficult life, growing up in this isolated community.",
Dr. Becca Scofield,[00:15:24:04],00:16:00:21,"And yet at the same time, her parents, despite being immigrants, were able, to claim land. She was able to gain an education and she was able, to marry the person she wanted to marry. This was not true for all populations in Idaho. These are just a couple of examples of Jim Crow laws. Jim Crow, of course, refers to the systematic, enforcement of segregation laws in, the United States between the 1890s and the 1960s.",
Dr. Becca Scofield,[00:16:00:23],00:16:32:14,"now, obviously, a lot of these laws predate, formal Jim Crow. So, for instance, in 1863, we have the creation of the first anti-miscegenation law, in which, the territorial legislative, legislature prohibited, quote, the cohabitation of a white person with any one of native African or Chinese descent. Japanese descent was later added. This was not repealed until 1959.",
Dr. Becca Scofield,[00:16:32:16],00:16:58:12,"and was punishable with up to two years in prison. This does not even, denote the marriage between a white person, and a person of color. It is simply cohabitation with Also, of course, within our state, constitution in 1890, many groups of people were denied voting rights, the right to serve on a jury.",
Dr. Becca Scofield,[00:16:58:14],00:17:24:07,"or the right to hold public office. This included, members of a religion that upheld polygamy. This was targeting members of The Church of Jesus Christ of Latter day Saints. Chinese or Japanese people were prohibited. native people who had not, quote, adopted the habits of civilization and essentially, renounced their tribal membership and women. in 1923.",religion
Dr. Becca Scofield,[00:17:24:09],00:17:48:02,"so right around the time my grandmother was born, it became illegal for people of Japanese to descent to buy or lease land in the state. And then, of course, throughout our history, we see the ways in which, anti-Chinese violence, the creation of sundown towns throughout the state, and barring service to Mexican Americans, operated, completely legally within the state.",
Dr. Becca Scofield,[00:17:48:04],00:18:15:00,"So while my grandmother faced, some bigotry and some moments of embarrassment or hardship, she did not face, systematic, discrimination within the law. Now, one way we can see this, most blatantly operating in the state is through, restrictive covenants. So, for instance, this restrictive covenant comes out of, the Warm Springs subdivision in Boise.",boise
Dr. Becca Scofield,[00:18:15:02],00:18:49:24,"It was found by College of Idaho students. and it states no race or nationality other than members of the white race shall use or occupy any building on any lots, except that this covenant shall not prevent occupancy by domestic servants of a different race or nationality domiciled with an owner or tenant. This is essentially saying that no person of color can, even rent or lease or be on lots or buildings within the Warm Springs subdivision, unless they are domestic servants.",
Dr. Becca Scofield,[00:18:50:01],00:19:20:12,"Now, these restrictive covenants are upheld through the 1960s. and it's important to remember that this, then restricts people's ability to create intergenerational wealth. And this is incredibly important, right? As my grandmother, is raised in Long Valley, my grandfather comes to Idaho, to Long Valley, seeking land and opportunity in the face of the Great Depression.",
Dr. Becca Scofield,[00:19:20:14],00:19:58:18,"so my grandfather Edwin came to the state, in the late 1930s to, work at the Boise Cascade, sawmill after his family lost their family farm in Nebraska to the Dust Bowl. He had eight siblings. they worked together to buy a dairy. And, this was incredibly important because during World War two, when he was drafted, the draft service asked him to not join the military and instead to run the dairy in order, to serve the night mind, and keep the mind running for the war effort.",boise;conflict;literature
Dr. Becca Scofield,[00:19:58:20],00:20:32:11,"So they were able to get married, in 1943, and purchased land at the same time that they were getting married and having children and starting their life, 120,000 Japanese Americans, two thirds of whom were American citizens, were forced by Executive Order 9066 to leave their homes, and be forcibly incarcerated for many years.",
Dr. Becca Scofield,[00:20:32:13],00:21:17:21,"in 1983, it was estimated that 88,000 Japanese adults lost somewhere, between or around $6.2 billion. They lost everything, to, this move. Right? They had to leave behind pets and cars and businesses and farm equipment and, beloved personal belongings and clothing. and 13,000 of these Japanese-Americans were, held here in Idaho, along with 250 other, Japanese, mainly Issei, or first generation Japanese Americans.",
Dr. Becca Scofield,[00:21:17:23],00:21:48:06,"at Koski Internment Camp. similarly, the Sarah program, which was bringing in, Mexican workers, to help, stabilize, the U.S. agricultural industry during massive labor shortages during the war. these people who came to Idaho not only faced horrific working conditions, often being maimed by, farm equipment, but they also faced discrimination.",conflict
Dr. Becca Scofield,[00:21:48:06],00:22:26:24,"Just trying to go into places like Caldwell and, shop. They were told, they were denied service. There were signs posted against them, and the discrimination and violence was so rampant that in 1948, Mexico, the Mexican government blacklisted Idaho from receiving any more workers. so just as my family was able to start making real strides forward, into the next generation, people who were faced with, sort of racialized hatred were not able to experience the same opportunities in the state.",
Dr. Becca Scofield,[00:22:27:01],00:23:00:23,"After the war, my grandfather sold, the mining rights to their property outside, Cascade so that the my stiff night, company could come in and dredge mined the land looking for, monocyte, ilmenite, zichron and garnet. So monazite contains thorium and sometimes uranium. So, obviously these were important, minerals to, the government and into the Cold War.",conflict;mining
Dr. Becca Scofield,[00:23:01:00],00:23:34:17,"as we try to maintain technological superiority in the world afterwards, however, local, other local landowners assumed my grandfather was in collusion with the mining company and refused to sell land to him. So that is when they moved to Emmet. they were able to purchase, a ranch and build a home. They were able, to live this sort of idealized, 1950s, life.",mining;agriculture
Dr. Becca Scofield,[00:23:34:17],00:24:36:07,"And to have my mother, and her siblings, raised in Emmett, which is where I was born and raised as well. And like Long Valley, Emmett was also taken through violence in 1979. my spouse's great grandmother, Ruth Lyon, wrote a book that recounts, many stories of massacres of native people. these stories are incredibly difficult to read because while, the, Anglo American storytellers often express regret over these acts of violence, they also, tend to believe that their fear of native people, whether that fear was grounded or not, in reality, that their fear justified the killing of native people and other, humans, essentially.",
Dr. Becca Scofield,[00:24:36:09],00:25:21:11,"And one very difficult story a person recounts a massacre that resulted in settlers, perhaps on the land where my family's ranch sits, taking cottonwood poles and pushing corpses of women and children down river all summer. So, again, these spaces we inhabit come with a longer history, that includes, violence towards other people to ensure that, Anglo American settlers had access to the land, had access to homeownership, to education, to marriage, and all other sort of systems that allowed for their advancement in the state.",history;agriculture;economy
Dr. Becca Scofield,[00:25:21:13],00:25:55:00,"so while my family's narrative often celebrates our immigrant heritage, celebrates the triumph of, helping settle the state, it's, story that helps illuminate how many other, groups did not, experience, the same opportunities, who had different barriers in terms of forced removal, in terms of restrictive laws, in terms of day to day discrimination?",literature;history
Dr. Becca Scofield,[00:25:55:02],00:26:25:19,"And I should also acknowledge, right, that simply because groups of people, faced this discrimination just because, they did not have the same benefits of as my family, that did not mean they left the area. Right. or at least not all the time, that we still come from not only diverse histories, but a diverse state. at one point before expulsion, a quarter of our state population was Chinese.",
Dr. Becca Scofield,[00:26:25:19],00:26:58:09,"Today, 20% of our state population is Latinx. And so we need to, find these stories to embrace them, to understand how they make our region and our families stronger. for instance, many, Japanese Americans resettled rural areas after, their incarceration ended. we can look at, right over the border in Ontario, Oregon. there is a very vibrant community of Japanese, American people.",migration
Dr. Becca Scofield,[00:26:58:11],00:27:23:24,"So to believe our state is made up of a single story, a single group, or follows a single path is simply a historical. It doesn't look at the facts. It doesn't look at the evidence. So as we look to our students, as we look at our friends and our peers, I hope we're able to tell honest histories that, yes, your Americans faced great hardships.",
Dr. Becca Scofield,[00:27:23:24],00:27:56:08,"They faced some bigotry. They faced, hard, landscapes, hard environments. but so did other groups of people. And they faced additional social restraints as well. So that's what American history is. It's what the history of Idaho is. It's a collection of stories that illuminates the varied difficulties and triumphs of past generations in a way that helps explain our present and hopefully points to a brighter future.",
Dr. Becca Scofield,[00:27:56:10],00:28:16:16,"So thank you very much, for being here today. And, I hope that you enjoyed this. Feel free to reach out, with any questions. My email address is rscofield@uidaho.edu. And I hope you have a wonderful day.",
