speaker,timestamp,End Time,words,tags
Palma Hanson Hove,00:08:50,00;08;52;14,"We got tired, but.",
Palma Hanson Hove,00:08:52,00;08;54;24,"Really, we were kids and.",
Palma Hanson Hove,00:08:54,00;08;56;28,We had a lot of cousins up there to play with.,
Palma Hanson Hove,00:08:56,00;09;00;12,"You know, when we got there, because my uncle.",
Palma Hanson Hove,00:09:00,00;09;17;11,"That is my real aunt and her husband, they had a homestead right next to my grandmother and grandfather. So they weren't up there alone. And then a neighbor of ours, they also had a homestead there. And and they lived there till the kids were big enough to.",
Palma Hanson Hove,00:09:17,00;09;19;20,Go to school. There was no school up there.,
Palma Hanson Hove,00:09:19,00;09;21;10,Of course.,
Palma Hanson Hove,00:09:21,00;09;24;05,They had to go and and try.,
Sam Schrager,00:09:24,00;09;29;17,Can you remember what the country looked like on the on the drive? Was it all settled up?,
Palma Hanson Hove,00:09:29,00;09;30;26,"No. Oh, no.",
Palma Hanson Hove,00:09:30,00;09;32;05,"No,",
Palma Hanson Hove,00:09:32,00;09;53;11,"No. Going from drive up to the the timber where they lived, it was just narrow dirt road, you know, and rough and and very few houses, I suppose, I suppose, ever a homestead. So I don't know what a homestead consisted of.",
Palma Hanson Hove,00:09:53,00;09;56;18,80 or 60 acres or something like that.,
Sam Schrager,00:09:56,00;09;59;16,"But in 60, probably.",
Palma Hanson Hove,00:09:59,00;10;00;21,"And, you.",
Palma Hanson Hove,00:10:00,00;10;03;22,"Would meet, you know, go by a few places, but.",
Palma Hanson Hove,00:10:03,00;10;11;00,Not very many. Yeah. It was kind of wild and secluded.,
Sam Schrager,00:10:11,00;10;12;22,But with your kids play and.,
Palma Hanson Hove,00:10:12,00;10;17;27,"Oh, my, there. Well.",
Palma Hanson Hove,00:10:18,00;10;28;00,"I don't know, of course. To us, the just walking down the lanes and the timber and picking flowers and watching them make shakes and all that was,",
Palma Hanson Hove,00:10:28,00;10;29;07,Was just a thrill.,
Palma Hanson Hove,00:10:29,00;10;46;22,"You know, because, we had never lived up there in the timber, but I remember and my grandmother, they had a log cabin and there was no ceiling, you know, to the rafters. And I remember that I slept on a cot, and I looked up and there was a.",
Palma Hanson Hove,00:10:46,00;11;10;26,"Rat sitting up on one of the rafters. No, I was so scared. Of course, I think grandma said, oh, that they won't hurt you. She said that they're just pets. So it was really kind of fun. I hadn't thought of it for a long, long time.",
Sam Schrager,00:11:10,00;11;17;11,"Did you feel that the big difference between it, that being Timber Country is compared to.",
Palma Hanson Hove,00:11:17,00;11;37;26,"Oh, yes. Oh yes, definitely. Because, you know, down there we had our wide open spaces and up there, which is really thick with trees. It wasn't the best timber in the world, but then it was timber that they could make fence posts and, and, shakes and shingles.",
Palma Hanson Hove,00:11:37,00;11;40;28,And stuff like that out of.,
Sam Schrager,00:11:41,00;11;45;18,So when did they plan it all? Did they have a crop.,
Palma Hanson Hove,00:11:45,00;11;45;26,And.,
Palma Hanson Hove,00:11:45,00;12;04;17,"A no, I think a little bit wild. A little bit of oats in places where it was cleared. Just enough for, for hay in the wintertime. Other than that way, it was mostly pasture, you know, in the summer. No, it was,",
Palma Hanson Hove,00:12:04,00;12;06;21,Then I ever remember in.,
Palma Hanson Hove,00:12:06,00;12;12;19,"Racing. And if we do anything like that up there, because the ground wasn't clear that much, it was.",
Palma Hanson Hove,00:12:12,00;12;16;08,"Just, like I say, just timber.",
Sam Schrager,00:12:16,00;12;23;14,Was there a very close relationship between the Norwegian community at Genesee and the one near Troy?,
Palma Hanson Hove,00:12:23,00;12;24;05,The people there.,
Palma Hanson Hove,00:12:24,00;12;42;28,"No, no, no, we hardly we didn't know anybody. Hardly. And trial. I guess the folks knew the 1 or 2 families there that, that they had met, but, no, it was too far, you know, to commute between for visiting or anything like that.",
Sam Schrager,00:12:42,00;12;44;09,Unless you were relatives.,
Palma Hanson Hove,00:12:44,00;12;54;09,"Yeah. But we, in the later years, we had relatives living in Troy. But, at the time that my grandparents lived way.",
Palma Hanson Hove,00:12:54,00;12;58;18,"That's as far as we went, was up to their place next to our uncle's place.",
Sam Schrager,00:12:58,00;13;01;00,Where was their place from? Troy?,
Palma Hanson Hove,00:13:01,00;13;06;07,"Well, it would be, It would be North.",
Palma Hanson Hove,00:13:06,00;13;17;08,"It's kind of like, above Spring Valley. Up in there. Further north, I think, than Spring Valley.",
Sam Schrager,00:13:17,00;13;19;10,That's still riding the timbered country.,
Palma Hanson Hove,00:13:19,00;13;27;09,"Oh, yes. We owned, my husband and I owned a little place up there in the spring Valley.",
Palma Hanson Hove,00:13:27,00;13;30;16,"For a while, but then we sold it.",
Sam Schrager,00:13:30,00;13;35;00,"So I wonder, is there a point if their place is being farmed now or if it's gone back?",
Palma Hanson Hove,00:13:35,00;13;41;03,"No, I don't, I don't believe it's ever been cleared for farming that I know.",
Palma Hanson Hove,00:13:41,00;13;43;20,I think it's just sort of.,
Palma Hanson Hove,00:13:43,00;13;50;18,"You know, has some of that soil was. It was very light. And and then another thing, it's always a late that.",
Palma Hanson Hove,00:13:50,00;13;52;00,Crops would freeze.,
Palma Hanson Hove,00:13:52,00;14;03;01,"And but as I remember, it was, just a little old that, that my family's raised up there.",
Sam Schrager,00:14:03,00;14;09;08,"Well, what was your, your home like where you grew up on, near Genesee.",
Palma Hanson Hove,00:14:09,00;14;10;03,Oh.,
Palma Hanson Hove,00:14:10,00;14;11;11,"Well, the house.",
Palma Hanson Hove,00:14:11,00;14;23;07,"Is still there, although do you remember here a little while back where there was an airplane went down? Right. That was. That's where I was born and raised.",
Palma Hanson Hove,00:14:23,00;14;26;08,"And those fir trees that were in the back, my father.",
Palma Hanson Hove,00:14:26,00;14;27;13,Brought down from my.,
Palma Hanson Hove,00:14:27,00;14;36;04,"Grandmother's place up there in the in the timber and planted, there was a whole row of them for a windbreak.",
Palma Hanson Hove,00:14:36,00;14;40;08,That's a place that my house is still there.,
Sam Schrager,00:14:40,00;14;42;23,This is on Cow Creek.,
Palma Hanson Hove,00:14:42,00;14;45;12,"Oh, yes.",
Palma Hanson Hove,00:14:45,00;14;47;15,"Well, you know where Fred Horvitz lived?",
Palma Hanson Hove,00:14:47,00;14;48;22,"Well, this was right over.",
Palma Hanson Hove,00:14:48,00;14;50;04,The fence.,
Palma Hanson Hove,00:14:50,00;14;51;04,"From,",
Palma Hanson Hove,00:14:51,00;14;56;06,"Where they live now that my home was,",
Sam Schrager,00:14:56,00;15;04;13,"Was it small when you were just a kid, or had they already built into its present size?",
Palma Hanson Hove,00:15:04,00;15;25;14,"No. My father added to it. He built a little home for my grand parents, right up by our place. And right about. Oh, you know, length of the house away from ours. And then after they passed away. What? Then he moved that little house up next to ours and made bathroom and bedroom and.",
Palma Hanson Hove,00:15:25,00;15;28;08,"Stuff out of it. So,",
Palma Hanson Hove,00:15:28,00;15;41;03,"We added some to it, but, my father and, another man built the house in the first place, and it was only just, it was a two story, but.",
Palma Hanson Hove,00:15:41,00;15;42;02,"You know, just.",
Palma Hanson Hove,00:15:42,00;15;44;07,Not very big.,
Palma Hanson Hove,00:15:44,00;15;50;06,Although we were ten kids.,
Sam Schrager,00:15:50,00;15;54;24,How did it work? Would there be a bunch of kids and one in each bedroom or.,
Palma Hanson Hove,00:15:54,00;16;18;09,"Oh, yes. Well, we had an upstairs, and I think we had three rooms upstairs, and the boys had 2 or 3 beds in one part, and the girls said, yeah, of course, there was only eight that lived. So, but we always had somebody staying there. My uncle practically lived at our place for years and years, and my cousin used to come there and stay in the wintertime.",
Palma Hanson Hove,00:16:18,00;16;23;20,"And I don't know how they did it, but they managed to somehow.",
Sam Schrager,00:16:23,00;16;25;08,Did you feel crowded when you were?,
Palma Hanson Hove,00:16:25,00;16;28;20,"Oh, indeed we did.",
Palma Hanson Hove,00:16:28,00;16;29;18,So proud. Crowded.,
Palma Hanson Hove,00:16:29,00;16;39;05,"All right. But we had what they call a summer kitchen. And, in the wintertime when they put a bed out there too and had a little stove out there to.",
Palma Hanson Hove,00:16:39,00;16;40;24,"Heat it, you know. Are you taking.",
Palma Hanson Hove,00:16:40,00;16;42;05,This Auntie.,
Palma Hanson Hove,00:16:42,00;16;42;17,Off.,
Palma Hanson Hove,00:16:42,00;16;44;08,For crying out?,
Palma Hanson Hove,00:16:44,00;16;47;02,And of course.,
Palma Hanson Hove,00:16:47,00;16;50;03,"Oh, that's really something.",
Sam Schrager,00:16:50,00;16;55;17,"Well, it's much better just for it to be a conversation between us that then it's much freer.",
Palma Hanson Hove,00:16:55,00;16;56;10,Yeah.,
Sam Schrager,00:16:56,00;16;57;19,Tell us a lot more.,
Palma Hanson Hove,00:16:57,00;17;02;19,"Well, well, we seem like in.",
Palma Hanson Hove,00:17:02,00;17;04;29,Those days you manage somewhere other.,
Palma Hanson Hove,00:17:05,00;17;06;24,We didn't have.,
Palma Hanson Hove,00:17:06,00;17;11;13,"Very fancy food, but we had plenty.",
Sam Schrager,00:17:11,00;17;17;10,It seems like in the big did most of we most of the family's big.,
Palma Hanson Hove,00:17:17,00;17;31;28,"Yeah. They were. They were big families. Not as big as ours, all of them. But there was a lot of them. Had eight children in their family and seldom anybody had less than 5 or 6.",
Palma Hanson Hove,00:17:32,00;17;33;10,So you know that I don't.,
Palma Hanson Hove,00:17:33,00;17;41;09,"Now countries go down there. That was used to be 30, 40 kids in that little one room schoolhouse and a teacher had all.",
Palma Hanson Hove,00:17:41,00;17;41;17,Eight.,
Palma Hanson Hove,00:17:41,00;17;47;14,"Grades. Now, if you don't think they had something to do.",
Palma Hanson Hove,00:17:47,00;17;50;22,But we got through.,
Sam Schrager,00:17:50,00;17;53;21,"Oh, I sure did. I.",
Palma Hanson Hove,00:17:53,00;18;03;24,"That's as far as I got was through the eighth grade. But then I did that. But that time I was, you know, between.",
Palma Hanson Hove,00:18:03,00;18;04;16,14 and.,
Palma Hanson Hove,00:18:04,00;18;08;22,"15, I had to get out and work.",
Sam Schrager,00:18:08,00;18;13;08,"Was it hard for the families when, when you were young to get by, too?",
Palma Hanson Hove,00:18:13,00;18;26;10,"Yes. It was because my father only had 80 acres. And you didn't, you know, that you had diversified farming. You know, we raised a lot of potatoes and had hogs and.",
Palma Hanson Hove,00:18:26,00;18;31;19,"Cows and stuff like that. But,",
Palma Hanson Hove,00:18:31,00;18;35;10,Buying 80 acres and try to raise a family and then probably a couple.,
Palma Hanson Hove,00:18:35,00;18;42;05,Extra away. It wasn't easy. My folks.,
Palma Hanson Hove,00:18:42,00;18;44;18,Lived there till.,
Palma Hanson Hove,00:18:44,00;18;45;15,,
Palma Hanson Hove,00:18:45,00;19;06;04,"I forget what year they moved into Genesee and my father bought a mercantile store, an interest in it, and my brother ran it. Well, first they bought a farm out of Genesee, Iowa that used to be the old town. And then they sold that, and.",
Palma Hanson Hove,00:19:06,00;19;08;18,"Then they bought into this store, and.",
Palma Hanson Hove,00:19:08,00;19;12;11,They had an interest in that until my father died.,
Sam Schrager,00:19:12,00;19;15;21,They bought a farm right where Old Town had been.,
Palma Hanson Hove,00:19:15,00;19;31;09,They sold the farm up in the valley and bought this one downtown or down the old town. And then they bought a place right inside the city limits. But it had some ground. So my father had cows.,
Palma Hanson Hove,00:19:31,00;19;32;09,And.,
Palma Hanson Hove,00:19:32,00;19;33;06,Milk cows.,
Palma Hanson Hove,00:19:33,00;19;36;20,And peddled milk there for a while.,
Palma Hanson Hove,00:19:36,00;19;40;01,And then they moved from there up to the place.,
Palma Hanson Hove,00:19:40,00;19;41;12,Uptown.,
Palma Hanson Hove,00:19:41,00;19;43;05,Where they lived until my mother died.,
Sam Schrager,00:19:43,00;19;47;05,"When you were young, did he work out very much as well as the work he did on?",
Palma Hanson Hove,00:19:47,00;19;48;03,Well.,
Palma Hanson Hove,00:19:48,00;19;53;13,"Yes. He worked out in, harvest time, usually about town.",
Palma Hanson Hove,00:19:53,00;19;54;17,That is about all.,
Palma Hanson Hove,00:19:54,00;20;09;24,"You know, the kids were small then, and he had the farming to do himself. And then the kids, when the boys got big enough for them, they got out and got jobs because there wasn't enough land for them to farm.",
Palma Hanson Hove,00:20:09,00;20;11;06,So they.,
Palma Hanson Hove,00:20:11,00;20;40;11,"My oldest brother went into, oh, my father bought him a big truck and he started in with the rock business and rock pits and, that was what he did all the time. He worked for years for Mexican in Spokane with Rock and Anybodies on, rock pit down by, Lewiston, which he had until he had a real bad heart attack.",
Palma Hanson Hove,00:20:40,00;20;47;18,Then he had to sell it. So he's gone now to.,
Palma Hanson Hove,00:20:47,00;20;57;21,"And my other brother that was in the store in Genesee, he kind of worked in stores off and on and then kind of like that business.",
Palma Hanson Hove,00:20:57,00;21;00;14,So then he my father.,
Palma Hanson Hove,00:21:00,00;21;02;10,For him there in the store.,
Palma Hanson Hove,00:21:02,00;21;06;00,After he bought into it.,
Palma Hanson Hove,00:21:06,00;21;14;21,My youngest brother joined the Navy and he never was here anymore. He was back East and Detroit and all over.,
Sam Schrager,00:21:14,00;21;20;21,And it was like it wasn't so easy for to to be able to stay if you didn't have a farm to stay.,
Palma Hanson Hove,00:21:20,00;21;21;27,"No, no.",
Palma Hanson Hove,00:21:21,00;21;23;17,"As soon as, say, were old enough, all.",
Palma Hanson Hove,00:21:23,00;21;24;19,"Of us, we, we.",
Palma Hanson Hove,00:21:24,00;21;27;07,Sort of left and.,
Palma Hanson Hove,00:21:27,00;21;36;07,"And was on our own, which we had to do, but we think that along fine.",
Sam Schrager,00:21:36,00;21;48;03,"Did you say that that there was a real difference between, in his feeling about the men working out or the boys and and his daughters working out?",
Palma Hanson Hove,00:21:48,00;22;07;27,"Oh, yeah. Well, he never would let us girls go further away from home than most glory. Let the boys say, you know, they sort of went out on their own and. But he wasn't he wasn't a stern father. My father was very gentle, but he was very.",
Palma Hanson Hove,00:22:07,00;22;16;19,Very careful about where his girls were. So we never got very far from home.,
Sam Schrager,00:22:16,00;22;21;04,Was that do you think that was the attitude that most of the grown ups had?,
Palma Hanson Hove,00:22:21,00;22;30;26,"Seems seems that way? It seemed like most of them stayed at home or close to home anyway, and so I, I think.",
Palma Hanson Hove,00:22:30,00;22;40;17,"In those days, you know, they were very worldly, I guess you'd call it.",
Sam Schrager,00:22:40,00;22;43;15,How about outdoor work? Did you mind if you did outdoor?,
Palma Hanson Hove,00:22:43,00;23;11;16,"No, we didn't have to work outside. No, you never had to work out. Said we'd pick potatoes. You know, in the potato harvest. But that was the extent of our. I never learned to milk a cow in my life, so I really wasn't that good. A farmer's wife. But we, Well, well, one reason, there wasn't that much to do.",
Palma Hanson Hove,00:23:11,00;23;19;22,"And the neighbors helped each other, so really, we didn't have to. When there was haying the neighbors, they exchanged work, you know.",
Palma Hanson Hove,00:23:19,00;23;24;14,"And and, that way we didn't we.",
Palma Hanson Hove,00:23:24,00;23;29;29,"Didn't have to do the same. And I don't think it would have led us anyway, because I didn't think it was.",
Palma Hanson Hove,00:23:29,00;23;33;20,The girls were. So it just.,
Sam Schrager,00:23:33,00;23;36;13,It's so different than the way people think nowadays.,
Palma Hanson Hove,00:23:36,00;23;37;10,Yes.,
Sam Schrager,00:23:37,00;23;39;09,It very interesting when.,
Palma Hanson Hove,00:23:39,00;23;54;02,"It, it was different too, because now, you know, the girls ride trucks and they drive tractors and not that too many worked out I don't think on I guess can harvest any.",
Palma Hanson Hove,00:23:54,00;23;54;24,But it's a.,
Palma Hanson Hove,00:23:54,00;23;58;18,Different certainly a different generation.,
Sam Schrager,00:23:58,00;24;07;16,"Why do you know why they felt that way about about girls then why they shouldn't do that. Well, men could do.",
Palma Hanson Hove,00:24:07,00;24;09;29,Well. I think the thing of it was that.,
Palma Hanson Hove,00:24:10,00;24;11;15,They didn't have that much.,
Palma Hanson Hove,00:24:11,00;24;12;24,Land.,
Palma Hanson Hove,00:24:12,00;24;16;24,"But what the neighbors could help each other and, the girls didn't.",
Palma Hanson Hove,00:24:16,00;24;18;25,Have to go out and work.,
Palma Hanson Hove,00:24:18,00;24;34;28,"Now, I know of some that, live further out, you know, in a bigger community, let's say. And I know that they had to get out and work and haying and and even shop grain and things like that, but.",
Palma Hanson Hove,00:24:35,00;24;37;20,Not in our community that in.,
Palma Hanson Hove,00:24:37,00;24;38;27,That I remember that.,
Palma Hanson Hove,00:24:38,00;24;40;10,At all.,
Sam Schrager,00:24:40,00;24;43;14,"Did he mind you going into town, into Genesee.",
Palma Hanson Hove,00:24:43,00;24;47;24,"Oh. When were. Oh of course when you got older, you know.",
Palma Hanson Hove,00:24:47,00;24;56;02,"So we were 16, 17 and then we got to go places.",
Palma Hanson Hove,00:24:56,00;25;03;10,"That and when we were little, we hardly ever went to town. I remember one 4th of July, we were going to.",
Palma Hanson Hove,00:25:03,00;25;16;29,"Go to town then. And so my father gave us each a nickel, which was big, you know, and we were so taken. My younger sister, she was lying on the bed, you know, and laughing and talking.",
Palma Hanson Hove,00:25:16,00;25;34;26,"About going to town. And much fun was going to be buried. Dig her up and swallowed it. And I remember she cried for an hour. So finally my dad said, well, he'd give her another nickel, but this. Sure, I got.",
Palma Hanson Hove,00:25:34,00;25;52;07,"Tell it, it wasn't like handing him a $5 bill like they do nowadays to go someplace. And then we sure didn't have much money, but we had a good time. It's a good life.",
Sam Schrager,00:25:52,00;25;57;20,"What did your mother do? Well, what were her tasks at the work that she had to do?",
Palma Hanson Hove,00:25:57,00;25;58;24,Well.,
Palma Hanson Hove,00:25:58,00;26;06;02,You can imagine. Was that many children? My mother was a very good seamstress. So she made all her dresses.,
Palma Hanson Hove,00:26:06,00;26;10;08,"And and, carded well and.",
Palma Hanson Hove,00:26:10,00;26;13;20,Knitted our stockings and.,
Palma Hanson Hove,00:26:13,00;26;15;23,"And she,",
Palma Hanson Hove,00:26:15,00;26;23;04,"She didn't do much out of work either. Only help. No, because she didn't do that. But that was relaxation for.",
Palma Hanson Hove,00:26:23,00;26;25;20,Get out of the house.,
Palma Hanson Hove,00:26:25,00;26;28;21,They all our own bread and.,
Palma Hanson Hove,00:26:28,00;26;29;13,"Well, you know.",
Palma Hanson Hove,00:26:29,00;26;38;25,"Of course, when I started, after I was married to, I did the churning and bread baking and all that, you know, but we learned.",
Palma Hanson Hove,00:26:38,00;26;44;28,"All that from home. So it wasn't hard. But they,",
Palma Hanson Hove,00:26:45,00;26;49;22,They seem to have time to visit friends and.,
Palma Hanson Hove,00:26:49,00;26;53;05,"They weren't, I don't think as particular.",
Palma Hanson Hove,00:26:53,00;26;59;13,"With their houses as they are nowadays. Maybe. And then I can see my mother down on her hands and knees, scrubbing.",
Palma Hanson Hove,00:26:59,00;27;07;10,"Those bare floors till they were just white, you know, the scrub brush and so they.",
Sam Schrager,00:27:07,00;27;09;08,"They weren't as particular, you mean?",
Palma Hanson Hove,00:27:09,00;27;10;20,"Well, I mean,",
Sam Schrager,00:27:10,00;27;12;11,In a certain place or something.,
Palma Hanson Hove,00:27:12,00;27;17;01,"Well, well, it was orderly, too. Well, I just.",
Palma Hanson Hove,00:27:17,00;27;34;01,"Meant that the their houses weren't that nice, that you had to really keep them up like you do nowadays. You know, if you have a real nice house and don't keep it up, it can be look terrible. But in those days, everybody, they.",
Palma Hanson Hove,00:27:34,00;27;36;17,"They washed and ironed and then, you know, did.",
Palma Hanson Hove,00:27:36,00;27;41;02,Just like we do nowadays. Only they did it the hard way.,
