speaker,timestamp,words,End Time,tags,terms
Rob Moore,00:05:14,We just read the.,00:05:15,,
Daniel (Bert) Gamble,00:05:15,The Old Grindstone.,00:05:17,,
Rob Moore,00:05:17,What else would you like to read?,00:05:19,,
Daniel (Bert) Gamble,00:05:19,"Well. Oh, well, we see, I think Saint Patrick's Day. Cailín an-álainn. That's an Irish word meaning beautiful girl.",00:05:28,irish,irish
Rob Moore,00:05:28,Okay.,00:05:29,,
Daniel (Bert) Gamble,00:05:29,"Cailín an-álainn, I must be leaving for the weary war away. Come again, my darling, don't be grieving: I'll return Saint Patrick's Day. Wait for me again mo mhuirnín — that's another Irish word for my darling — with the shamrock in your hair. When the dew is on the heather and the lark is in the air. They had skylarks in those days. Say your prayers mo chuisle, my darling, lift your head where'er you go. With God's help and my shillelagh — that's a club the Irish use to put people in their place. With God's help and my shillelagh from this land we'll drive the foe. Then when weary wars are over, some St. Patrick's day to be, you'll be mine in days of clover, a stór, mo chuisle, mo chroí — my darling is what it means. Now wait'll we see. Apple Blossoms. Often when May winds kiss the dear old orchard, tenderly again across the years comes the rapture of apple blossoms. Storming through my life's december tears. Pink and white cascades of petals falling take me back to the days of old, when in orchard lands we roamed together, sweetheart, when our tales of love we told. Pink and white the petals fell beside me, when you whispered that you loved me so, promised to be true whatever betide me, beneath the apple blossoms long ago.",00:07:13,agriculture;conflict;irish,orchard;war;irish
Rob Moore,00:07:13,That's really nice.,00:07:14,,
Daniel (Bert) Gamble,00:07:14,"Did you like it? Bless you. Well, did you ever have this book? Oh here's one — fighting strength. This takes it from Greek mythology. Fighting Strength. Out where Scamander went the war was waged by Agamemnon band, Scamander was a river that flowed through that country there. Out where Scamander went the war was waged. There where the forces rent the conflict raged along the hostile strand. Dead on the battlefield Patroclus lay, he was a fighting man, life's glory laid in dust. And Achilles armor could not turn away the mighty Hector's thrust. These men were heroes of the Trojan War. So on the battlefield of life, I stand bewildered and afraid. The foes of right appear on every hand. And I am so dismayed. Until the Patroclus of my heart today cries out ""Oh, hear me tell'. Not for Achilles armor, God, I pray, give me strength as well.",00:08:40,conflict;greek;literature,war;greek;mythology
Daniel (Bert) Gamble,00:08:41,"Give me a drink... That is taken from Greek mythology. Snoqualmie Falls, this one applies, 20 years ago. 40 years ago. Yeah. Snoqualmie Falls — it's a little falls on a river over near Seattle. If you've been in Seattle.",00:09:11,greek;lcoh places;literature,greek;snoqualmie falls;mythology
Rob Moore,00:09:11,I've been over Snoqualmie Pass.,00:09:12,,
Daniel (Bert) Gamble,00:09:12,"You know what it is? That's it. Snoqualmie Falls. I know a place where the winds are singing through silvery spray where the surges frigid roam, where restless waters are ever flying back to their ocean home. I know a place where the wild reeds quiver, where roaring torrents are dashed to snow; a wooded nook where the mighty river leaps to the vale below. I know a place where the woods are ringing, where the birds' glad cadence in lengthening days; where that veil of mists is ever singing, the song of the Master's praise. That's it. Now wait'll we see. I wish Lola were here I, I don't read well.",00:10:00,lcoh places;music_and_theater,snoqualmie falls;cadence
Rob Moore,00:10:00,Oh you read beautifully.,00:10:01,,
Daniel (Bert) Gamble,00:10:01,Oh bless you.,00:10:02,,
Rob Moore,00:10:02,I really enjoy your reading.,00:10:03,,
Daniel (Bert) Gamble,00:10:03,"Bless you. I have come back, I have come back across the gap of years. From those strange landscapes where men have foought and died; from hate and bitterness, from blood and tears, back to the lovely and humble countryside. How sweet the simple thing;s the wind, sweet rain, the zigzag fence, the fragrant new-mown hey. The mellow clanging, clonging in the lane of homing cowbells at the close of day. The stargleams in your tender loving eyes. The wild red rose by the sagging gate. The country children chasing butterflies. The old road when we watched bluebirds mate. I have come back across the mighty foam, to where you cried so when I went away. And in my prayer I ask no sweeter home than to be safe your dear arms to stay. I get carried away. I get carried away and I'm so sorry of it.",00:11:26,religion,prayer
Rob Moore,00:11:26,"There's no reason to be sorry for being carried away. And to some extent, the more you're carried away the more beautiful your reading of the poem is.",00:11:35,,
Daniel (Bert) Gamble,00:11:35,"That's wonderful… I have, yes, I have come back.",00:11:42,,
Rob Moore,00:11:42,We just read that one.,00:11:43,,
Daniel (Bert) Gamble,00:11:43,"Oh, yes, we read it. Yeah, yeah.",00:11:47,,
Rob Moore,00:11:47,Why don't you do You Have Come Back?,00:11:48,,
Daniel (Bert) Gamble,00:11:49,"Yeah, You Have Come back. You have come back across the gap of years from hate and bitterness and war and hell. And war and hell. You were in World War I, weren't you? No. No. Well, anybody that went through World War I, he knows what it is. I have, I kept the faith through all the lonely days and every...",,conflict;religion,war;faith
Rob Moore,00:12:19,You skipped a couple of lines. Do you want to go back and start again?,,,
Daniel (Bert) Gamble,00:12:22,"We're going to do it again, yeah. Okay. You have come back across the gap of years from hate and bitterness, from war and hell. I greet you through my overflowing tears and stress and longing that we know so well. I kept the faith through all the lonely days in every prayer I asked that God would keep his angel sentry. I like that word, angel sentry. Someone who guarded you and protects you. Angel sentry, you are troubled by your troubled ways, by... by France's shores and Okinawa's steep. Those are spots in the World War II. I have come back. It was so long to wait. This rapturous moment in your blessed, in your blessed return. And where we parted by the little gate, the wild red roses in my memory burned. You have come back from landscapes bleak and dreare. And I am happy as a child at play. My prayers are answered. God is ever near. And you are safe in my there arms to stay. Yes. I've done a hell of a job of reading you, a hell of a job. But I am deeply grateful to you for making this trip possible and coming here.",,conflict;family;french;religion,war;child;france;faith;prayer
Rob Moore,00:14:20,"I notice a lot of times, like, like, like you mentioned a number of different poems. You mentioned wild red roses. Yeah, things like that. Were there, were there roses around, around your old home?",00:14:30,,
Daniel (Bert) Gamble,00:14:30,"Yes, there were. And it's a country home. And there are men, field of wild roses and, landscapes. And there are plenty road and wild road. And along down in the Genesee, Uniontown country. And it's very, very beautiful and very lovely. And there's always a longing to come back to that beautiful place, you know, and so many. We had some of those lovely friends here this afternoon. They came and visited with me. I was so happy, and I don't know anything that made me any happier than your visit here. And I think, I think that you are wonderful.",00:15:08,lcoh places,genesee;uniontown
Rob Moore,00:15:08,Would you like to read this? The Wedge of Wild Geese?,00:15:10,,
Daniel (Bert) Gamble,00:15:10,"Oh, isn't that beautiful? Wind of wild geese flying down the mad March gale, though the snows are lying, in the haven vale. Not when flowers are fragrant and the sedges here; But when winds are vagrant over marshland's drear. Wedge of wild geese guide me, chart my lonely way, through the clouds that hide me from God's brighter day. Set my heart...set my sad heart singing down the coming years; wedge of wild geese winging, bear away my tears. Come in, come in. Hi, excuse me. I have a newspaper man here with me and a good one. Swedish Valentine. Anybody would have it, if you have children or not, it wouldn't matter. Not dainty, crinkly paper lace with cupid layering through. No ogling, painted female face with lipstick googly-goo; But great big rounds for kisses with strokes along the way, which means our arms go round your neck and love you good each day. Tattered and battered and fraught with scribbles of love divine, Proving how we hands wrought for my sweetest Valentine, yet. Well, this is surely a pleasure to have you here with me. I don't think I'm doing a very good job.",,lcoh swedish,swedish
Rob Moore,00:17:07,You did a great job.,00:17:09,,
Daniel (Bert) Gamble,00:17:11,"Oh, that's good, yes. Here's one called An April Song. Mad March Prayer. When the March gales toss the catkin sprays, and wild geese plow the sky; My memory turns to youthful days, the days that never die; And in the veil of yesterday I kneel and say a prayer — that God would bless you all the way and keep you in His care. That all the sunshine you have shed come back to shine for you, With wild geese winging overhead through skies of baby blue. April Song. Comes now to lovely April, sprinkling earth showers of rain, but the bluebird of hope keeps singing, that the sun will shine again. He sings of the blossom-blow-time, when the wildflowers nod and sway, of bud and bloom that will light my way along each springtime mile. Of the sweet wild apple blossoms that the Maytime soon will know, that the bond of beauty is ever broken — is never broken — as the Aprils come and go. Here's the Old Rail Fence. I'm sure that you planted it at home, you had an old rail fence, no doubt you have. The Old Rail Fence. Around the wheat it went in sprawling angles, back in the golden years I used to know, The shady wildwood froth with rosy tangles — knew it and loved it in the long ago. There's where the sunflowers came and bluebirds mated, across the daisy fields the soft wind sighed, there in the little lane the lovers waited — where apple blossoms came and bloomed and died. The tides of waving wheat have passed in glory, the old rail fence has crumbled with the years, but in my heart it left life's sweetest story — a ray of sunshine in December's tears. Abandoned road. Over your rutted sunflower trail did pass, the prairie schooners of the long ago While glad years brought their tides of waving glass, with checker bloom —that's a wildflower. And April scented snow, April scented snow. The freeway, cloverleafed and engineered, swung wide to leave you friendless and alone, where tumbleweed and bunchgrass summer-seared, bend down to mitigate the grief you've known. I sorrow for your wiped out glory years, a sorrow that is close akin to pain, and pray that someday smiling through my tears. Abandoned road, I'll climb your hills again",,agriculture;health;lcoh flora & fauna;religion,plow;wheat;pain;bluebird;bunchgrass;prayer
Rob Moore,00:20:39,"You used to do a lot of, wandering around and walking around out in that Genesee country.",00:20:44,lcoh places,genesee
Daniel (Bert) Gamble,00:20:44,"Yes, things like that, over the hills It was very wonderful I made so many dear friends. There were so many friends. There's a place out of Blaine, It's called Cow Creek And the reason it's called Cow Creek is that there was a man named Smith, ... Smith He had some cattle and he milked the cows and sold them cream and the butter and so on. But it still is known as Cow Creek and there's a dear old lady there, 114 years old, Grandma Smith, and she lives down there, she's a very, yes And it's a very interesting thing",,agriculture;food_and_drink,cattle;butter
Rob Moore,00:21:25,What was the country like back in the early days when when you were a youth and you used to wander out there?,00:21:29,,
Daniel (Bert) Gamble,00:21:29,"It was a bunch grass. Rough and and hilly, kind of hilly, rolling hills. And this bunch grass is a thing that it grows in bunches and it's got lots of nourishment. And the Indians loved it for their ponies. They could turn their ponies out. And right in the winter they could paw off some snow and eat the bunch grass and the bunch of grass was edible, and the bunch grass sustained their horses till spring. Bunch grass country.Then there were wild sunflowers, and those sunflowers were wonderful. Oh, they were fine.",00:22:09,lcoh flora & fauna,paw
Rob Moore,00:22:09,Did they make a little sunflower seed like we get now?,00:22:11,agriculture,seed
Daniel (Bert) Gamble,00:22:13,"Yes, sunflower seed like we have now. And those were in the pioneer days of long ago. Have you been to Genesee?",,[row length mismatch -- needs manual review],
Rob Moore,00:22:23, Yes,,,
Daniel (Bert) Gamble,00:22:27,"Well you'll have to go there. It's very nice, there's so many fine people. So many grand people. I know that you would know it. And I wish that Lola was here, my sister, she would help me decipher it.",,family,sister
Rob Moore,00:22:46,Would you like to read this one here?,00:22:47,,
Daniel (Bert) Gamble,00:22:48,I'd love to.,00:22:53,,
Rob Moore,00:22:53,Would you like to read Method in His Madness?,,,
Daniel (Bert) Gamble,00:22:56,"Yes, I'd be glad to. Oh yeah, Method in His Madness. Oh yeah, this is just a kind of comedy. Method in His Madness. Out through the back gate ran big Randy Taries, ran through the roses and over the way, a mighty mad man was big Randy Taries, as he rounded the rock where the red reaper lay — the reaper was an old style machine to harvest grain with and this reaper evidently was standing in the field. And right through the..., tither and yonder and up and away, right through to the jailhouse ran big Randy Taries, right to the jailor ran Randy that day. Haste bring your keepers said big Randy Taries, jailers and keepers I'll show you the way, out to my place said the big Randy Taries, my wife's mean old mother came out there today. His wife came out to see him And he didn't want her around He wanted to get away from her. That's supposed to be a little bit of a joke. It's not much of a joke.",,[row length mismatch -- needs manual review],
Rob Moore,00:24:33,Did things like that ever happen?,,[row length mismatch -- needs manual review],
Daniel (Bert) Gamble,00:24:35,No.,00:24:35,,
Rob Moore,00:24:35,"No, I mean, what kind of what kind of funny things did happen in the early days? Well, many funny stories about people or...",00:24:42,,
Daniel (Bert) Gamble,00:24:42,"Well let's see now, oh, here's one. The Language Of My Heart. If I should wake the long, long slumber through By through at dusk of dawn before the trumpet blows, I'll wonder if the lilacs at my head are nodding to the banker's rambling rose. He got my hard-earned jack, his bank went boom. They put the doodle daddler around his neck. They hung Cock Robin where the lilies bloom. I'll bet he'll get his needings now, by heck! (That's kind of slang). If I should wake the dreamless slumber or a rattling gangling skeleton I'll spring up through the caper weed I'll run and tear his headstone down and make whoopee and sing, a song of victory over wrong and death, just as the trumps soft notes come through the gloom; won't Gabriel be surprised and gasp for breath to find me romping on that rascal's tomb?.",00:26:05,lcoh timber,boom
Rob Moore,00:26:05,"Did did a, did a banker do something poor to you?",00:26:10,,
Daniel (Bert) Gamble,00:26:11,"Yeah. We had a banker that absconded with the money. Oh, yeah?",00:26:15,,
Rob Moore,00:26:15,When was that?,00:26:16,,
Daniel (Bert) Gamble,00:26:16,"Oh, 30 years ago, I guess it was. However, they retrieved some of it, so it was all right.",00:26:22,,
Rob Moore,00:26:22,Was that Genesee.,00:26:23,lcoh places,genesee
Daniel (Bert) Gamble,00:26:23,"Yeah, Genesee, Yeah, but he got away with it. Somebody. Yeah. I think he would come over and say hello. This is a newspaper man of our age, and we love him.",00:26:35,lcoh places,genesee
Rob Moore,00:26:35,You want to read this one here? Don't You Remember The Time?,00:26:38,,
Daniel (Bert) Gamble,00:26:38,"Don't you remember the time? ... Don't you remember the time, old pal? When we were sweet 13. When we threw rocks at the neighbor's girls that played on the village green. Wasn't it fun the way they yelled when we pulled their old red hair and chased them. Two with snakes in our hands just to show them we didn't care. In the great green elm where we climbed and yelled on that Sunday morning, [hi], a sanctimonious Parson Jones and his flapper wife went by, the swimming hole where we swam and div, where we got the tan on our face till the folks found out, then we got tanned in a whole [Come in. Come in, please] Till the folks found out, then we got tanned in a whole different place. The swimming hole where we swam amd div, where we when we got tan on our face, until the folks found out, then we got tanned in a whole different place.",00:28:06,family;leisure,wife;swimming
Daniel (Bert) Gamble,00:28:06,"Old in old Harper's Hill. Down Johnson here. There's a man named Earle Harper there. He still owns the place. He's dead now I believe. Old Harper's Hill, when it crusted snow down a steep incline with fled on that wintry day when we ran away with your bughouse brother's sled. He had a crazy brother, you know, he had a crazy brother. Wonderful days and wonderful dream, and I would not give a dime to have him back. But say, old pal, don't you remember that time?",00:28:58,family,brother
Rob Moore,00:28:58,You want to read that next one?,00:28:59,,
Daniel (Bert) Gamble,00:29:00,"Yeah. Yeah, yeah. The Quick and The Dead. When poor, young Mrs. Jim Brown died, Jim said ""I will remain a widower through all the years. I will never wed again."" ""You will keep her memory green as always,"" was what the rector said, ""until the day they judge the quick and likewise judge the dead."" ""Quick and dead is right,"" said Jim, to pretty Maudie May. ""We are the quick and she is the dead. Let's name our wedding day; one week is far too long to mourn for anyone,"" he said, ""so, rector, if you will bless the quick, the quick will the bless the dead. Isn't that silly? Isn't that a thrilling read?""",00:29:55,family,wedding
Rob Moore,00:29:55,"Well, you want to read this nursery rhyme?",00:29:57,,
Daniel (Bert) Gamble,00:29:57,"I'll be glad to read it. Yes. Yeah. oh. These are about Lola's little children. When they were very little. Three little farm girls went to town sing, sing O Nola Vola thing (that's Lola) to get her mother a brand new gown. Sing O Nola V, sing sing O Nola Vola, sing double Nola Vola, Professor McFiddle Faddle is invited out to tea. Yeah, it's just a nursery rhyme.",00:30:3,[row length mismatch -- needs manual review],
Rob Moore,00:30:36,"Yeah, yeah.",00:30:37,,
Daniel (Bert) Gamble,00:30:37,Nonsense.,00:30:37,,
Rob Moore,00:30:37,"Well, that's okay. What? What else would you like to read?",00:30:40,,
Daniel (Bert) Gamble,00:30:40,"Oh, anything. If there's something there that you would enjoy, I'd like to read it. Out in the cold again. He had served without pay on the old PA (that was in the war days) and expected to live in Utopia. But his plans went askew, one of the two for when Congress got through, they had exhausted the great cornucopia. April Fools. It was April Fools Day and the bells were ringing from the tower as we went clattering down the aisle to greet a preacher dour. And when the good man asked you to honor and obey, I still remember how you said, go eat a bale of hay. And as the years went coasting on. Oh, how I wish I on on. I vowed that I could eat you up like any lovesick lad, and as the years went coasting by, oh, how I wish I had! And now though prematurely gray, I've kept the golden rule: have learned and live to rue the day when I was an April fool.",00:32:19,agriculture;conflict;religion,hay;war;preacher
Rob Moore,00:32:19,Get the page for you?,00:32:20,,
Daniel (Bert) Gamble,00:32:20,Yes.,00:32:21,,
Rob Moore,00:32:21,They seem kind of stuck together in your book here.,00:32:24,,
Daniel (Bert) Gamble,00:32:24,And. And I'm not doing a good job of reading.,00:32:27,,
Rob Moore,00:32:27,Where's this picture taken here?,00:32:29,,
Daniel (Bert) Gamble,00:32:29,"That was out near Genesee near Tomer's Butte. Yeah. Oh, yeah.",00:32:40,lcoh places,genesee
Rob Moore,00:32:40,Why don't you read the Valley of the Pine.,00:32:42,,
Daniel (Bert) Gamble,00:32:42,"Valley of the Pine. Yeah, that's a good one. Often when birds are waking, the scene my heart enshrined, in dusk of dawning breaking, in a valley of a pines. Pines I so little heeded, along springtime ways till they soon stampeded, along with youth's glad days. From a valley The pines are singing. Song of the golden paST. Loud dreams anew they're bringing, of days to dear to last. Dawn winds with me are weeping, as the day god's vanguard shines, on the little girl who's sleeping, in the valley of the pines.",00:33:45,cinema,scene
Rob Moore,00:33:45,How about the Old Apple Tree?,00:33:47,,
Daniel (Bert) Gamble,00:33:47,Be glad to.,00:33:48,,
Rob Moore,00:33:48,Isn't that one of Lola's favorites?,00:33:49,,
Daniel (Bert) Gamble,00:33:49,"I believe it is. I think it is one of Lola's favorites. We will have you come out here at some evening or something afternoon, or when it's convenient when Lola's here. The Old Apple Tree. Beside the flax field fence bars it knew the years, raised gnarled rheumatic branches to the skies; through wind and rain and harvesting and tears, while nesting robins found the Paradise. It brought the blossoms for my bonny bride as lovely as the flowers of the May, when friendly folk around the countryside came in to greet us on our wedding day. Old apple tree bring back the flax field plants, Bring apple blossoms, sweet and wet would rain, a bunch grass trail that leads to where from whence, and her dear self to walk with me again. Well come in, come in please. Well, I think it's one of the maids making up the room. We'll have you come out one of these days when Lola is here, and she will help us to decipher it. Okay.",00:35:18,family,wedding
Rob Moore,00:35:18,Yeah. Would you like to read some of these out of the Golden Harvest section?,00:35:21,agriculture,harvest
Daniel (Bert) Gamble,00:35:21,"Oh, I'd be glad to do. Come in. Please come in.",00:35:31,,
Rob Moore,00:35:31,Put. Okay. Which one do you want to read?,00:35:35,,
Daniel (Bert) Gamble,00:35:35,"I hear one called Mount Si. It's Si, Mount Si is over on the coast Near Seattle. Yesterday we climbed Mount Si, through rain and gale, above the millstream in the maple vale, above the tops of forest kings that nod, up where the mighty profile faces God (There's a profile against the mountain over there and it looks like George Washington. And so that's what I'm talking about. But anyway, it's very, very beautiful). So great the task that towering height to scale, we toiled for ages up the ragged shale; and when the golden sun had gained the west, We stood triumphant on the mountain crest. Within this vale of tears, such heights we climbed, such mighty barriers in the fields of time. Some day and days to be we'll raise the sky god give us grace to climb our life's Mount Si. Yes, if you're ever over on the coast, which you will be, you'll see Mount Si. It has the profile of George Washington against the sky.",,[row length mismatch -- needs manual review],
Daniel (Bert) Gamble,00:37:04,"And you would have to see it to know what I'm talking about. But it's very interesting, very lovely.",00:37:14,,
Rob Moore,00:37:14,What's this poem Block Light about?,,,
Daniel (Bert) Gamble,00:37:17,"Well, here it is. Each time, oh yes, the engineer is speaking. Each time I pull the Limited I feel the great responsibility I bear; I wheel my locomotive down the steel, I watch each block light with the utmost care. When on the straight of way she's rolling free, her throttle wide, her Johnson bar clear down — (The Johnson bar is a lever that manipulates the reverse on the engine) — I watch with yearning eyes until I see the block that clears me for the wayside town. And then I wonder if God knows I feel, the debt of love I owe him day by day, I wonder if he sees me as I kneel, I wonder if he hears me when I say, ""Keep Thou my train and engine safe and me Guide thou my way to life, what air betide, until through faith and thy great love I see the block that clears me for the great divide""",,economic;religion;transportation,debt;faith;engineer;locomotive
Rob Moore,00:38:27,Where most of your poems written about particular people or...?,00:38:31,,
Daniel (Bert) Gamble,00:38:31,"Yeah, a great many were. Great many were. Yeah. And this was a very wonderful one about the block light. And if you, you're ever down around the roundhouse or whether moving locomotive, you will see what I'm talking about, you will see the, the wonderful way they have a moving equipment, you know, on it's great. Well, what is it?",00:38:57,transportation,locomotive
Rob Moore,00:38:57,This is Sharon's Rose.,00:38:58,,
Daniel (Bert) Gamble,00:39:04,"Sharon's Rose Oh, Sharon's Rose, yes, yes. Christ says in the Bible ""I am the rose of Sharon."" Roses live only a summer, roses live only a day, buds that bloom in happy springtime, blossom only to decay; but within the heavenly portal, where eternal love abides, blows the spiritflower immortal, far beyond the sunset tides. Spiritflower you bloom forever, in that land beyond the skies, snows of time shall kiss you never, in that far-off paradise; gates of heaven lend protection, you grow dearer every hour, symbol of our resurrection, angels bless you, spiritflower. That is really the name of the spiritflower. Well, I'm so happy that you got out and that you brought the book with you. Yes, and...",,religion,bible
Rob Moore,00:40:08,Are there a couple letters you particularly like to read?,00:40:12,,
Daniel (Bert) Gamble,00:40:12,"Well, if there's something there that you like, I'd be happy to do.",00:40:15,,
Rob Moore,00:40:15,Well I like almost all of them.,00:40:16,,
Daniel (Bert) Gamble,00:40:16,"Oh, Glenn, I think you wonderful.",00:40:20,,
Rob Moore,00:40:20,Why don't you read the last one here in the book?,00:40:23,,
Daniel (Bert) Gamble,00:40:23,"I will. This is a kind of a gruesome thing. Faith that triumphs — I'm dead now, I'm dead, this is after death — Wrapped in my snowy shroud I lie, formaldehyde in my veins — just ask a doctor what he does with formaldehyde; he pumps it into your veins after death and that preserves you. Yes, oh yes, here we are, yes, yes: I hear you not when you come to cry over these cold remains. I do not know that the roses nod, outside the lonely room, of the fresh, dark earth in the churchyard sod, cleft for my silent tomb. But remember if I could speak to you, ""Heart of mine"" these lips would say, ""The power that has blessed me my long life through Will wake me again someday."" Faith Triumphant. And here's one called Easter: [aside: The doctor that's doing all this doctoring — his father is a minister and he's a wonderful good, good man. He read for me at Easter and said a prayer for me and wept for me and cried at Easter. He was a good man. Oh yes, thank you, thank you]. This is the victory that overcometh, now has the stone been rolled away, this is the blossom blowtime glorious, Wonderful Resurrection Day. Many or few will be the years remaining, it matters not if his love abides, and the faith of the Christ of God's ordaining,Rrisen anew with Eastertide. That's Easter, an Easter prayer. Well if you ever met this doctor, this man died two days after Easter, and he was a good, good man. He cried with me, held my hand, prayed for me and recited a prayer, and he was a grand and good man. Do you ever get up to the university?",,family;health;religion,father;doctor;faith;minister;prayer
Rob Moore,00:42:43,"Occasionally, yes",,,
Daniel (Bert) Gamble,00:42:44,"There's a university library is available there and anytime that you happen to be up there, you want to feel welcome to go into that library there and The Days of Yesterday is there And that's what it's for, it's for you to read and your loved ones to read and enjoy.",,education,library
Rob Moore,00:43:02,"Would you like to read the poem, Days of Yesterday, since the book's named for it?",,,
Daniel (Bert) Gamble,00:43:07,"That's an idea. Days of Yesterday. Out of the gateway of yesterday, the covered wagons wend, out of the golden long ago, silently end to end. Down the sunflower slopes and bunch grass trails, they passed me in bold array Then my soul leaped up and I'm young again, In my days of yesterday. I love to recall the pioneers that in tender memories sleep, theirs was the struggle that we might live, the sowing that we might reap; So in sweet daydreams Let me ride once more up those bunch grass trails away, in my chaps and spurs with the pioneers in those days of yesterday; And in after years, when I hit the road that their kindly feet have trod, it will lead my steps aright, I know, up that bunch grass trail to God",,history,pioneers
Rob Moore,00:44:10,"Okay, are there any more you would particularly like to read?",,,
Daniel (Bert) Gamble,00:44:13,"No, I think we've picked them all up",,,
Rob Moore,00:44:15,"Okay, well let's call it quits for now. We can both take a break and think about it",,,
Daniel (Bert) Gamble,00:44:20,"Please do, and let me find a way to thank you for your",,,
Rob Moore,00:44:24,Let me write the title down here,,,
Daniel (Bert) Gamble,00:44:26,"Your lovely visit, it's been an inspiration. It's just been an inspiration to hear your voice. And I am deeply grateful for all you've said to me and done to make it pleasant",,,
Rob Moore,00:44:38,I'm really glad you enjoyed the visit so much.,,,
Daniel (Bert) Gamble,00:44:41,"Oh, bless you, bless you Then you will come again.",,,
Rob Moore,00:44:44,"Yes, I will, I will",,,
Daniel (Bert) Gamble,00:44:45,God bless you and do come again real soon.,,,
