speaker,timestamp,words,tags,terms
Gus Gamble,00:18:34,"Yes, instead of him the cop got the letter. So he, a man said, some sheriff or some fellow, they sent him after him to bring him back. And they brought somebody else to, some other fellow, and then this, and they were just putting you down on the, they had a real hard-of-way horse back and then they dropped his hands behind his back. And the other fellow too. When they got him, when they got to, about the boarders from where, they got him the training. And so, yes, the other fellow was a neighbor. And they stopped him and handed him to the neighbor. And so he said, don't drop me to that neighbor. Oh, he just laughed. And so, yeah, the cop is quick as, yes, the old cop was pretty damn sleepy. He went to sleep. And by God, he'll just work the handcuffs off him and took his, he still got his gun. And then by God, he was all right. So he rang the bell like a little girl, going up in the rain, and it rang the bell and they stopped. He jumped off in his night. And they saw, he just disappeared in the darkness. So the fellow, the engineer, waited a little while. Nothing happened. So he went on and the next morning when they came to the station, he was over a five-inch waist. And it was a son of a bitch got away from us. And then they were too late. And so anyway, after probably a year was up or something, and he came back. He told me, by God, he had killed the man up to his head. And...",lcoh flora & fauna;transportation,horse;engineer
Sam Schrager,00:21:25,You mean he came back to clear himself?,,
Gus Gamble,00:21:27,"Yeah, he came back to clear himself. That was it. So they couldn't, in those days, they didn't do much anyway. So by God, they gave him a trial and for the beating of this, getting away from this fellow, they gave him six months in jail.",crime,jail;trial
Sam Schrager,00:21:56,That was for breaking away from the officer?,crime,officer
Gus Gamble,00:21:59,"Yeah, for breaking away from him.",,
Sam Schrager,00:22:00,But he didn't get nailed for killing the cop… the cop?,,
Gus Gamble,00:22:06,"No, it seems like they had no proof of it. And so he... They tried them all. Because that was the... They were in Washington anyway. And so they... All the proof they had was just this man. He said he hadn't done it. And nobody said anything about this. So he had been six months in jail. So another fellow, it wasn't the... It wasn't the man that he was taking from, but it was the other fellow. The harvester or something. And by God, he had killed the man and took his team and outfit. And by God, they got him. So Kevin had asked him some outfits. They left him for a whole tour. And by God, some of the farmers got home. They were pretty mad about it. So they were checking on him. And by God, Henry, in the summertime, he only had a couple of months left or so. And by God, they came... They came all out of the farm. They were like around here, just around Pullman and there. And three or four times they went there. And he was a brother of his. And they were after... By God, he had a brother who was not a good man. And he didn't believe it. His brother had to do it. And somebody had already hit the wind of it. And by God, he would be there. And by God, they'd see him and so on. And they would need him. And sometimes they'd have 40 or 50 men there.",clothing;crime;family;lcoh places,outfit;jail;brother;pullman
Sam Schrager,00:24:53,"Well, now who were they after? Were they after the Negro or were they after the Shorty Hill's brother?",family,brother
Gus Gamble,00:24:58,They were after Shorty. They really were after another fellow that took a man's team.,,
Sam Schrager,00:25:05,"Oh, did he just take the man's team or did he kill the man too?",crime,kill
Gus Gamble,00:25:09,"Yeah, he killed the man. He was someplace and took his team.",,
Sam Schrager,00:25:15,"Was this guy a Negro, the guy that did that?",,
Gus Gamble,00:25:18,"No, this is a different bird.",,
Sam Schrager,00:25:21,"Oh, it wasn't a Negro?",,
Gus Gamble,00:25:22,"Yeah, it wasn't a Negro. They took him someplace else, in the middle of the crime in Montana. But these boys... I knew quite a lot of them. He was about 19. He was walking or something like that. And he was about 72, 3 years old now. But they came in after this other fellow. And he had a really big cup. We used to see him around restaurants years ago, a big, heavy cup. So he put that in a sack and had it in his bed. And so they came in after him. That was the other one that had killed him. And I believe he had visited himself. Anyway, he was going to be hanged. And I guess they knew he had... But they hadn't had his child. Anyway, they got tired of it and they went to lynch him.",crime;family,crime;child
Sam Schrager,00:27:04,So they went in after the guy to lynch him?,,
Gus Gamble,00:27:07,"Yeah, they came in after him, about a dozen or so of them. And the rest was outside. And it's him, who was a good scrapper and a husky man, not afraid of anything. But there was a dozen or 20 or so came in. And he started... he had no gun on him, but he started swinging. Somebody grabbed his big coffee cup in the flower sack. Somebody grabbed that and then half a dozen or so grabbed it. And so, by God, he says, we will just lynch him too. So they lynched him too. They hung him both out of North End of the...",food_and_drink,coffee
Sam Schrager,00:28:04,Courthouse.,,
Gus Gamble,00:28:05,"Yeah, courthouse. That's the end of the courthouse on the second floor. And they let them hang off. I guess they didn't do it all the rest of the day sometimes, in the afternoon or something. They just let them hang there. They wanted to be a... A lesson? A lesson, that did want to be a lesson. So they were writing a song about the hot swan and these men hanging there. But these men took off right away and there was some hunting around. They wanted to have these men because they hadn't... I guess this fellow had been harvesting there and they took harvesting. He hadn't had his trial, I believe, as it was. If it was, the hill had been exonerated. He had a good reputation. It seems like he was never known to get into any trouble. But when he would get drunk, he'd get in trouble. I got to him and he was swinging to be head of this...",crime;leisure,trial;hunting
Sam Schrager,00:29:17,Barber sack?,,
Gus Gamble,00:29:18,"Barber sack. And my god, somebody grabbed his head and they grabbed the hill and they just put a rope on him and hang him through one of his windows. I had seen the household for 20 years. And the windows, two windows just put it right in. I thought there was one going out this window and one out this one. And you could see the... The window sills were just tipped and there was a dent down in each ten for the rope to go around out.",,
Sam Schrager,00:30:12,"There was a dent in the row, in the tin where the rope had hung?",,
Gus Gamble,00:30:18,"Yeah. Yeah, see, and it was all by guess. And I guess the hill came and got the body in. I don't know what they ever did, but I think they buried him and that was that.",,
Sam Schrager,00:30:38,So Shorty and the Hills never tried to take revenge?,,
Gus Gamble,00:30:43,"No, no, no, they never. They just said no and the man was running away from the law, so they thought he must have been dishonest.",,
Sam Schrager,00:30:57,"So the other man that was hung, he wasn't an Negro, he was not an Negro.",,
Gus Gamble,00:31:03,"No, he wasn't. No, they picked him up and they whispered with Hills. I don't know if it was Hills, but he was somewhere around there. I'm not that kind of man anyway.",,
Sam Schrager,00:31:20,"Well, listen, would you tell me that story again? My machine wasn't working. When you told the story about him putting on the hooves backwards on the horse, putting his shoes on backwards, how did that happen?",clothing;lcoh flora & fauna,shoes;horse
Gus Gamble,00:31:36,"Well, he had gone to ..., the Salmon River country, and he did make the moonshine up in there years ago. He was a young fellow then and there were probably no roads there or anything and he had that and this dang just trail and so on and Shorty had him down and it was the first time I got to hear these fellows. They didn't know that Shorty was in on this moonshine and so on and I got the told, we were talking and they said, by gosh, I guess they didn't exactly know Shorty. So I said, there's a fellow named Hill in there, he's had one of the ones that had one and so he happened to hear it and stood out of sight and heard them saying, I said, we'll go up and raid him tonight and be sure we get help. So Shorty, he, one of these fellows disappeared, he just jumped on his horse and took up a high way and went out of there, got hit by a wheel and fell off! He got photos taken and sent to. There was one old fellow called ..., he was basically one of the ... policemen I met Murray. Oh, yeah. He had the vanilla. He went out to get some cashew and some kind of pit or something, some place they could cast their stuff in the wooden pipe. So he made him up and he had a little coffee. Oh.",crime;food_and_drink;lcoh flora & fauna;lcoh people,moonshine;coffee;salmon;horse;ed hill
Sam Schrager,00:34:26,"Yeah. That's what it takes, huh?",,
Gus Gamble,00:34:28,"Yeah, that's it.",,
Sam Schrager,00:34:30,A little cough syrup.,health,cough
Gus Gamble,00:34:33,"That's very good. So, anyway, this Yeah, that's it. Ah, early in the morning, so they were sitting there and they'd set up the scene and they had to take a team of buggy, I think. Maybe they went I think there was a road out by the hurricane maybe up to the Soldier Medical Zone back here on the mountain. But anyway. Went up and up these pictures of the forest, maybe. so they decided they would they walked and ran back to the place that night and they'd all be making whiskey and they'd have the lunch on the floor or five of them there. So as far as they could… just… the trail from there down. I believe they walked and they were pretty rugged men. And they slowly in the meantime, the soldier was coming up the hill. He heard these folks talking and talking. So God didn't know they were talking. And suddenly he had a wound shot. There were fellows after them. So he stopped and they said Yes, I guess he had turned his shoes backwards. And before he left, what he'd done today, I mean he had turned his shoes backwards. So the men in Harnon had been talking to him once. The person who was there said, hey, remember me telling them about that horse? He said, you've been only shot by a gun. He was written down and I could call him that. He had a newly-shared horse. A newly-shared horse. The whole wheel get in. And they seemed to know the place where the event was supposed to be. So after it was quickly sorted out, he just rolled the steel-hugged horse into...",cinema;clothing;conflict;food_and_drink;lcoh flora & fauna;transportation,scene;shoes;soldier;whiskey;horse;buggy
Sam Schrager,00:37:33,Into the camp?,,
Gus Gamble,00:37:34,And he was ready to eat. He rolled back and forth. He was coming out and I'd already turned the dog towards me.,,
Sam Schrager,00:37:50,So he made it look like he was going into the camp.,,
Gus Gamble,00:37:54,"That was his horse tracks. He'd gone in by the ... and I think he had a new horse. So I didn't catch him but maybe when they did, he was right there going in and round him up. So they worked their way on down and they held him and nobody was there and so on. They couldn't find the damn thing so they said, that's enough horse alive. There was nobody around, good afternoon. There'd been somebody there, literally, but nobody was there, no leader. So that was it. So then he rolled on and he said he was dead. He said he wasn't a leader, he was a ... These fellas drove down the street and somebody was asking about them. They said, didn't find the soul, there was nobody there. Yes, it was a false alarm and so on. And but surely he had just written out that morning and then when he came out that evening he just happened to hear them talking and he didn't he listened and god damn they were talking over there. So he rolled off to one side some little trail or something or something. So he he went and they walked by it. Oh! Well I told you about that horse. He's made some call and here to he came out, he just came out here right here on this trail and they talked about it. Yes. So quickly they were gone. Why he I believe he moved the horse in with the shoes on and backwards all the way",clothing;lcoh flora & fauna,shoes;horse
Sam Schrager,00:40:38,I remember. He wrote it backwards from the camp into Lewiston or from Lewiston out to the camp?,lcoh places,lewiston
Gus Gamble,00:40:46,From from from the place in the camp.,,
Sam Schrager,00:40:55,Yes. Yes. So made it look like he was really going into camp. Yeah. So they expected to find him when they got there.,,
Gus Gamble,00:41:01,Yeah. He made a cut off somewhere and they saw other horses had come up or something and they were here with me here with the story back on. He just had the new shadow and they said I'm going to fuck down here and he just has no has no has no war. That's just a brand new shot horse. That's our man. But he'd been shot all the way from I think about he jerked off the shoes and turned them around and then I forgot but he got in Lewiston just as the sun was rising up and he didn't even breakfast and then he drove down the street a couple of buggy's with my horse I had stopped some place and let him down some place and they could hear him so I was laughing and said son of bitches they've got to make a mess again and they'll see if there were cops and so on and I was sort of listening and they didn't because he went off the other way and I think he pulled the shoes off and turned them around so that was an awful awful wild man.,clothing;conflict;lcoh flora & fauna;lcoh places;transportation,shoes;war;horse;lewiston;buggy
Sam Schrager,00:43:15,You know I was going to ask you about the first work that you remember doing when you were a boy when you first started working on the farm. Do you remember when you first started working?,,
Gus Gamble,00:43:30,Oh,,
Sam Schrager,00:43:31,What was the work that you did then? What was the work that you did on the farm?,,
Gus Gamble,00:43:37,Oh I was doing a county drinking water for a crew of men that had t-shirts and bundle wagons and so on and I got fifty cents a day for fourteen hours work pretty like it.,lcoh thrashing,bundle;bundle wagon
Sam Schrager,00:43:58,How old were you then?,,
Gus Gamble,00:44:00,I was about twelve. I thought I had a job of cutting bands. They were supposed to have that and another kid and my god when we went together and they said that they'd give me a job and my dad had four different teams on and two of my brothers were driving bundle teams and dad was driving a bundle team and they had an extra team and they finished a man for him and so on and so the dad thought oh yes they had the fellow that he hired and so I wanted to go back home and know what the hell do you stand but you had to get some job here so they said to give you seventy-five cents a day but stay in college with more to the man and I am no and if they come to a better job we'll give it to you but they go the hell you said to them. They said well I should have said I didn't. I took it in and like I'm posting all the days along day.,lcoh thrashing,bundle
Sam Schrager,00:45:36,For a little kid...,,
Gus Gamble,00:45:37,That's it I'll tell you pretty house keep hell you know the wind got up early morning at the,,
Sam Schrager,00:46:00,How did you carry the water?,,
Gus Gamble,00:46:02,I had only had one sack but then a fellow rest of me another sack of laundry which it was so I had two sacks and they held them all together I think my girl maybe the bowery and they said yes I could put in water the whole crew with the whole one but then pretty big crew about thirty men and then I'd have to make a trip I should have a kayak so I could ride but I didn't and it was fortunately two hours a day for Covey Bams and so later on one day the company was about to end the season for that time and the boy had did work Covey Bams took quit and went to school and they got another Covey Bams but I would come once in a while but in a way they only gave me seventy five cents that was no good you know I should have I should have went right back home.,education,school
Sam Schrager,00:47:24,Where did you get the water from? would they have a well there?,,
Gus Gamble,00:47:28,Well there'd be a well every year in May we'd pull in here this place and about a few hundred acres and we'd do about a hundred acres a day seventy five or something and we put in a we couldn't have a place and we'd move to another place and they would be the same thing again but there was too many bosses there was an old man and his two sons and there was a kind of a foreign there and the longer they had thought they had one Bams coming in so when they when they this kid in the garage he jumped up with my damn cover and I stitched him up that much if I had a forehand or a saw and I'd notch back in here and put a oh wow I'd notch in this piece if I had forehand or any of that saw it back cut off the right length and put just just a couple of holes in that place and and put a rivet in each one and hammer it down and it's a section section off a motor or a binder and you could cut it like that and push it over to it and I would stand and the wood would have stood on one side and the other side I felt a cutting back feed him catch this and I'd have to have my and then they'd come back and the other fellow and push push it over and I'd have to have another one ready.,lcoh thrashing,binder
Sam Schrager,00:49:32,They'd push it in the machine there?,,
Gus Gamble,00:49:35,Yeah yeah I'd push it in the civil room and that's good so that's good.,,
Sam Schrager,00:49:41,Yeah I'll bet you water carrying was probably a harder job than that was.,,
Gus Gamble,00:49:46,Twice as bad yeah you know it just has to be hell and I should have pissed myself in the face but I didn't I was quite high in the days anyway but I didn't did I sit enough in my bed on that top for the whole night I'd be able to work the next year and out but that was no good yeah I think I had about 35 days and I'd have 70 dollars I'd have no quite a stake but I only had about 70 18 dollars something like that so that wasn't very good for a whole summer.,,
Sam Schrager,00:50:36,Was the food very good? was the cooking good?,,
Gus Gamble,00:50:40,Yeah the cooking was pretty good but it was out of sleep in the straw stack and get up and you'd leave it to put in yes put in oh December I think there's one place that we we'd start in the morning we'd in the morning get up and start at 5 o'clock and then we would at 9 o'clock eat we'd eat breakfast before that they'd have to of course I'd be up at 4 o'clock get breakfast at 5 and the man had I guess 3.30 and they'd be eat breakfast and we'd be going at 5 and then at 9 we'd get or bring out the coffee and the sandwiches and the old donuts or something and we'd have about 20 or 30 minutes to eat and go with them and have to make it up to the night and at night you'd have to get quarter feet at noon because there was nothing from more than 1 o'clock to read yes that was kind of a rough life.,food_and_drink;lcoh thrashing,coffee;straw stack
Sam Schrager,00:52:21,Were you the youngest one on the crew?,,
Gus Gamble,00:52:24,That one? yeah quite a bit yes these other kids were about 14 or 15 they had a lot of nerves the other day yes we were all and I told them I'd come down here with my dad and my dad said I was supposed to have band and I said no they have we had to come find somebody else so that somebody made it quick or something and he would get maybe a better job not just that.,,
Sam Schrager,00:53:12,What did you do? what work did you do after that summer? What was the work you did next?,,
Gus Gamble,00:53:19,Oh I don't know I guess the next year probably I'd go with Heaton and all these bundles there was about 10 teams and 5 bundle teams and I mean 5 pitchers and these pitchers would pitch for 2 wagons but it was kind of rough around so I might send an extra pitcher out and stick around because you'd have to ride down the upper side of the wagon and so on. It was but one of the pitchers did this they all come with a pitcher for a wagon yes 2 wagons for a pitcher and they had to ride it down higher then they would have an extra man he was dead but anyway it was you wanted your money it was a little bit yeah I could do pretty much anything on the farm yes plow from Hatterwood we all worked all horses in those days we would plow walk and plow and we were little kids big enough we'd actually game plow by 3 didn't get much done in the day because this was we were just kids you know yes because of the tract rule there now he could cut a lot of the mutters for 5 game plows yes twice that he'd have a man that night and him days he'd serve by the bush and he would get a yeah he'd plow oh 50 or 60 or 75 acres in a day and we'd plow by 5 acres in a day and spin horses and feed them a load and go out and get about 2 or 2 and a half acres and it wasn't wasn't but then a man would get $25 a day for that.,agriculture;lcoh thrashing;leisure,plow;bundle;game
Sam Schrager,00:56:41,Were you still breaking land on the place when you were young young man were you still breaking new ground?,,
Gus Gamble,00:56:51,Yeah yeah we had a big old breaking plow put more horses on and and then one would drive and the other would hold the handles.,agriculture,plow
Sam Schrager,00:57:20,I wanted to ask you a little bit about the when you were living out there by Elk River what the logging camps were like in those days.,lcoh places;lcoh timber,elk river;logging
Gus Gamble,00:57:29,Well you would they pulled mostly with donkey engines but some of them were horse they'd drag them in with horses but they would they would if they'd drag them in with with logs they would just starting taking the logs short about 30 about 30 feet or so and then you would you would load them on the logs and and haul them in and then they would cut them cut them in timbers and cut them in links they wanted so long it would be in the middle but...,lcoh flora & fauna,horse
Sam Schrager,00:58:43,What were the what were the camps like the logging camps did you get to go in them at all?,lcoh timber,logging
Gus Gamble,00:58:50,Oh yeah yes we we stood in camps they had type of cars on the camps and they had bunks on this side the bunk of mats and they run I think there was about 60 bunks on each side of the market and they had double decks on this side it was 24 bunks and but they were pretty decent places they had been clean and it was 10 hours besides walking out to your job and back from parents day half an hour and walk out and but sometimes they were if they were too far out they'd take dinner with them and maybe they they would we worked 10 hours a day and but it wasn't too big of money you had to the snow got awful deep some winter.,,
Sam Schrager,01:00:24,Were most of the guys that were working there like the old time lumberjacks?,,
Gus Gamble,01:00:30,Yeah they were mostly all old lumberjacks,,
Sam Schrager,01:00:38,What were those guys like? what do you remember them being like? the old lumberjacks.,,
Gus Gamble,01:00:43,All that was about our whole life they would they would come to the woods we were definitely friends and there was there was lots and lots of timber and and they were just they had their camps when they got their way off they would just move them out it was water you could get and they have a cook and a bull cook and a couple of flunkies and about 100 men and so it was yeah it was quite an improvement from the old stationer log shacks but by the time we left we left about 19 oh five years or so my oldest brother he was in the woods a lot he worked on cedar something like that pretty good work that awaited us and they they all followed timber to make poles white poles and they had big holes round towns and so on.,family;lcoh timber,brother;flunkies;timber
Lola Clyde,01:02:30,What nationality were most of the lumberjacks?,,
Gus Gamble,01:02:35,A lot of Swedes among them and then about the time we were there quite a lot of the all they were pretty well mixed up and quite a lot of weeks and some of they shipped out from the old country.,lcoh swedish,swedes
Sam Schrager,01:02:57,Were there guys from Yugoslavia there too do you remember any Serbians guys from Yugoslavia?,,
Gus Gamble,01:03:05,Yes that was a mixture of all kinds yeah they hadn't just been coming out a lot couldn't even talk they couldn't some of them got rippled up too they didn't have much if they just got killed that was a lot of us too.,,
Sam Schrager,01:03:38,There were a lot of accidents...,,
Gus Gamble,01:03:41,Yeah quite a lot of accidents.,,
Sam Schrager,01:03:53,Did you ever see much fighting among lumberjacks?,,
Gus Gamble,01:03:58,Well sometimes yes sometimes we'd be fighting in the cab and so on some old Irishmen you know would get a few drinks and come in about midnight or so would they make a big disturbance yeah how you doing there.,,
Sam Schrager,01:04:58,Well I,,
Lola Clyde,01:04:58,Oh I was just… giving it the once over again I've forgotten so much of it I've heard this feeling that I can remember to tell you about.,,
