speaker,timestamp,words,tags,terms
Dave Hickman or Tom Platt or Kenneth Platt,00:22:09,"No, I'd have to make an awful guess. I suppose in the neighborhood of 45, 50 head there, they could have been put up inside the barn without using the corral on the outside. And there was quite a corral there too with mangers around the outside so it could have been, I would imagine he could have put up 100 head horses there without stretching things too far.",culture,neighborhood
Dave Hickman or Tom Platt or Kenneth Platt,00:22:39,Did he take over that set up from a previous operator?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:22:43,He bought Sheldon out.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:22:48,Bob mentions housing a company of cavalry there. I always assumed it was that stable.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:23:01,"It was before my time then because that had to have been, well I don't know what that had to have been. I was going to say that probably was when the fort was still there or was this militia there. That was when he was a boy.",conflict,militia
Dave Hickman or Tom Platt or Kenneth Platt,00:23:14,It had been a little while before my time. When he was a boy it was old town anyway. Yeah. It wasn't Genesee that we know today.,lcoh places,genesee
Sam Schrager,00:23:24,What do you mean? You mean that was the older town before?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:23:26,"No. There's two Genesees. He means that Genesee originally was on the corner out beyond the East End warehouse if you're acquainted in Genesee at all. And it went around that corner and over toward the cemetery. It was on both sides of the road. Then when the railroad built in there, somebody tried to hold them up anyway and instead of coming on clear into what was the town at that time, they stopped where Genesee is now and said build your town over here. So this is what happened.",lcoh places;manual_labor;transportation,genesee;warehouse;railroad
Sam Schrager,00:24:07,How much of that town had to be moved in? Was there much there at the time the railroad came in?,transportation,railroad
Dave Hickman or Tom Platt or Kenneth Platt,00:24:12,I don't think they moved very much of it. They just built a new town.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:24:18,"I think so. There was a stage stop and a couple of stores out there. Levi's. But no, I think it mostly just went to bot out there and they just left it. I don't think they ever moved very much of it into town.",music_and_theater,stage
Sam Schrager,00:24:40,Was there still much of the old traces there when you were in the old town?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:24:48,"Now it's all far. They must have been close to a dozen buildings out there when we were kids. Now it's all far, man.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:24:56,So they're all gone now.,,
Sam Schrager,00:24:59,"The story that I read about that, Vollmer said it was Jake Rosenstein that was building up the railroad. That was what Vollmer said.",lcoh people;lcoh places;transportation,jake rosenstein;vollmer;railroad
Dave Hickman or Tom Platt or Kenneth Platt,00:25:09,"Oh, well this could be. There's one name that I keep kicking around and I don't know where he fits in, but this Levi had a store one time there in the early days. Of course Rosenstein had a store in my town. Then after him, his son Max Rosenstein ran the store there until it finally went out of business.",,
Sam Schrager,00:25:40,Do you remember what the Rosenstein store was like?,lcoh places,rosenstein store
Sam Schrager,00:25:42,"That was the biggest dry goods store there in Genesee. Oh, yes.",lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:25:48,"It was quite a store. It had a little of everything in it. They were good people to run a store. They wouldn't let you get out without buying something. If you came in there to buy something, you were just about going to buy it. The only thing I remember much about the Rosensteins was that there were two girls. As far as I know, they're still alive.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:16,One of them died I think about six months ago in Los Angeles.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:21,"Oh, is that right?",,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:22,"No, wait a minute now. I'm thinking of this one.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:29,"Oh. This one, yes.",,
Sam Schrager,00:26:36,"He was Jewish, right?",,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:38,"Oh, yes.",,
Sam Schrager,00:26:39,Did he take a very active part in the community life?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:46,I just don't remember that. I don't know.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:26:54,My dad tells me in that book about Marks and his Chinaman's clothes line.,,
Sam Schrager,00:26:59,Marks and his what?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:27:00,Chinaman's clothes line. He had a Chinese laundry there. Marks cut the clothes. He cut the clothes.,lcoh chinese,chinese
Sam Schrager,00:27:07,Why the clothes?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:27:10,The clothes. He didn't get caught at it.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:27:13,"I don't remember that they had any active part in the affairs of the town at all. Even who was the mayor or the council or anything else in those days. You guys were kids. You didn't care about that stuff. Well, my dad though for a while after he quit the stable was a street man and a policeman and water superintendent and everything. He exposed the job probably that at the present time takes about two or three people to do the same thing. But in those days, that's all there was to it. One of the things I remember a long time back is a fellow named Morgan who was the head of the telephone company in there. He lived way up on the north hill and he would drive in with this old car he has. I don't even remember what make it was. Two or three cylinder car. Two cylinder maybe. And he'd get just about 50 yards up this first hill if it was at least a bit slick. Well, that's as far as he ever went. Then he'd go home and get a pair of mules and take the car on home. But now, I don't know why, at that time he always went up that hill there by the old Herman furniture store. Now there's a pretty good road up the draw where he could have gone or it looks like he could have gone. But maybe in those days it was the weather bogged him down too. Maybe Ben Sawet he couldn't even got through.",lcoh flora & fauna;technology,morgan;telephone
Sam Schrager,00:29:05,Do you remember when that telephone came into Genesee? I don't really mean the year but were you kids at the time? Was it there as long as you can remember?,lcoh places;technology,genesee;telephone
Dave Hickman or Tom Platt or Kenneth Platt,00:29:19,"It was there as long as I can remember, I guess.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:29:22,"Dad had his phone there in the barn so it had to have been in there after 1910, 12, somewhere along there that they put it in. And farmers had it, I guess, in the country although I can't remember anything about the service or anything like that. Maybe that's like the old, they tell about the old phones that were hooked up on the barbed wire fences because they had lots of barbed wire fences. See, Genesee was only three miles actually from the first Indian reservation, the north boundary of the reservation. Although it's practically all owned now by white men, there's no Indian land left at all that I know of down there. Although it probably is so. At that time they traveled back and forth to Genesee right along, do some of their trading. So he has all that stuff that gambles used to have in there, and James' head, and Sweeney's stamp maker.",lcoh indigenous;lcoh places,reservation;genesee
Sam Schrager,00:30:50,What do you guys remember about any particular Indians that you knew when you were young?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:31:04,"Oh, I can remember going with that uncle of mine, Eli, one of the Genet, alright, Spaulding, one old Indian up there that he was quite good friends with, and that was Pio Potalek. Outside of Sundown Jackson or some of those fellows, I really didn't, I can't remember any names.",family,uncle
Sam Schrager,00:31:29,Did you know any Indians?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:31:32,"Oh yes, there were a number of Indian kids in school when I was in high school. And then this one family that moved in each fall to send these kids to school, they lived on their own ranch right there. And the one boy that stayed with them one winter in one school area is Dave Miles, who is a teacher and a Presbyterian minister now. I remember him real well.",agriculture;education;religion,ranch;school;teacher;minister
Dave Hickman or Tom Platt or Kenneth Platt,00:32:15,Who was it we went to see very many?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:32:23,"Oh yeah, Dan Arthur.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:32:30,"Yeah, I remember the Arthurs.",,
Sam Schrager,00:32:33,"Well, when you were young, there were still a fair number of Indians that had land around Genesee, right?",lcoh places,genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:32:44,"Oh yes, lots of them down further down on the reservation. Penny's family was another Indian family. Yeah, they had about as much land as any Indian.",lcoh indigenous,reservation
Dave Hickman or Tom Platt or Kenneth Platt,00:33:02,"Lawrence Kraut's place today, when I worked for Neil Swing, that 80 there belonged to an Indian named Cook. He used to farm it and come up and work on tassel machines there. Apparently he sold a lot to Lawrence or something like that.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:33:21,"Well, there are still scattered pieces of Indian land around there. Clydes meant Indian land in that area.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:33:37,"Of course you have to remember that when we were kids, there was someone living on every 80 acres or every 160 at least. Now there's someone living on every half section probably. Or maybe even not that much.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:33:57,Average size farm is over 800 acres.,,
Sam Schrager,00:34:01,"Was this land originally part of the reservation then, before? Then what largely happened was that Indians sold the land?",lcoh indigenous,reservation
Dave Hickman or Tom Platt or Kenneth Platt,00:34:14,"The land right around Genesee, all the land that we still have there, the Hickman family still have, was Platt Brothers at one time or was Platt's. It was homesteaded by a man named Hanson and then it was bought by Platt's, our grandfather. And then this is the land that we still have there. But you'd have to go about two miles or two and a half miles south before you get in at the reservation. But the land right around Genesee was all homesteaded. And well, the story is that our folks came there in I believe 79. 81.",family;lcoh indigenous;lcoh places,grandfather;reservation;genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:35:07,81?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:35:08,"Well that's when Mother was born, was in 81. But at that time the land around Genesee was all taken up, so they had to buy land. They could have come on farther up toward Moscow Mountain here and got land, but around Genesee it was all taken up at that time.",family;lcoh places,mother;genesee;moscow
Sam Schrager,00:35:31,"Do you have an idea of why they picked that place, why Genesee wanted? Well, the story was that they came to Uniontown and stayed with a sister, wasn't that it?",family;lcoh places,sister;genesee;uniontown
Dave Hickman or Tom Platt or Kenneth Platt,00:35:51,"Granddad's sister. And stayed over winter with them. And they were about five or six miles south of Uniontown. And apparently they had in mind coming to this Genesee Valley all the time because then the next year why they moved on up into Genesee Valley. And the way I understand they lived out on the old Perkins place for some time. And then finally bought this place from Hanson, but we still have. But my dad didn't come there until 89. And he came from North Carolina and just bought him a ticket to the end of the railroad and that was the end of the railroad. So that's how he landed there.",family;lcoh places;transportation,sister;genesee;uniontown;railroad
Sam Schrager,00:36:44,Do you know how he started in 89?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:36:49,"Well, he started working on orchards down on the Snake River and worked on ranch there for a year or two before he finally bought this livery stable. But he worked there a little while anyway on some of these farms.",agriculture,ranch
Sam Schrager,00:37:07,"Well, when Mr. Platt came in 81, the land was owned.",,
Sam Schrager,00:37:16,"Do you know how developed it was though? Was it very much under the plow already? I mean, wasn't much of it producing crop?",agriculture,crop;plow
Dave Hickman or Tom Platt or Kenneth Platt,00:37:28,I would doubt that. They had no great place to send a crop. No one could get rid of it.,agriculture,crop
Dave Hickman or Tom Platt or Kenneth Platt,00:37:36,They had to take it to all of us. They had to feed it.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:37:40,"They had to feed the pigs and drive the pigs somewhere. Or hey, they had to feed the cattle or horses or something of that sort. And there's another factor in there. There's been a big climate change because it was years before they could raise wheat on the Genesee class.",agriculture;environment;lcoh places,cattle;wheat;climate;climate change;genesee
Dave Hickman or Tom Platt or Kenneth Platt,00:37:57,"1917. The first war. It just about started. Yeah, it was during the first war they started.",conflict,war
Dave Hickman or Tom Platt or Kenneth Platt,00:38:04,"Before that, at the time we were talking about, beyond back the time we were talking about, talking about in the 1880s, those flats were Timothy and Clover. Hay. Of course, there was a big demand for hay then. All this work was horses. All transportation was horses. Unless it was even slower with oxen. So the whole climate has changed. And we have some pictures around some place. One of them, I think, is with your dad. And it's taken in front of Paul's store. And you can just see his head over the snow banks where they shoveled snow off.",agriculture;environment,hay;climate
Dave Hickman or Tom Platt or Kenneth Platt,00:38:44,That was 1912 or 13 when they tunneled through in order to get back and forth on one side of the street the other.,,
Dave Hickman or Tom Platt or Kenneth Platt,00:38:50,"Well, I don't know. You see, there's been a tremendous change. So stock was much more important in the early days than it was after the war. And it continued to be important for a long time because they drove stock from over around Grangeville. They even drove hogs from over in there, cottonwood in Grangeville, to Genesee because Genesee was the end of the railroad. They knew where they could go. That's what made Genesee for a long time.",conflict;lcoh places;transportation,war;cottonwood;genesee;grangeville;railroad
Dave Hickman or Tom Platt or Kenneth Platt,00:39:23,"During the war, they came in there with the horses for the French cavalry before we got mixed up in the war. They brought those salmon river and Grangeville and over in that country. Brought them across the Indian Reservation and probably picked up a pony or two as they came along. Anyway, they sold them out then. And the idea there was that they had to ride them through the gate in order to show that they were broken. Some of them hadn't even had to saddle on them before. But then they rode them through the gate anyway. I can remember that.",conflict;food_and_drink;french;lcoh indigenous;lcoh places,war;salmon;french;reservation;grangeville
Sam Schrager,00:40:08,Who grew them? Who raised the horses?,,
Dave Hickman or Tom Platt or Kenneth Platt,00:40:10,"Well, they came off the salmon river. I'm not even sure where the horses came from in the first place. But they came off the salmon river breaks down there someplace. Somebody was in the horse business.",food_and_drink;lcoh flora & fauna,salmon;horse
Dave Hickman or Tom Platt or Kenneth Platt,00:40:22,Just about everybody over there had a few horses.,,
Sam Schrager,00:40:27,It's funny because now you're thinking that it's so completely farming country. You don't think of it as much as being horse country. You know that is so much of it's stock country.,agriculture;lcoh flora & fauna,farming;horse
Dave Hickman or Tom Platt or Kenneth Platt,00:40:38,"But if every farmland or every piece of land, say 160 acres, had to have... Well, we had eight or ten horses there when we farmed that 160 there at home, 170 acres. If every piece of land had that many horses, there was an enormous amount of that land that was going right back into feed and grain to feed those horses. And well, the captain and Driscoll out there with their big outfit they had, and they had a bunch of mules.",clothing,outfit
Dave Hickman or Tom Platt or Kenneth Platt,00:41:18,"Thirty, forty mules around.",,
Dave Hickman or Tom Platt or Kenneth Platt,00:41:20,"I don't know how many mules they would have to farm a layout like they had, but it was a good many of them. Took seven horses usually on a gang plow, two bottom plow. Now they start out with an eight or six or eight bottom plow behind one of these tractors.",agriculture,plow
Sam Schrager,00:41:46,What about the marketing problems? Do you remember much about what that was like or what they used to say it was like in the early days?,,
