speaker,timestamp,words,preceding_pause_sec
Verna Palmer Hardt,00:16:54,But that was Stekker. The little boy was a nice little boy. These folks finally sold out and moved because they couldn't stand the talk about their boy setting the fire to the town and burning it up. The folks always had lots of cattle. Uncle Wes had a huge ranch and a huge bunch of cattle. He never knew just how many cows he did have or horses. He raised horses for the cavalry and he had Morgan stallions from the government and the bell founder mares. So he raised pretty nice horses. They were almost all the same color. Bay with white stockings and a star in their forehead with black mane and tail. Beautiful horses and fast too. One day he decided that he'd go down to the village of Colfax. Viola wasn't very big then. That was before Viola became very much of anything except just Palouse Bridge and a post office. I think someone had built a little bit of a store down here by the name of Knapp.,1.12
Verna Palmer Hardt,00:18:04,"Anyway, Wes hooked up his team or had his driver hook up the team rather. He always had a driver to drive his buckboard. He didn't like to drive himself. He wanted to look around and see what was going on. And Wes never drove a team that wasn't right up on their hind legs ready to run. Most always they were fresh horses off the range and maybe had never been driven before. Jeff Hill was the driver. Usually after he got big enough to drive. He drove Wes's team everywhere all over the country. But this day Wes wanted to go to Colfax in a hurry. So they drove down to Colfax and on the way they met another neighbor that was going to Colfax. I don't know maybe it was tax time or something. They were going down for some kind of a meeting. It was George Hill. And he yelled at Wes and says, Come on, Wes, let's go. And they raced all the way to Colfax. They got down there. Jeff said they blanketed their horses and he rubbed the horses and worked with them while they went up to the meeting that they had. And on the way back where they raced the horses again and when they got home, he had to rub the horses down and blanket them and walk them to keep them from getting stiff.",1.06
Verna Palmer Hardt,00:19:23,"Then one time,… dad had a team that Wes had given him, one that Wes had driven quite a few different times and they were quite tame. See my dad had a lame shoulder and a lame arm and he didn't do very much driving. It was very wild horses. He was driving this team around and oh he could go places so fast in that team. I don't remember just what their names were. We'll have to try to find out from someone else and remember what dad's team was. But anyway, the hired man wanted to take the team to go to Colfax to the dance. Dad said, All right, you handle them careful and be sure to blanket them when you get down there. And don't let them go too fast. So the hired man drove the team down to Colfax and hooked him up to the hitching rail in front of the dance hall, forgot all about blanketing him. He had his girl with him. And then after a while when the dance was over, the wee small hours of the night, they danced all night in those days. It had been cold and those sweaty horses that had to stand out there all night long in the cold, they weren't used to that. They were used to being blanketed. Well, he drove them back home, but they were pretty stiff. They weren't going too good. He was pretty badly frightened by the time he got them home and put them in the barn and he put blankets on them after he got them back in the barn and worked with them a little bit. Next morning, Dad went out to see about his horses and he noticed that they were all stiff and stove up.",1.52
Verna Palmer Hardt,00:20:51,"No good, he said. Turn them out. We'll just turn them back out in the pasture. They won't ever be any good anymore. They were what they called foundered. I don't just exactly understand it, but it seems like if a horse gets real hot and then gets cold, well, they get so they're stiff and stove up. Well, we call arthritis in human beings, I guess. Uncle Wes's teams were wild and his drivers were wild. He had about 40 hands, cowboys, that rode with him, done his riding and took care of his stock for him. Clear down to the Rattlesnake Hills, the horse heaven country was his horse pasture and his little pasture took in about all of what's south of Viola around the hill in the cup. It was a huge big spring there where he'd water his stock. When he'd bring in the horses to sort out what he wanted for the government, he'd put them in that little pasture. It was 100 acres or so of pasture that was well fenced with high rail fence.",9.49
Verna Palmer Hardt,00:22:05,"Then he'd ship the horses out or they'd take them down to the Fort Walla Walla and sell them for the cavalry remounts. Along about 1915, he decided there just wasn't room enough for him anymore. They fenced up a lot of his pasture down below Colfax. There was fenced in around the poplars and the wells and they fenced in around the little towns as they went down. And the people had pretty well fenced up all the good grass. So he rounded up all his stock and his horses and his cows. He had four trainloads of them and he shipped them to Canada. And here at Viola, he loaded on his family and all of his housewares and his tools and implements. Some of his pet stock that he had, his fancy bulls and his real good stallions and his mares that he had that were quite tame. He brought some over to Dad. There was Ned and Fred and Len and Joe and Patch.",1.24
Verna Palmer Hardt,00:23:14,"And Dad had another one he called Nell. And Susie was a little gray colt that had gotten crippled up on the racetrack. They were going to shoot her, but Dad saw her and he said, well, we'll just see what we can do doctoring her up. I petted her and petted her and he called her my horse because I doctored her and helped pet her so much and took her carrots and water and she went down and she'd stand in the creek. She was just a little cold. I think maybe might have been a short yearling. But that was the team that Dad drove, the Susie and Nell. There was Patsy was another one that Wes let Dad have. And all of those horses that were tame and nice, Uncle Wes gave to Dad for Dad needed the horses on the ranch here to work. The others were shipped to Canada. No, he didn't sell many of his horses. He turned what he could over to the army at Walla Walla, the court. Then he shipped the rest of them up to bigger Saskatchewan and started to drive. Jess told about it not too long before he died because Jess was getting up into 80 years of old before he told me this story. But anyway, when they got to Canada and to bigger, they found a place to camp out and they decided they'd stay there for a little while. So he stayed there for several years and run the wheat branch. But the cattle and the horses went on to the Peace River.",1.58
Verna Palmer Hardt,00:24:50,"Way over across the tundra and Jess said it was the awfulest, meanest drive he ever saw in his life. But he drove west in the buckboard all the way across. When you got to the tundra, you just didn't know whether you were going to drop down in Axle Deep or whether you were going to go on. There was no roads. They went along ahead of the cattle and the horses. If they'd gone behind them, they might have had a muddy earth path because they drove from June until fall. When they got over the Peace River, though, it was a beautiful country and a wonderful rangeland. And there, Wes settled his cattle and his horses. And every now and then, Wes would come back down on the train to buy his fall clothes. One day, particular, the funny story my brother used to tell, they run, dad run a dairy at that time and the boys would take the milk to the depot every morning to go to Spokane.",1.06
Verna Palmer Hardt,00:25:48,"And Wes went over to David's store in Moscow and bought his clothes for the winter. I think he had six or eight suits of underwear and two suits of clothes, a big bare skin coat, mittens and gloves and caps, socks, everything that he would possibly need all winter long. And he bought overshoes too. He put these all on the morning he was going back to bigger Saskatchewan up in Canada because he didn't want to pay duty on them and he would have had if he had no one of them. The boys said they had to help him into the buggy and they had to boost him onto the car to get on the train. But that wasn't the worst of it. He rode on past Spokane and clear up into bigger Saskatchewan. When he got there, there was a blizzard blowing. The livery stable man had his team. They helped him out of the train and helped him over to the livery stable and helped him up into the buggy and wrapped him up good with robes.",1.12
Verna Palmer Hardt,00:26:47,"And they were buffalo robes too, Jeff said. And they even put hot stones in the bottom of his buggy. And then they went out and the blizzard was blowing so bad they tried to persuade him not to go. Now I want to get home, he said, and the horses will take me home anyway. So he started out down the road and he turned the horses loose when the blizzard got too bad and he tucked down under the robes. Well the horses went until they couldn't anymore and they got off in the lee of a hill and stopped and stood there. Well, Wes couldn't get out of the buggy to do anything about it. He was too clumsy with all his clothes. But it was a good thing he had his clothes on because the next day when the riders went out to hunt for him, they hunted at night but they couldn't find him. But the next morning early they all rode out there around to hunt for the boss. They found him, sound asleep under the robes. He wasn't frozen, there wasn't anything the matter with him. The horses were pretty cold but the horses were buried in the snow. The snow had just combed up over them and made a nice cover for the horses and the buckboard. After that, Wes never went out alone anymore. He always had a driver and Jeff was usually the driver until Jeff got sick. He didn't want anymore of that Canada so he came back down here to live on the hill ranch until he died.",1.62
Verna Palmer Hardt,00:28:20,"Dad had quite a few horses if I can remember. To me by Ruby. She has a diary that belonged to my grandmother. Nancy Palmer. And way back in 1874 or something like that, she dated it and the time goes back to the time when Mullen was building a road and the 7th Cavalry was working in Montana. Uncle Wes was just a boy then and he was with the 7th Cavalry and the Army. And they were up in Montana getting ready to build a Mullen Road, surveying and making a country for white folks to sit in, to live in. They had time to go hunting a little bit now and then. The country was beautiful and full of game. There was few Indians but they were not at all bothering the people. Seems like that Custer's last den had been just about the last of it all and they weren't a bit worried about that. Uncle Wes just missed that because he'd been sitting on an errand over to the other side of the mountain and so that was the way it went.",1.4
Verna Palmer Hardt,00:29:42,"Grandfather Ancher Palmer was an audience man. He drove a mule, carried a little lancet and a few little medical things to fix up things and he was called a doctor. Well he was an herb doctor so he went along with the Army and had a grand time along doing it too I guess. He enjoyed the country very much. When he left Missouri his friend gave him a package of apple seed, just a little buckskin bag he carried in his pocket. Mile after mile he wondered if he'd ever find a place to plant those apple trees. Well one day he was up in Montana and he packed up driving a six horse, six mule team. He didn't drive horses, it was mules. Got it all loaded up and raised it going. Bang. One of the mules kicked him right in the side of the head and hurt his eye. He couldn't see so he just hung up the lines and had the mules go hunt the rest of the Army. They followed, they were used to doing it so they did and after a while they caught up with some of the soldiers and they saw his predicament so they said on ahead for Uncle Wes, he was an Indian Scout at that time, and he came back and the captain said you guys better hit for home. That eye isn't going to be any good and you're not going to be any good to yourself or anybody else until you get it treated.",1.04
Verna Palmer Hardt,00:31:03,"So they started down the, over the mountains and down the corn lane, down the St. Joe River and Saint Maries River to the lakes and then over the hills until they came to the Palouse River and down over some more hills and came to a beautiful little meadow. White rock springs and trees around now and then and bushes and game. There were deer in the meadow and prairie chicken and then Uncle Wes looked around and he said here we'll camp. So he threw the sacks, the packs off of the mules and turned them loose to graze. I don't know whether he hobbled them or not. They didn't say in the old diary but I suppose they did. They didn't take much chances on being left alone in a strange country where it was hundreds of miles to anywhere. So then he dealt a fire, fixed the ampoule comfortably and told him to take a nap and eat it for all. See if he could find something to eat. First he got a deer and had some meat, a hodgepodge of it. Then he found the prairie chicken and blew it off first and he had the eggs and the chicken too. Well that made a stew. He looked around and he found some watercress in the spring and some docks and then some manioc roots and he made quite a stew. Resembled our own meat stew that we made nowadays with potatoes, manioc roots and such and he had some canvas bulbs too in that stew. He looked around and wandered around where our grandfather slept and he had his stew bubbling on the fire.",1.4
Verna Palmer Hardt,00:32:41,It was a beautiful place and he thought oh how wonderful it would be to live here. But after a while when grandpa woke up he looked around and he said well that stew was awful good. This is a beautiful place. I'm going for a stroll up the hill. So he was around up on the hill and looked around and oh what a place. I'm going to plant my apple seed right here. So he did. He planted his apple seed. He said I'm coming back and going to bring the folks back. Went down and told Wes about it and Wes said I think so too. Let's get out of here and go. So they got up real bright and early in the morning and started out for Walla Walla. Fort Walla Walla. They got down there. I think it took them about a day to get there. It was real late. I think they camped down on the river that night. That would be the Snake River.,1.36
Verna Palmer Hardt,00:33:34,And they went across the Snake River and on down to Walla Walla the next morning. And there they decided they'd better take a boat on down because their father wasn't very well with that eye hurting. The doctor did it at the Fort Walla Walla. They came up a little bit. So they went on down to the raft of canoes. Down to where they could get a boat and go around and clear around that way around the horn of South America I guess. What Ruby said. And then down and up the Mississippi River again to Missouri to St. Hill. And then on over to where the folks lived in Illinois. And that was the end of the story. In 1870 Mrs. Bets and Grandpa decided to come back home to Asher Palmer. He called it home here at White Rock Springs. So he gathered the family together and Dad had the honor to guide the team. They started out with four nice horses but they didn't pull very good so Dad finally decided to get oxen. So he got two fans of oxen and he loaded on everything. If he went along he could do sister things. And Harriet. Her name then was Harriet Falter. She had two million children. Artie and Lily.,4.9
Verna Palmer Hardt,00:35:06,"And they come on back across to Missouri to St. Joe. And they got there and they met up with some other wagon trains and they met a Mormon wagon train. And the Mormon wagon train, well that wasn't too good. Dad didn't like it so he said he was going to put Grandma and his sister on the train at St. Joe and go to San Francisco that way. And Harriet didn't though. She decided to go on with the Mormons and the wagon train. It was as though she wanted to or not. We don't know. Because later on she found out she didn't want to. But then that's another story. They got to San Francisco and then took a boat and went on up to the mouth of the Columbia River and on up to Oregon City. So they stayed for a year or so. And all they see there, Grandpa and the boys, Granddaddy, Uncle Wes and my dad went on up the river with some of his mother's relatives that were along with them. There was the Newgens and the Green.",1.46
Verna Palmer Hardt,00:36:15,"They come on up the river and clear up the Snake River even. And clear up the Almoda. There they stayed overnight and there was a winter weather. It was snow at the time they got there. And it was over one day Dad decided to go get the mail if there was any because there was an irritating force at the coast of the river. So he got his horse and he went on over the hill to the top of the hill and there was snow. And he said, we couldn't go any farther so he tied his horse on top of the hill and slid down the hill to the port to the trading coast and got the mail. Climbed back up with one letter and some head but that was the one that they had. He got a few things I think from the first day of the trip but their supplies were getting short. We went on back down to Almoda here. They were smithing in a little rock house. It was still down there. I believe we found the same old rock house that was still there when we were there just before we started the band.",1.14
Verna Palmer Hardt,00:37:20,"The next day they had stepped up their ponies and loaded everything onto a wagon that they had gone along with them on a raft. That must have been hard working those canoes and rafts all the way up that river but they had their seams kind of a tug or whatever it was that they steamboat that went paddle, paddle, paddle with a great deal in behind it. And that was what they come up the river with. They went all over land then. They're across to Colfax and they had two little dogs with them but they'd lost their fleas. Their fleas annoyed them but there wasn't any fleas left at all but they finally got the Colfax. Then they come on up here to Whitehouse and build a cabin. First thing they did. And they got the cabin off except so they could go back after grandma and Emma. And then Harriet can come out at that time. They build a house there and that's their house too. So there were two. So grandfather said it was too far to go to Colfax and stages were coming in pretty soon. So when grandma and the girls came the next year he decided to apply for a post office. So he did and they got his post office. But in 1875 there was a post office but he had his certificate from the government way back in Washington D.C. And we have it here today.",1.44
Verna Palmer Hardt,00:38:49,Then grandfather thought well the folks were all coming up. So he went down the river and brought grandma and Emma and them up so they got up here in 1875. And they had a full fledged post office here. They had brought over with them an old chest or a secretary they called it that had little pigeon holes in it. That was the post office. And grandfather kept the post office. But you know to go back the minute grandma got here she looked all around and they had set up a little baking stove so she could bake. And they were old pioneers iron stove. And lots of nice kindling around her. She said I'm going to cook some dinner. And she went around and she saw grandpa's apple trees and they were just loaded with apples. There was early apples this was in July I think or August. There was early apples and there would be a lot more later on. But she made the most wonderful apple pie. It was down in the diary that Ruby our cousin had before their house burned up and she told us about it. That apple pie from the White Rock Springs farm. Oh they didn't know what to call it. They looked around and it was Palouse Bridge the government had said well it's Palouse. Can't be in the bridge he says. Palouse Bridge as far as we know. And that was where people got their mail. There was all kinds of neighbors around by then. It was settling up fast. People had found how beautiful Palouse was and the Indians weren't bothering and they were friendly and nice. Now I'll have to go back and tell you a story about grandma Maxwell when the next book came out.,3.86
Verna Palmer Hardt,00:40:35,Grandma Maxwell both grandpa Maxwell James Allen Maxwell and Lucy Nugent were married back in 1816. Grandma was born in 1866 and in 1865 she was going to see just a baby when they decided to come out here. It was after the war and grandpa had got home from the war and he decided that there wasn't anything to do but to get right out of where they were and come out here. So they left their part of the country there in Indiana and started out. Of course it was a pushcart and then they lived in a little sod house for a while. You see they started back before while they were in Ohio and then they started out. That was pretty good. Then they stopped. That was a nice little place and he built a little sod house. There was a hole in the ground and put the sod up on top and made a little sod house. And they stayed there all that winter. The next spring they planted a garden and they had flowers and they even had a cow.,2.86
Verna Palmer Hardt,00:41:50,"And they just got along real good. The next year after that Aunt Ollie had been born and they thought well it's fine till they winter again. But that winter the wind blew so hard and it was so snowy that it was a blizzard. And the blizzard blew so hard that grandpa had a big roll of twine and he unrolled that twine to go find the cow out at the barn. They couldn't see the barn at all and the blizzard blew so hard. And that prairie country was terribly hard to get around in when it blew. And then blew and blew and blew. But he got to the cow, fed water to her and milked her and brought the milk back so the babies could have milk. Rose and Ollie had their milk. Then the spring came and they planted the garden again. But this time all of a sudden all the noise they ran outside and there was grasshoppers everywhere. The grandpa was just a little girl then. I think she was about eight. She covered up the flowers and they tried to save things and they got those little things in the garden. But the grasshoppers ate everything.",1.2
Verna Palmer Hardt,00:43:01,"They turned the little in the garden and the radishes. They did little things down in the ground. The hay was all gone. There wasn't anything even the grasshoppers were trying to eat the pinks up. And all the things that got her just wasn't anything left. Even the flowers and grammars brushed and brushed and brushed to try to keep the grasshoppers off of her finally eating up. Well they were disturbed. Grandpa said, well, we haven't anything to eat and we haven't anything to do so let's go. Go to Oregon. They passed us everything and we went on over to where the railroad was and got on the railroad train and immigrant train. And they had all their belongings in their car and they could cook in the car and eat and just be a family. And they got acquainted with Rowan and Mrs. Rowan lived in the car right next to them. So they had a good time coming out. But somehow or other, oh yes, I forgot there was another baby born back here in that grasshopper in his time. His name was Eldon. Eldon picked me myself.",1.72
Verna Palmer Hardt,00:44:05,"And Uncle Eldon dropped something on his toe and it was sore. And little boys at that time, two years old, wore apron or dresses, little boy dresses, tore down and he'd gather up things in his apron and pack them around. And he'd go along and he'd say, throw a toe or anything. Gonna do it anyway. He was a really, really little pioneer boy. He could just get right along. So we got the transom fixed up. They got off the train and they loaded onto an immigrant boat. Gonna take them up to the Oregon country. They rode steerage and sawdust on the floor. And when they got out to sea, Grandpa made Grandma and the children all lay down till they got clear way out to sea. And then he let them get up and go out and they could look around. People were so appreciative they could hardly stand it to stay downstairs.",1.26
Verna Palmer Hardt,00:45:01,"But they went around, they looked down and there was a funny thing going on. What was that? It was a turtle. They caught a big sea turtle and the sailors were cutting it up to make turtle soup. Well, that was going to be a change from the beans and salbella, as they called it. And they dried soup and things that they had aboard. It wasn't anything like we have now for food. They had a hard pass to that sea biscuit, they called it. My mama made that turtle soup and it was so good, but it was green. My mother says she could remember that green turtle soup. But oh, how good it was. They had turtle soup then for four or five days. And finally they got clear up to the mouth of the Columbia River and they went over to the Oregon City. It was Portland, but there was a little wood chopping place there. And Grandpa got a job chopping wood for the boat. They lived there for a while. And they moved into another pretty cabin in the north.",1.04
Verna Palmer Hardt,00:46:01,"And there was a beautiful meadow and there were sheep all around. But there was one apple tree right close to their house. They had loaded with apples and they were all over the ground. Uncle Elton had never seen an apple before. And he gathered up apples and he'd open and he'd go around, throw it to her or anything, throw it to her or anything, go and pick those apples up anyway. He was going to have applesauce. And so he went and carried the apples up. And that was Ewing's place. Mr. Ewing came down and he gave them milk and cream and they had meat. But he chopped wood. Grandpa chopped wood there before they were boat for two or three years. Before they finally decided to come on up to the police country. Then they boarded the boat. They had regular steamers then going up the river. They put all their things and their little dogs on the boat. They'd get in their cow and some chickens. And they come on up to Wallula. There they got off their boat and they had brought along their horses too. And they got off and unloaded their wagon and all their things and put them in and headed over for Colfax. That was the place to go. There wasn't any place else. Of course they could go over to Fort Walla Walla but they didn't. They went to Colfax. They got to Colfax and then on up.",5.76
Verna Palmer Hardt,00:47:26,"They didn't know exactly where to go but there was a place called Eibler's Wretch where a man could cut rails and wood and things for the settlers. And he thought well I'll cut enough rails to hump. Since my home's dead before I try to hump it. So he went out and they lived there for two years while he cut rails. Sold some to the neighbors for supplies. He got turnip seed, potatoes and meat from Mrs. Rowland. He had a farm over where he's Moscow now but they call that Paradise…  and they lived there and their grandma was learning to read. She was nine years old. And Aunt Ollie and Uncle Eldon. Finally he got enough rails cut to go and get his big place there. They went down where it's Whalum now and they sent their homestead there. And got it all the rails built. Everything going in that wheat and oats and barley in there. Cows were doing well in their teens and mom was going to be a good size girl then. But she had a horse she called Gipp. And she'd ride all over the country to visit places. She'd go to school at Fallon. They had quite a nice little school there. In the summertime they'd go down and kick service berry down on the three-fork. That's Pullman now.",1.38
Verna Palmer Hardt,00:48:50,And when she got to be a pretty good size girl all of a sudden it actually happened. Grandpa was still cutting rails. He had fallen in some way and broke it late. So Grandma had to see the boy and family. And Grandma and Aunt Ollie done the chores and neighbors came in and helped. They got the thrashing done and everything old. All the neighbors would come in with everything to help when somebody got hurt in those days. There wasn't any doctors so that was the way they lived. Then fall mom had to go to school. She got through the day cold school there. She went to Collins School a while and got attended with J.R. Collins and some more of the boys. But then she was about 12 or 14. Had to go to Moscow. Moscow had a little village then and they had a college there. High school. There she went to college there for three years.,1.5
