speaker,timestamp,translation,words,tags
Thomas Murillo,[00;02;38;23],I traveled there myself during the war. That's the way I remember the trains.,Yo mismo viajé allí durante la guerra. Así recuerdo los trenes.,conflict
Angela Luckey,[00;02;49;08],Was it difficult for them to immigrate at that time?,¿Fue difícil para ellos emigrar en ese momento?,
Thomas Murillo,[00;02;52;06],"No, no. As I understand it, it was easy. Because, of the need for, workers in the fields who at that time, you know, actually, US was fighting in Europe, World War one and they needed, field workers as well as I'm sure in other, in other fields, they needed workers. And so, as today, it's, very convenient and cheap source of labor.","No no. Según tengo entendido, fue fácil. Debido a la necesidad de trabajadores en el campo que en ese momento, ya sabes, en realidad, Estados Unidos estaba luchando en Europa, en la Primera Guerra Mundial y necesitaban trabajadores de campo, así como, estoy seguro, en otros, en otros campos, necesitaban trabajadores. Y así, como hoy, es una fuente de mano de obra muy cómoda y barata.",economy;agriculture;conflict
Thomas Murillo,[00;03;35;15],People of Mexico City.,Gente de la Ciudad de México.,
Thomas Murillo,[00;03;40;01],"So they experienced no difficulty that time. They didn't even have passports. They had, but they did have some kind of an entry paper that I've seen, with the pictures of the family and a stamp on it so that, it was probably pretty simple. By the time. and as I say. The same situation existed very well before World War One, as existed in World War Two.","Entonces no experimentaron ninguna dificultad esa vez. Ni siquiera tenían pasaportes. Lo tenían, pero tenían una especie de documento de entrada que he visto, con las fotografías de la familia y un sello, así que probablemente era bastante simple. Para el momento. y como digo. La misma situación existía mucho antes de la Primera Guerra Mundial, como ocurrió en la Segunda Guerra Mundial.",hardship;migration;family;conflict
Thomas Murillo,[00;04;15;21],"They needed people, this country. Many people did to, work harvesting crops that put American people's food on the table. So it was it was convenient. And maybe it was made easier for they didn't apparently they didn't have quotas. And.","Necesitaban gente, este país. Mucha gente lo hizo, trabajó en la cosecha de cultivos que pusieron la comida del pueblo estadounidense en la mesa. Entonces fue conveniente. Y tal vez se hizo más fácil porque aparentemente no tenían cuotas. Y.",
Angela Luckey,[00;04;38;19],do you remember your grandparents?,¿recuerdas a tus abuelos?,
Thomas Murillo,[00;04;40;14],"No, I never knew them at all. I have pictured my father's mother, and, that's. I've never seen a picture of my other grandparents. I remember when I remember that my mother's father died, when I was small, because I remember seeing the letter and notifications bordered in black. I guess that was the custom those days, but other.","No, nunca los conocí en absoluto. Me he imaginado a la madre de mi padre y eso es. Nunca he visto una foto de mis otros abuelos. Recuerdo cuando recuerdo que el padre de mi madre murió, cuando yo era pequeña, porque recuerdo ver la carta y las notificaciones bordeadas en negro. Supongo que esa era la costumbre de aquellos tiempos, pero otra.",family
Thomas Murillo,[00;05;11;27],But I did not know anything.,Pero yo no sabía nada.,
Angela Luckey,[00;05;16;11],Did anybody else come with the family when they came?,¿Alguien más vino con la familia cuando vinieron?,family
Thomas Murillo,[00;05;18;27],"Yeah, I had an uncle. Joe and, cousin Nicholas, Nick. Do they come here? They came with family. There were young teenage guys at the time, and they're both dead now. But, those were the two came. That I know of. And I'm sure that's all the ones. Well, I mean, my sister, sister and two older brothers, of course, who?","Sí, tenía un tío. Joe y su primo Nicholas, Nick. ¿Vienen aquí? Vinieron con la familia. Había adolescentes en ese momento y ahora ambos están muertos. Pero esos fueron los dos que vinieron. Eso lo sé. Y estoy seguro de que son todos. Bueno, quiero decir, mi hermana, mi hermana y mis dos hermanos mayores, claro, ¿quiénes?",family;education
Angela Luckey,[00;05;54;26],So your uncle lived with you during those times?,¿Entonces tu tío vivió contigo durante esa época?,family
Thomas Murillo,[00;05;57;03],"Both. Both my uncle and, my cousin lived with the ladies who lived,","Ambos. Tanto mi tío como mi prima vivían con las señoras que vivían,",family
Thomas Murillo,[00;06;06;10],"In Mr. Curios household and and, you know, and moved a couple of houses over from, third, Nick was still living with those my uncles, still Great Lakes they lived with until he got married.","En la casa del Sr. Curios y, ya sabes, y me mudé un par de casas desde la tercera, Nick todavía vivía con mis tíos, todavía vivían en Great Lakes hasta que se casó.",family
Angela Luckey,[00;06;26;17],And and so they all came to Idaho.,Y así vinieron todos a Idaho.,
Thomas Murillo,[00;06;29;15],At that time? Yeah.,¿En ese tiempo? Sí.,
Angela Luckey,[00;06;31;17],first.,primero.,
Thomas Murillo,[00;06;32;12],"I'm, among all of them. Did I know I'm sure a lot of them. But my cousin Nick now, he, he got on in Wyoming sometime, and, lived with the family. And then he quickly joined in. But, yes, they all wound up in the same year. Well, thank you.","Estoy, entre todos ellos. ¿Sabía que estoy seguro de que muchos de ellos? Pero mi primo Nick ahora, él, alguna vez se llevó bien en Wyoming y vivió con la familia. Y luego rápidamente se unió. Pero sí, todos terminaron en el mismo año. Bueno, gracias.",family
Angela Luckey,[00;07;00;05],We're saying that the very first time we came down Idaho.,Lo decimos la primera vez que vinimos a Idaho.,
Thomas Murillo,[00;07;03;16],"To, Blackfoot, they came to Blackfoot, and from Blackfoot, they went to Aberdeen, and I guess from Aberdeen to Salt Lake, because they came here from Salt Lake. And no place around north.","A Blackfoot vinieron a Blackfoot, y de Blackfoot fueron a Aberdeen, y supongo que de Aberdeen a Salt Lake, porque vinieron aquí desde Salt Lake. Y ningún lugar por el norte.",food and drink
Angela Luckey,[00;07;22;07],And you were born here?,¿Y tú naciste aquí?,
Thomas Murillo,[00;07;23;18],Yeah.,Sí.,
Angela Luckey,[00;07;25;15],"You know that after they went, right?","Lo sabes después de que se fueron, ¿verdad?",
Thomas Murillo,[00;07;27;21],"Yeah, yeah. I know they're born after they came from Salt Lake and Salt.","Sí, sí. Sé que nacieron después de que vinieron de Salt Lake y Salt.",food and drink
Angela Luckey,[00;07;43;14],what kind of work did your dad do?,¿Qué tipo de trabajo hacía tu papá?,
Thomas Murillo,[00;07;48;02],"He worked on the railroad. he had made two previous trips with the family still to Mexico. And, I only known him working on the railroad. his first trip took him into the Chicago area, and the second trip took him to the California. So cooking valley? Yeah, he he worked there. Now, he may have worked in the fields there, but, I don't know.","Trabajó en el ferrocarril. había hecho dos viajes anteriores con la familia todavía a México. Y solo lo conocí trabajando en el ferrocarril. su primer viaje lo llevó al área de Chicago y el segundo viaje lo llevó a California. Entonces, ¿cocinar el valle? Sí, él trabajó allí. Puede que haya trabajado en el campo allí, pero no lo sé.",family;agriculture
Thomas Murillo,[00;08;22;07],"There's. Anyway, you go to the two places that he had worked, so, it's almost certain to be rewarded. Most of the time.","Hay. De todos modos, vas a los dos lugares en los que trabajó, por lo que es casi seguro que serás recompensado. La mayor parte del tiempo.",
Angela Luckey,[00;08;33;07],You work that have work on the.,Trabajas que tienen trabajo en el.,
Thomas Murillo,[00;08;35;08],"He was a laborer, and, he, he spent most of his railroad career here in cook, working for the Union Pacific in the stores department, as a, scraps or in the material yard.","Era obrero y pasó la mayor parte de su carrera ferroviaria aquí como cocinero, trabajando para Union Pacific en el departamento de almacenes, como chatarrero o en el patio de materiales.",economy;education;labor
Angela Luckey,[00;08;57;07],that when was that? During World War.,eso cuando fue eso? Durante la guerra mundial.,conflict
Thomas Murillo,[00;08;59;21],"Well, no. No, he started back there. I'm not sure what year he started that, that to guess about the year before I was born. and,","Bueno no. No, empezó por ahí. No estoy seguro de en qué año empezó eso, sino que supongo que fue el año anterior a que yo naciera. y,",
Thomas Murillo,[00;09;17;01],Until he retired in 1964.,Hasta que se jubiló en 1964.,
Thomas Murillo,[00;09;24;29],"So he thinks that, been a part of 40 years doing what I.",Entonces él piensa que he sido parte de 40 años haciendo lo que yo.,
Angela Luckey,[00;09;29;16],What is this craft? So you do. What is this? Graduating?,¿Qué es esta artesanía? Tu también. ¿Qué es esto? ¿Graduarse?,
Thomas Murillo,[00;09;33;13],"Well, they send in, used material. Well, he worked in a material yard. And among other things, they  stored new materials such as new rails and stuff like that. And also there came their use material, which had to be sorted out as to what was usable and what was scrap. So that was what their, work consisted of.","Bueno, envían material usado. Bueno, trabajaba en un depósito de materiales. Y, entre otras cosas, almacenaron materiales nuevos, como rieles nuevos y cosas así. Y también estaba el material de uso, que había que separar entre lo que era aprovechable y lo que era de desecho. Así que en eso consistía su trabajo.",labor
Angela Luckey,[00;10;04;05],"And then your mother, she stayed home.",Y luego tu madre se quedó en casa.,family
Thomas Murillo,[00;10;06;28],"Yeah. Yeah, yeah, my mother had more than a handful, raising seven kids. And my father. So, you know, I know that's what it was. Anyway, it's too much about when why was going on and working and leaving the kids. Well, no, that's, that was unheard of in those days.","Sí. Sí, sí, mi madre tuvo más de un puñado y crió a siete hijos. Y mi padre. Entonces, ya sabes, sé que eso fue lo que fue. De todos modos, se trata demasiado de cuándo y por qué seguía trabajando y dejando a los niños. Bueno, no, eso era algo inaudito en aquellos días.",family
Angela Luckey,[00;10;32;19],"Did your sisters go, stay with her? did they do some work or was.",¿Tus hermanas se fueron y se quedaron con ella? hicieron algún trabajo o fue.,family
Thomas Murillo,[00;10;38;26],"Well, my older sister worked a lot. She, she worked out in a field with us. later on, after she got older, she worked as a maid for some people here in town. And also at, back hotel. So she worked very hard to. But my older sister, she, you know, she worked, when she graduated from high school.","Bueno, mi hermana mayor trabajaba mucho. Ella trabajó en el campo con nosotros. Más tarde, cuando creció, trabajó como empleada doméstica para algunas personas aquí en el pueblo. Y también en el hotel de atrás. Entonces ella trabajó muy duro para. Pero mi hermana mayor, ella, ya sabes, trabajó cuando se graduó de la escuela secundaria.",family;agriculture;education
Thomas Murillo,[00;11;12;28],"Different places here. I mean, I remember she would be creches, but most of the time she worked at the hospital and later worked for some doctors.","Diferentes lugares aquí. Quiero decir, recuerdo que ella era guardería, pero la mayor parte del tiempo trabajó en el hospital y luego trabajó para algunos médicos.",health
Thomas Murillo,[00;11;25;11],"In an office job, sometimes.","A veces, en un trabajo de oficina.",economy
Angela Luckey,[00;11;29;11],"So your brothers, worked.",Entonces tus hermanos trabajaron.,family
Thomas Murillo,[00;11;31;17],"Well, they, when all the brothers worked out in the fields and went to school. And later they in 1937, I went to work on the railroad at the freight house. And so they didn't have to work on the fields anymore. Would they got enough of that when they were younger? And it was very hard. And, eventually my oldest brother, sometime after my mother died, he left the railroad.","Bueno, ellos, cuando todos los hermanos trabajaban en el campo y iban a la escuela. Y más tarde, en 1937, comencé a trabajar en el ferrocarril en la casa de carga. Y así ya no tuvieron que trabajar en el campo. ¿Tendrían suficiente de eso cuando eran más jóvenes? Y fue muy duro. Y, finalmente, mi hermano mayor, algún tiempo después de la muerte de mi madre, dejó el ferrocarril.",family;agriculture;education
Thomas Murillo,[00;12;08;13],"He studied mechanics after the war. Then, after I moved, gone to California. Right. He then pulled up states and went to California to work for the right track circulation. But my other older brother stayed here on the railroad. My youngest brother stayed on the railroad. But the in between brother between my youngest and me,  Lewis. He also gone to school, aeronautical school in Oklahoma and became a meteorologist here.","Estudió mecánica después de la guerra. Luego, después de mudarme, me fui a California. Bien. Luego se detuvo en los estados y se fue a California para trabajar por la circulación por la vía correcta. Pero mi otro hermano mayor se quedó aquí en el ferrocarril. Mi hermano menor se quedó en el ferrocarril. Pero el hermano intermedio entre mi hijo menor y yo, Lewis. También fue a la escuela, la escuela aeronáutica en Oklahoma y se convirtió en meteorólogo aquí.",conflict;family;education
Thomas Murillo,[00;12;52;03],"And we left to the same day in 1956, he went to North Carolina, and I went to California, and he moved from, North Carolina. Well, he was working here not too far from my mother died, and then he went to North Carolina, and then he went to Arizona. And from Arizona, he went to El Paso.","Y nos fuimos el mismo día en 1956, él se fue a Carolina del Norte, yo fui a California y él se mudó de Carolina del Norte. Bueno, él estaba trabajando aquí no muy lejos de la muerte de mi madre, y luego se fue a Carolina del Norte y luego a Arizona. Y de Arizona pasó a El Paso.",family
Angela Luckey,[00;13;23;09],Why did your family come here?,¿Por qué vino tu familia aquí?,family
Thomas Murillo,[00;13;26;09],"Why did they come in? Well, we could, because my father had, become involved in the, in a matter of, that, the, the owner of la haceinda of that town, was built on, had in for my father because my father turned in there, too. Well, he claimed my older sister, he was.","¿Por qué entraron? Bueno, pudimos, porque mi padre se había involucrado en el, en cuestión de, que el, el dueño de la haceinda de ese pueblo, estaba construido, tenía a mi padre porque mi padre se entregó allí también. . Bueno, afirmó que mi hermana mayor lo era.",family
Thomas Murillo,[00;13;58;01],"And, he didn't like to work. and he liked to drink and gamble and, I guess, that it didn't go to, well with the that, guy that owned the town. And I seen that my name don't get moved beyond. And, very conveniently when once this is all green Revolution. It was the Bunny Brown Band.","Y no le gustaba trabajar. y le gustaba beber y apostar y, supongo, eso no le pasó, bueno, a ese tipo que era dueño de la ciudad. Y vi que mi nombre no se mueve más allá. Y, muy convenientemente, una vez que todo esto sea la Revolución verde. Era la Bunny Brown Band.",
Thomas Murillo,[00;14;25;19],The revolutionary came to the town and raised and raised the hell among the guy who was a friend of my father's. And somebody saw that guy. And after they left that we it reported on my friends. My father's friends had been in in that bunch of friends in the town so naturally followed. My father had been in cahoots with them.,"El revolucionario vino al pueblo y armó y armó un carajo con el tipo que era amigo de mi padre. Y alguien vio a ese tipo. Y después de que se fueron, informamos sobre mis amigos. Los amigos de mi padre habían estado en ese grupo de amigos en la ciudad, por lo que naturalmente los siguieron. Mi padre había estado confabulado con ellos.",family
Thomas Murillo,[00;14;50;24],"So that was all that old guy needed to, have my father arrested, and he was thrown in jail. fortunately, that night before he was to be shot by another revolutionary band. Right. they open the doors in the jail, and my father got out, and he came to the United States, and that's where he went to the Chicago area.","Así que eso era todo lo que ese viejo necesitaba: arrestar a mi padre y encarcelarlo. afortunadamente, esa noche antes de que otra banda revolucionaria lo fusilara. Bien. Abren las puertas de la cárcel, y mi padre salió, y vino a los Estados Unidos, y de ahí fue al área de Chicago.",family;crime
Thomas Murillo,[00;15;22;18],"And, he stayed a period of time. I don't know what kind of money, but he stayed a period of time. And then he went back to Mexico to see if it was safe to go back. And apparently it was not safe. So he came back to the United States, this time to to California. Then after a period of time, he went back again to see if it was safe for him.","Y se quedó por un tiempo. No sé qué cantidad de dinero, pero se quedó un tiempo. Y luego regresó a México para ver si era seguro regresar. Y aparentemente no era seguro. Entonces regresó a los Estados Unidos, esta vez a California. Luego, después de un tiempo, regresó para ver si era seguro para él.",
Thomas Murillo,[00;15;45;29],"And no, it was not safe for him. So that's what happened to the family. And it became the United States.","Y no, no era seguro para él. Entonces eso es lo que le pasó a la familia. Y se convirtió en Estados Unidos.",family
Angela Luckey,[00;15;54;03],At that time. Was was it your sisters then? How many family members came? Just your mom and your dad?,En ese tiempo. ¿Fueron entonces tus hermanas? ¿Cuántos familiares vinieron? ¿Solo tu mamá y tu papá?,family
Thomas Murillo,[00;16;01;20],"Well, one of the, the three kids, my oldest sister and my two older brothers and my uncle and my mother.","Bueno, uno de los tres niños, mi hermana mayor y mis dos hermanos mayores y mi tío y mi madre.",family
Angela Luckey,[00;16;09;16],But a bunch people.,Pero un montón de gente.,
Thomas Murillo,[00;16;13;14],"Yeah, that was seven. Yeah, my brother were small. The one, those three. That was very close. I guess maybe a couple years old, you know, you know, probably, you.","Sí, fueron siete. Sí, mi hermano era pequeño. El uno, esos tres. Eso estuvo muy cerca. Supongo que tal vez tengas un par de años, ya sabes, probablemente tú.",family
Angela Luckey,[00;16;31;02],"Know. So, when you worked out on the field, what did you live in that the farmer provide.","Saber. Entonces, cuando trabajabas en el campo, ¿en qué vivías que te proporcionaba el granjero?",agriculture;happiness
Thomas Murillo,[00;16;38;18],"In, in that one year that I remember and I'm not sure what year it was, but in about 1929, we did live out on the farm on, Chubbuck Road.","En ese año que recuerdo y no estoy seguro de qué año fue, pero alrededor de 1929, vivíamos en la granja en Chubbuck Road.",happiness
Thomas Murillo,[00;16;55;10],"And I don't know if it was the same year or the following year. We lived on farm where the Ordnance plant is located now. We lived there, and I, I'm pretty sure that it was two different years, but, I don't know what year they were, in relation to where the one on the farm moved shack to my house.","Y no sé si fue el mismo año o el año siguiente. Vivíamos en la granja donde ahora se encuentra la planta de Artillería. Vivíamos allí, y yo, estoy bastante seguro de que fueron dos años diferentes, pero no sé qué año fueron, en relación a dónde se mudó el de la finca a mi casa.",agriculture
Thomas Murillo,[00;17;22;28],"20s to the house. but nowadays it's unbelievable. Yeah. I went last year with my niece. Sure. What it was. And because her mother, my old sister, was out there with us, and, the house over here, the ordnance plant is not I, I can't remember. The old house was like. But it was like living in a park because actually part of that farm was rented out as a picnic area.","20 chelines a la casa. pero hoy en día es increíble. Sí. Fui el año pasado con mi sobrina. Seguro. Lo que era. Y debido a que su madre, mi hermana mayor, estaba allí con nosotros, y la casa de aquí, la planta de artillería no soy yo, no lo recuerdo. La vieja casa era como. Pero era como vivir en un parque porque en realidad parte de esa finca se alquilaba como zona de picnic.",family;agriculture
Thomas Murillo,[00;17;57;10],"So it was pretty nice out there. And, with couches, too. It was pretty good. I don't remember that. We built, That we were living in poverty because, I mean, we were supplied with milk and eggs for the farm and apples and things like that. My father took time off. He was still employed on the railroad.","Así que fue bastante agradable estar allí. Y también con sofás. Era bastante bueno. No recuerdo eso. Construimos que vivíamos en la pobreza porque, quiero decir, nos suministraban leche y huevos para la granja y manzanas y cosas así. Mi padre se tomó un tiempo libre. Todavía trabajaba en el ferrocarril.",hardship;food and drink;family
Thomas Murillo,[00;18;25;21],"He was really lucky because when the depression came, he he was laid off for a while, but not very long. And so when he wanted to take us up there, I guess there was a need for extra money. Of course. So he took, time off from around, I don't remember. They called it, it wasn't vacation, but, something happened.","Tuvo mucha suerte porque cuando llegó la depresión lo despidieron por un tiempo, pero no por mucho tiempo. Entonces, cuando quiso llevarnos allí, supongo que necesitaba dinero extra. Por supuesto. Entonces se tomó un tiempo libre, no lo recuerdo. Lo llamaron, no eran vacaciones, pero algo pasó.",negative emotions;education
Thomas Murillo,[00;18;50;09],"They would go ahead and take us out there to work and when and, we came back and contracted job on the railroad. So, I, the conditions that I found in, in California when I went there, ammonia, ammonia field workers was not, nearly as good as the conditions that we were under here. in 1932, 1934, 1936, I worked in great outside of drinks in the fields.","Ellos seguían adelante y nos llevaban a trabajar y cuando regresamos y contratamos un trabajo en el ferrocarril. Entonces, las condiciones que encontré en California cuando fui allí, el amoníaco, los trabajadores de campo con amoníaco no eran tan buenas como las condiciones en las que estábamos aquí. En 1932, 1934, 1936, trabajé en grandes tragos en el campo.",economy;agriculture
Thomas Murillo,[00;19;27;03],"And at that time, those people came from California. This was in the depths of the depression. They came from California to the Idaho to work so that, either there wasn't too much work at that time in California or the working conditions were better here than it was in that, Harriman versity Co. Those three years that I spent in good working old people paying, to work, work from, California, there was one Texas family, and, the rest of them were from Colorado.","Y en ese momento, esa gente venía de California. Esto fue en lo más profundo de la depresión. Ellos vinieron de California a Idaho a trabajar así que, o no había mucho trabajo en ese momento en California o las condiciones de trabajo eran mejores aquí que en aquella, Harriman versity Co. Esos tres años que pasé en buena personas mayores que trabajaban pagando, para trabajar, trabajar desde California, había una familia de Texas y el resto eran de Colorado.",negative emotions;economy;family
Thomas Murillo,[00;20;08;12],And Nebraska and I.,Y Nebraska y yo.,
Angela Luckey,[00;20;11;20],From the braska.,De la braska.,
Thomas Murillo,[00;20;13;09],"No, I don't remember if there might have been, but I don't remember from Nebraska. but those states that I remember, yeah, I was family in Texas. So, people from Colorado with money, they called me from Utah and, and, Idaho and the, you know, the few families from here in Portland in 1932, about half dozen families going from here to there.","No, no recuerdo si pudo haberlos, pero no recuerdo de Nebraska. pero en esos estados que recuerdo, sí, yo era familia en Texas. Entonces, gente de Colorado con dinero, me llamaron desde Utah y, Idaho y, ya sabes, las pocas familias de aquí en Portland en 1932, alrededor de media docena de familias que iban de aquí para allá.",family
Thomas Murillo,[00;20;49;07],"There were, several people, several families from the Idaho Falls area that were there, too, at that time, only where they were necessary. But they were 1932. Later on, some came to live here, and I found that they were born outside of Idaho. So it was probably the cause.","Había varias personas, varias familias del área de Idaho Falls que también estaban allí en ese momento, sólo donde era necesario. Pero eran 1932. Después, algunos vinieron a vivir aquí y descubrí que nacieron fuera de Idaho. Entonces probablemente fue la causa.",happiness
Angela Luckey,[00;21;11;00],"whether very many Mexicans, Mexicans down here.","ya sean muchísimos mexicanos, mexicanos aquí abajo.",
Thomas Murillo,[00;21;14;20],"Well, I, I think, I think that at that time there were probably as many as there are now, but, I mean, the fact that they were able to organize, a social club, the.","Bueno, creo, creo que en ese momento probablemente había tantos como ahora, pero, quiero decir, el hecho de que pudieron organizar, un club social, el.",
Thomas Murillo,[00;21;37;18],"Groups are. And I think it was called. Yeah. And they held, stage, presentations, and, and make dances.","Los grupos lo son. Y creo que se llamó. Sí. Y hacían, escenario, presentaciones y, y hacían bailes.",
Thomas Murillo,[00;21;56;22],"for the six in September and the 5th of May. And people, you know, made speeches and there were musical, presentations. The people that played for the dancers who were all Mexican musicians from Porto. so, I'm, I make judgments. There were quite a few people who to support that kind of activity.","para el seis de septiembre y el 5 de mayo. Y la gente, ya sabes, pronunció discursos y hubo presentaciones musicales. La gente que tocaba para los bailarines que eran todos músicos mexicanos de Oporto. Entonces, hago juicios. Había bastantes personas que apoyaban ese tipo de actividad.",recreation
Angela Luckey,[00;22;29;14],that was in the 30 hmhm. That was in the 30s.,eso fue en los 30 hmhm. Eso fue en los años 30.,
Thomas Murillo,[00;22;32;16],"Yeah, the late 20s and the 30s. The 30s. It all ended when the depression came and so many were laid off on the road. And that broke it all up. But, in order to sustain that kind of social activity, there has to be, you know, quite a number of people to get a bang. For example, to play for our dances.","Sí, entre los 20 y los 30. Los años 30. Todo terminó cuando llegó la depresión y muchos quedaron sin trabajo. Y eso rompió todo. Pero, para sostener ese tipo de actividad social, tiene que haber un buen número de personas para lograr el éxito. Por ejemplo, para tocar en nuestros bailes.",negative emotions;recreation
Thomas Murillo,[00;22;56;04],"And, the speakers were all good speakers, as I can remember. You know, I was small. I was always zeroed in on that kind of stuff. And, yeah, they,","Y, según tengo memoria, todos los oradores eran buenos oradores. Sabes, yo era pequeño. Siempre estuve concentrado en ese tipo de cosas. Y sí, ellos",
Thomas Murillo,[00;23;10;17],"There were there were a considerable considerable number of people from Mexico around here. And they were at that time from southeast Mexico. we even had one year. We even had classes in Spanish. And, I heard in.",Había por aquí una cantidad considerable de gente de México. Y eran en ese momento del sureste de México. incluso tuvimos un año. Incluso teníamos clases en español. Y escuché adentro.,
Angela Luckey,[00;23;32;28],School.,Escuela.,education
Thomas Murillo,[00;23;33;26],"Well, I'm talking about.","Bueno, estoy hablando de.",
Angela Luckey,[00;23;35;25],With this club.,Con este club.,
Thomas Murillo,[00;23;37;02],"Here. Yeah. and I went to it, I was the dummy. And I had always been able to spell real well in English. I remember that I had my troubles in, in Spanish, but, you know, I was only maybe 6 or 7 years old. Eight at the most. But, yeah, we had classes in Spanish.","Aquí. Sí. y fui hacia ello, yo era el tonto. Y siempre había podido deletrear muy bien en inglés. Recuerdo que tuve mis problemas en español, pero, ya sabes, solo tenía unos 6 o 7 años. Ocho como máximo. Pero sí, teníamos clases en español.",
Angela Luckey,[00;23;57;15],"Taught them to,",Les enseñé a hacerlo.,
Thomas Murillo,[00;24;00;21],"I don't know who the man was. I, I kind of think my impression is the guy was just stay here for a short period of time. I know he wasn't one of the, permanent residents here.","No sé quién era el hombre. Yo, creo que mi impresión es que el tipo se quedó aquí por un corto período de tiempo. Sé que él no era uno de los residentes permanentes aquí.",
Thomas Murillo,[00;24;26;05],"But. So, again, you know, there there must have been a considerable number of those here to sustain that. Going back to this, you know, this story.","Pero. Entonces, nuevamente, debe haber un número considerable de personas aquí para sostener eso. Volviendo a esto, ya sabes, esta historia.",
Angela Luckey,[00;24;36;21],"Oh, yeah. great. They called me. Yeah.",Oh sí. excelente. Ellos me llamaron. Sí.,
Thomas Murillo,[00;24;40;26],"Well, my father was, some type of officer of that club, because when they broke up, we wouldn't end up with a bunch of, books that were sent by the Mexican government. I still had one of them around the state. Right? I, I came too late to this, idea of saving and having books, having my own library.","Bueno, mi padre era una especie de funcionario de ese club, porque cuando se separaron, no terminaríamos con un montón de libros enviados por el gobierno mexicano. Todavía tenía uno de ellos en todo el estado. ¿Bien? Yo, llegué demasiado tarde a esta idea de ahorrar y tener libros, tener mi propia biblioteca.",family;recreation
Thomas Murillo,[00;25;05;06],"So I won't be able to salvage one, no, two, two and,","Entonces no podré salvar uno, no, dos, dos y,",
Angela Luckey,[00;25;11;13],Kind of books.,Tipos de libros.,recreation
Thomas Murillo,[00;25;12;14],"Well, one of them is, kind of a primary reader, and the other one is a technical book on shooting, really just. I mean, I made it up, when I went to work on the moment that I'd be employed, one of the things that I, had to learn because nobody else wanted to do it was to mention my work.","Bueno, uno de ellos es una especie de lector principal, y el otro es un libro técnico sobre tiro, realmente simple. Quiero decir, lo inventé cuando fui a trabajar en el momento en que estaría empleado, una de las cosas que tuve que aprender porque nadie más quería hacerlo fue mencionar mi trabajo.",
