speaker,timestamp,words,tags,terms
Lottie Rowan,00:18:41,"Well now I'm telling you, the way he likes booze and he says he must have, he must have I don't know. He doesn't know where it was but I need to be there.",,
Frank Rowan,00:18:54,"Well just the one time, that was when I went up there. I had a cold and got that jug, he lived in that house of Edward Place. He had a ... and then another time Charlie Err had a contract on that road East of Troy and he wanted where he could get a jug so the jumper rig went up they were Charlie, that's all I know about it. I've been talking about it a long time and well he says, my God he's an old North Carolina guy, good natured and jolly. I ain't saying that I'm bootlegging and I'm not saying that I'm not, but my God I'm saying this much. I'm too old to get caught. He was.",,
Lottie Rowan,00:19:48,"Oh boy I don't see how he'd take a chance on that. I don't even say it because, goodness you're going in and out there you know you don't know who's around back of that tree or that bush or anything they might get a lead on you.",,
Sam Schrager,00:20:02,It was really pretty bad as far as them trying to arrest these guys then It was pretty bad.,crime,arrest
Frank Rowan,00:20:09,"They were getting so many reports, you know if it was left to the officers finding it themselves they'd never get any, but it's the neighbors reporting in and that's the way it goes.",,
Sam Schrager,00:20:22,Well I thought it was stool pigeons. They hired people to pay them.,,
Frank Rowan,00:20:26,The neighbors were the ones that done it you know How would you go about finding anything that looked like it here.,,
Sam Schrager,00:20:38,"Pretty much I guess it'd have to be people who lived there pretty much, but was there many people that really didn't like it and was there many neighbors who would do it?",,
Frank Rowan,00:20:50,"There were a lot of people that, he wasn't a popular man in the neighborhood, he was friendly and good natured but if he got little money ahead of somebody he stayed there you know But there was any amount of people I don't care who it is, it goes a good legged you know a lot of things was fun to talk about I know one guy that turned into two brother laws He didn't turn them in but he made so much noise about it, there was no trouble in them getting it You know if I go to that business he wants to keep it pretty much for himself But Sam was one of the heat on it Ben was picked up and Rob was picked up and by the way Carl Olson was picked up a long time Did he say about that? I don't know just how he done it or what it cost him but they turned him loose.",culture;family,neighborhood;brother
Sam Schrager,00:21:52,"Yeah as I, the way he told it was he was just taking a guy home who happened to be a bootlegger or was bootlegging and he really was innocent I mean he was driving the guy home is what he said and he got picked up by Moody.",,
Frank Rowan,00:22:06,Just between you and I there was a hell of a lot of booze handling in that garage that Carl had.,,
Sam Schrager,00:22:13,Yeah I've heard that too I've heard it too.,,
Frank Rowan,00:22:17,"And another thing between us, this man Bill Damon, you know him? The real estate man. He was a trucker in there in them days and he brought some of it in too whole thing of it.",,
Sam Schrager,00:22:35,Well those days are so far gone now and I think they finally When they discovered it was a big mistake to have the prohibition I don't think anybody cares anymore but it's really interesting It's funny.,,
Frank Rowan,00:22:50,It was a law that the people didn't care for and so you couldn't afford it.,,
Sam Schrager,00:22:56,Now what about old Pat Malone's attitude about this business What about old Pat Malone and how he fit in with this.,lcoh people,pat malone
Frank Rowan,00:23:04,"Well he was a marshal for I don't know 26, 27 years And he was a good man, he was a good man in the Bovill, but Pat was alright, some of them would give Pat a bad name because he had to pick him up or something But given half a chance. Pat was alright and he'd take a drink too But then he wasn't nosy or mean about it Jordan was the, in the brunch here, Jordan was the guy that was sneaky about it More so than Charlie summer figure was And of course they had to earn their money, because that much about an officer Pat Malone was starting Duluth before he came here Pat Malone he was an old time.",crime;lcoh people;lcoh places,officer;pat malone;bovill
Sam Schrager,00:23:47,"Did you ever hear whether he'd been a, did he have a pretty tough reputation from Duluth?",,
Frank Rowan,00:23:52,"No I never heard that and I don't believe he did, as long as we knew him here. He was on the square and so I don't think he was crooked there.",,
Sam Schrager,00:24:00,"Well what I mean is Well let me see, one someplace I heard that he had been a... He had been a big and he'd been a very strong man in his early days back there He's pretty old by the time he was out here I guess.",,
Frank Rowan,00:24:19,"Well not too old, as you understand he had a darn tough town in Bovill, as busy as it was in them days It wasn't like it is now, you take nowadays. They had the most old married men up there you see. And there isn't one man working in Bovill now where there used to be five before And there was lots of liquor come in there You see, that town over there, Fernwood Was the last town to go dry in the country, well I guess Santa went down then Fernwood way up in the summer And they hauled it in by the wagon load boost from that country there And the sheriff or the policeman had something to do with a town like that. No, I'd never believe anything crooked about old.",lcoh places,bovill;fernwood
Sam Schrager,00:25:07,"Oh I haven't, you know, oh I've heard about Pat's been good. Everybody that's ever said anything about Pat has told me he was a man for that.",,
Frank Rowan,00:25:16,"Just like. They probably could tell the story and let it go of that But they closed down a madam, Mrs. Knox I believe is her name. Had that square house just across the track on the right Maybe that burnt down on Lewis a few years after A few years ago, but then it had to close down And a bunch of them there in Bovill, you know, got together They'd have her sue old Pat for $1700 And body service, you know, but they never expected that to go in there They'd just give old Pat a black eye.",lcoh places,bovill
Sam Schrager,00:25:57,$1700 for what?,,
Frank Rowan,00:25:59,"For body, just for body service.",,
Sam Schrager,00:26:00,Oh I see.,,
Frank Rowan,00:26:02,"They just don't let them figure it out, they joke on them.",,
Sam Schrager,00:26:05,"Well now, did you, was it you that was telling me the story About the madame that they brought down to the station in Bovill? Did you tell me that? Gee, I've heard that, I've heard a story I think what is it, they brought the lady down from They brought her down to Bovill, she was sick, she had something wrong with her And Pat saw her at the station and she said Why Pat, many a time you and me have been together And he says, poor lady, she must be out of her head.",crime;lcoh places,madame;bovill
Frank Rowan,00:26:40,"I've never heard that Of course there could be lots, you know, I've never heard one around Bovill.",lcoh places,bovill
Sam Schrager,00:26:44,"Oh I've heard so many stories that sometimes I get them confused But now I've heard it with Pat, you had to watch your bottle Because he really did, you know, he started to, he got the bottle, he might finish it That's what I've heard.",,
Frank Rowan,00:27:06,"See, who's marshal there now, some of the world's I suppose I don't know. No, there used to be some pretty tough guys in Bovill Back 15, 60 years ago, you see.",lcoh places,bovill
Sam Schrager,00:27:19,The other thing about Pat I've heard is they used to like to joke him They used to like to make jokes about him. He was funny.,,
Frank Rowan,00:27:28,"Just like that suit, that lawsuit on him, that didn't cost much You know, three or four men to get together, it was practically no cost to it.",,
Lottie Rowan,00:27:39,They just found out how he jumped in and cleaned all of them.,,
Frank Rowan,00:27:44,"Anybody can see where anybody is. Conviction is another thing, but entering a suit and all of that. Did you get any ground on that fellow that was getting gas in the Minneapolis hotel?",crime,conviction
Sam Schrager,00:28:07,"No, I haven't, the only guy I've talked to is Elver Floodine And I forgot to ask him about that.",,
Frank Rowan,00:28:12,I think Carl would know about that.,,
Sam Schrager,00:28:17,"What's your story about that now, the way you heard it? This guy was going to...",,
Frank Rowan,00:28:20,"Well, I read in the local paper that this had the money was found here. Oh, not too long before we came here to Moscow. Maybe the last 15 years or so ago This fellow went to the old country And he told somebody here, he said, well, if I come back I won't be broke Because I'll have some money too And he goes and gets far in Minneapolis and he stopped there And instead of turning the gas out, he blew it out, you see So he woke up dead next morning I've been tearing the cabin down there, some years back. They found $100 in gold, shoved it in the cracker of course Mothered over, he had the money all right.",lcoh places,moscow
Sam Schrager,00:29:07,"Well, did you first start to work in the woods there in 1918? Is that when you first went to the woods?",,
Frank Rowan,00:29:13,"No, that's about the time I quit the woods I worked there, went up to 18 because we bought this place. There were no buildings on it or anything and wages were big. We went up there and lived there 22 months. No, I'd worked from 1906 and on up to that in the woods.",,
Sam Schrager,00:29:34,And who was it that you worked for?,,
Frank Rowan,00:29:37,Potlatch.,lcoh places,potlatch
Sam Schrager,00:29:37,"Yeah, but you were telling me it was the guy that you were the assistant for.",,
Frank Rowan,00:29:44,Henry Flasher was one at the park. And then Merriam Allison at the bull before that Camp 10.,lcoh people,henry flasher
Sam Schrager,00:29:56,What was the first camp that you worked for?,,
Frank Rowan,00:29:59,"Camp 10... If you didn't pay up, they'd cut you off the line. So her father was the secretary. He planned to pull the cutter out and leave the ground to butcher line.",family,father
Sam Schrager,00:30:14,This was Mrs. McKeon?,,
Frank Rowan,00:30:17,"Yeah, she was a woman that enjoyed getting into the scrap. Just like old Gabriel Anderson or my dad.",lcoh places,anderson
Lottie Rowan,00:30:25,"Well, she wouldn't take anything, but she wouldn't take anything either.",,
Frank Rowan,00:30:29,"Anna Marie writes this article about this deal. And the darn fool, instead of putting her dad in, that did do it, she says, Mr. Roan, my dad.",,
Lottie Rowan,00:30:42,They laid right across the road. He and his dad were batching right across the road from him at that time.,,
Sam Schrager,00:30:49,"Well, so, but what really happened was Gabriel Anderson went.",lcoh places,anderson
Frank Rowan,00:30:52,Her mother is a man.,family,mother
Sam Schrager,00:30:53,What happened? He climbed up the pole to cut it off?,,
Frank Rowan,00:30:56,"Yeah, and she'd go out to butcher line.",,
Sam Schrager,00:30:58,What'd she do? What'd she say?,,
Frank Rowan,00:30:59,She was harmless.,,
Lottie Rowan,00:31:04,"Oh, well, Sam must have got after somebody. I don't know how he got down, but she had him up the telephone.",technology,telephone
Frank Rowan,00:31:16,I suppose she just made him go down without cutting the wire.,,
Lottie Rowan,00:31:18,"Well, I went up to tell him all about it.",,
Frank Rowan,00:31:20,"Well, now you know, that was no lapse of memory or anything. That was intentional. She just didn't want her father to make that mistake.",family,father
Sam Schrager,00:31:27,"I think Glenn told me that story and said you told it to him all the way. Glenn told it to Glenn Gilder, you know. He told me that, I think the way he told it was that. And Gabriel Anderson wanted to come down. She said, you stay up there for a while.",lcoh places,anderson
Lottie Rowan,00:31:40,"Yeah, that would be it.",,
Frank Rowan,00:31:42,"Yeah, that could be it.",,
Lottie Rowan,00:31:43,He meant she'd keep him up there a while.,,
Frank Rowan,00:31:46,"Well, that is a kind of nasty trick. If she wanted to do that, she could ask us about it first. She just goes and puts it in. So she's in charge of the special thing, making sure of your story.",,
Lottie Rowan,00:31:56,"I called her up after that. I said, Anna Marie , what did you want to put in the paper about Frank's dad? Mrs. McKeon, running him up the telephone pole, holding him up there with a butcher knife. I said, what did you want to put that in there? She says, well, why, Lottie, wasn't that right? And I said, well, why didn't you put it that it was your dad instead of Frank's dad? That's who it was. It was? Well, I thought it was Frank's dad.",technology,telephone
Frank Rowan,00:32:29,"I didn't think no such a thing. How long ago? Went up to the woods, you know, they got paid pretty good money up there, Mr. 18 months up there. And this happened about a week ago.",,
Lottie Rowan,00:32:40,"Yeah, we wasn't there. At least I can't admit. No, your dad was a batching over there alone at the time. We wasn't helping her. And she asked me, well, she says, what should I do? She got me to write in and retract that. And I said, oh, no, you better let it go as it is. You've got it out in the paper around now. And if people's going to leave it, why, that's it. It's hard to tell what mess you'd make out of it if you went at it again now.",,
Sam Schrager,00:33:01,"Well, that's not the way that I heard it the same way you're telling it. That it was Gabriel Anderson.",lcoh places,anderson
Frank Rowan,00:33:10,"Yeah, well, everybody knows it was Gabriel Anderson. Even her. But she just didn't want her father to make sense of it.",family;lcoh places,father;anderson
Lottie Rowan,00:33:17,"Well, there was a woman, a neighbor there. She paid the, the kids would pay their telephone dues, you know. And if somebody didn't do something about it coming off. Well, then the phone company would cut the whole line off. And in order not to have the line cut off. Well, there was, you probably know the people named ... down there. He's changed his name now to Horton. Ray Horton it is now. His, be his grandmother. She paid the, she paid the McKeon's phone bill for years. In order to keep the phone from being cut off. And then Gabriel, he decided that he was going to do something about it. And he was going to go down there and cut her off.",family;technology,grandmother;telephone
Frank Rowan,00:34:05,"Gabriel, he wasn't going to cut her.",,
Sam Schrager,00:34:08,"Well, now, you mean if they'd have cut off the, if they'd have cut off the McKeon line. It would have been cut off down the road too then.",,
Frank Rowan,00:34:16,"Yeah, they'd have cut the whole line off. So you kept your own line clean, he didn't have that trouble.",,
Sam Schrager,00:34:23,"Well, now, did your dad work on the lines too? Did your dad work on the lines too?",,
Frank Rowan,00:34:29,"No, we were on another line. That was a, let's see, what. The two first, so us got. Well, see. We had a bunch of, what was it, three, four miles of line that this fella had. And then we were down with one and then we strung in another line of our own. The other lines were loaded so we put in a line of our own there. In 1919. No, 1970 we put it in.",,
Sam Schrager,00:34:55,"Like it is now, you had to take care of your own line I suppose. You own the line.",,
Frank Rowan,00:35:01,"And you had to, somebody on the line, the secretary or. Whatever his job was, he had to collect for everybody or else. Cut them off or else the whole line would be cut off. You see, Walter Olson paid Gord's. Yeah. Gord's fees on the line there a couple years. He thought he'd get it but they were wealthy and all and he was a hard-deb poor devil. He didn't get it either. I was on another deal I thought of, I'll tell you about. Pretty hard for me to trace it too. But the man that lived over there in the pink house, his grandfather was a school teacher there. He was teaching in there back of Avon some place. So there was a man and woman had a disagreement among themselves and the woman left home. This old fella thought, teach you a take over there. Patch things up for them. So he went back out and he got over there and she stood up to get out of the car and the guy just plugged her rifle right there. So they barricaded the house, he was going to make a stand on them but they talked him out of it. Now I don't know his name but now I suppose she's talking to her. She's just married to this man's grandson for 40 years and must have talked about it. I damn told them about it here.",education;family,school;teacher;grandfather
Sam Schrager,00:36:30,So he took her over to the house and...,,
Frank Rowan,00:36:33,Took her back and got her right outside.,,
Sam Schrager,00:36:35,Did he kill her?,crime,kill
Frank Rowan,00:36:36,Oh god he killed her right there.,,
Lottie Rowan,00:36:38,Her husband killed her.,family,husband
Frank Rowan,00:36:39,She stood up and he just plugged her.,,
Lottie Rowan,00:36:42,"See when the woman left home she was over this neighbor. So he took her back over there and he thought he talked him into getting along. So when they get over there, her husband comes to the door and when she got out he shot her.",family,husband
Sam Schrager,00:36:58,Was there ever any say what the scrap was about? Just a domestic squabble?,,
Frank Rowan,00:37:03,"Yeah, I don't know, all I knew about it was how to read the papers. And I wasn't very well acquainted in that kind of thing either.",,
Lottie Rowan,00:37:11,"It must have been just the husband and wife quarreling and fighting because nobody else seemed to be. Only this neighbor was, thought he was going to do something. You know help them out and get them back together, talk to both of them you know. So instead of that, in other words he took her over to her own funeral.",family,husband;wife
Frank Rowan,00:37:31,Now this woman might possibly know a lot about the story or some old time in the Avon country could tell you.,,
Sam Schrager,00:37:41,"Yeah, that's...",,
Frank Rowan,00:37:43,Cool little wood scene there.,cinema,scene
Sam Schrager,00:37:44,Well there's a few guys left that have been there for a long time. Guys I've been meaning to talk to too. Kenneth Wilkins has been there for quite a few.,,
Frank Rowan,00:37:56,"Yes, Wilkins has lived there and had before that. He was born in Troy and grew up in Helmer. And then married and moved down into that country. He had quite an experience there a few years ago. Wilkins, snow plow was going down the road. She was just going by his pond by some obstruction of the road. Caught the blaze and zipped away she went and struck one in.",agriculture;lcoh places,plow;helmer
Sam Schrager,00:38:22,In the pond?,,
Frank Rowan,00:38:23,"Yeah, in the pond. So he yelled at his wife for the bring a rope. And he went out there and he got one of them. I don't want a man drowned but he got one of them out of that darn truck. Now if you see Wilkins there or something you'd be worth.",family,wife
Sam Schrager,00:38:39,I'm going to ask him about that.,,
Frank Rowan,00:38:40,You're having to mention that name.,,
Sam Schrager,00:38:44,Well with Sam McKeon. He really was about the only moonshiner that made a lot and didn't get caught. He was one of the only moonshiners that made a lot and didn't get caught.,lcoh people,sam mckeon
Frank Rowan,00:38:58,Practically the only one that I know of. Well I don't know of a couple but they didn't operate as big as he did.,,
Lottie Rowan,00:39:06,It's good that on us though there's a couple of guys moonshining down to Troy. And we didn't know anything about it. But when they caught them we were the first ones accused of turning them in. Now is that something?,,
Frank Rowan,00:39:25,Well one thing that.,,
Lottie Rowan,00:39:28,We didn't even know it!,,
Frank Rowan,00:39:29,One thing that edged them on a little was the police. The C-men wasn't it? And that car drove into our place and went down there and checked it around.,crime,police
Sam Schrager,00:39:39,Went down there doing what?,,
