speaker,timestamp,End Time,words,Unnamed: 4
Daniel Immerwahr,[00:04:26:14],00:04:34:12,"For this, the name Pearl Harbor wasn't a name that people gave to it, for a few days as the name of the naval base was attacked. But it wasn't the name of the event.",
Daniel Immerwahr,[00:04:34:14],00:04:36:11,"And, and people struggled to.",
Daniel Immerwahr,[00:04:36:12],00:04:41:21,To locate the event to figure out where this event took place. Hawaii is one place.,
Daniel Immerwahr,[00:04:41:23],00:04:42:13,But Guam is.,
Daniel Immerwahr,[00:04:42:13],00:04:45:16,"Another. In the Philippines is another, and Malaya is yet another.",
Daniel Immerwahr,[00:04:45:18],00:04:46:14,"US paper, as.",
Daniel Immerwahr,[00:04:46:14],00:04:56:04,"You can see from just immediately afterwards, editors giving articles, titles like, you know, Guam and Hawaii are attacked or the Philippines and Hawaii or attacked.",
Daniel Immerwahr,[00:04:56:06],00:04:57:12,The Philippines often loomed.,
Daniel Immerwahr,[00:04:57:12],00:05:18:22,"Large in this kind of coverage and understandably so. The, the damage, the military damage to United States that the Philippines was, according to the U.S. Army's history, as bad as the military damage suffered by the US armed forces, at Pearl Harbor in Hawaii. So militarily, it was a blow equally as great. But the attack on the Philippines.",conflict
Daniel Immerwahr,[00:05:18:22],00:05:20:01,Was also different.,
Daniel Immerwahr,[00:05:20:01],00:05:23:20,"From the attack on Hawaii, whereas the attack at Pearl Harbor and Hawaii was.",
Daniel Immerwahr,[00:05:23:22],00:05:24:02,Was.,
Daniel Immerwahr,[00:05:24:02],00:05:35:12,"Just that. It was an attack. The Japanese attack. They did great damage. And then they didn't come back. In the Philippines, it looked a little different. The Japanese attack, they did roughly equal amount of great damage. And.",
Daniel Immerwahr,[00:05:35:12],00:05:36:07,Then they kept attacking.,
Daniel Immerwahr,[00:05:36:09],00:05:50:03,"And then they invaded. And then they occupied such that the Philippines, the largest colony that the United States had ever held, became Japanese territory for the duration of the war between Japan and the United States. So.",conflict
Daniel Immerwahr,[00:05:50:03],00:05:51:03,You can see why the.,
Daniel Immerwahr,[00:05:51:03],00:05:52:03,Philippines might have.,
Daniel Immerwahr,[00:05:52:03],00:05:52:24,Loomed large.,
Daniel Immerwahr,[00:05:52:24],00:05:54:24,In people's understanding of the event. And in.,
Daniel Immerwahr,[00:05:54:24],00:05:56:08,"Fact, Eleanor.",
Daniel Immerwahr,[00:05:56:08],00:05:57:03,Roosevelt in.,
Daniel Immerwahr,[00:05:57:03],00:05:58:04,Her speech.,
Daniel Immerwahr,[00:05:58:04],00:06:08:17,"To the country that she gave the night of, this event, she, she said, you know, this is ultimately an attack on Hawaii and the Philippines, our citizens in Hawaii and the Philippines.",
Daniel Immerwahr,[00:06:08:19],00:06:10:02,And that location.,
Daniel Immerwahr,[00:06:10:02],00:06:30:01,"This is an attack on Hawaii and the Philippines is, is also how FDR is, trusted under-secretary of state drafted the speech that the president was supposed to give a speech that we now know as the date with which will live in infamy speech. FDR looked at that speech, which located the event as mainly occurring in Hawaii and Philippines.",
Daniel Immerwahr,[00:06:30:03],00:06:30:24,And threw it away.,
Daniel Immerwahr,[00:06:31:05],00:06:36:24,"And he, drafted his own speech, which thankfully, thanks to Library of Congress, we have we have his.",education
Daniel Immerwahr,[00:06:37:01],00:06:37:13,Draft.,
Daniel Immerwahr,[00:06:37:13],00:06:44:16,"Number one, which then the president marked up, with, with various edits over the course of the day. These.",
Daniel Immerwahr,[00:06:44:16],00:06:46:24,Edits are somewhat consequential. Like the first.,
Daniel Immerwahr,[00:06:46:24],00:06:50:07,Line is an incredible edit. The original speeches.,
Daniel Immerwahr,[00:06:50:09],00:06:50:23,Yesterday.,
Daniel Immerwahr,[00:06:50:23],00:06:52:13,"December 7th, a date.",
Daniel Immerwahr,[00:06:52:13],00:06:55:00,Which will live in world history.,
Daniel Immerwahr,[00:06:55:02],00:06:56:19,And then FDR changed it. And you can see.,
Daniel Immerwahr,[00:06:56:19],00:07:02:17,Him cross out world history to make it a date which will live in infamy. That's a really.,
Daniel Immerwahr,[00:07:02:17],00:07:08:09,Good at it. I often share that with my undergraduate students as an example of the power of editing.,literature
Daniel Immerwahr,[00:07:08:11],00:07:09:21,But he made a number of other.,
Daniel Immerwahr,[00:07:09:21],00:07:16:09,"Edits, and one of those edits is to the, I think, seventh line. I'll read it if it's if it's too small on your screens,",
Daniel Immerwahr,[00:07:16:11],00:07:20:12,"Where he did a similar edit. And this is where, he's describing the location.",
Daniel Immerwahr,[00:07:20:17],00:07:24:09,Of the attack. So originally it had said Japanese.,
Daniel Immerwahr,[00:07:24:09],00:07:24:14,Air.,
Daniel Immerwahr,[00:07:24:14],00:07:26:03,Squadrons commence bombing.,
Daniel Immerwahr,[00:07:26:03],00:07:29:21,In Hawaii and the Philippines. So he's using the same pair.,
Daniel Immerwahr,[00:07:29:21],00:07:34:05,"Of targets that, his wife had used, that is undersecretary of state had used. But.",
Daniel Immerwahr,[00:07:34:05],00:07:35:09,"Then, you see, he crosses.",
Daniel Immerwahr,[00:07:35:09],00:07:35:23,It out and.,
Daniel Immerwahr,[00:07:35:23],00:07:37:07,Replaces Hawaii.,
Daniel Immerwahr,[00:07:37:07],00:07:38:06,And Philippines with.,
Daniel Immerwahr,[00:07:38:06],00:07:39:12,Just Oahu.,
Daniel Immerwahr,[00:07:39:12],00:07:43:00,Which is an island in Hawaii. And and throughout the speech.,
Daniel Immerwahr,[00:07:43:02],00:07:43:15,FDR did a.,
Daniel Immerwahr,[00:07:43:15],00:07:47:08,Curious thing which he demoted. Prominent references to the Philippines.,
Daniel Immerwahr,[00:07:47:10],00:07:48:20,Focused his description.,
Daniel Immerwahr,[00:07:48:20],00:07:51:04,Of the attack entirely on Hawaii.,
Daniel Immerwahr,[00:07:51:06],00:07:52:17,And then there's a lesser.,
Daniel Immerwahr,[00:07:52:17],00:07:55:00,Known back portion of the speech where FDR.,
Daniel Immerwahr,[00:07:55:05],00:07:55:17,Lists.,
Daniel Immerwahr,[00:07:55:17],00:07:56:24,The other places that Japan.,
Daniel Immerwahr,[00:07:56:24],00:07:57:23,Attacked.,
Daniel Immerwahr,[00:07:58:00],00:08:00:02,"Guam, the Philippines, Hong Kong, Malaya.",
Daniel Immerwahr,[00:08:00:07],00:08:00:21,But he gives a.,
Daniel Immerwahr,[00:08:00:21],00:08:08:03,"Mixed list, so you can't really tell which are the British territories and which of the U.S. territories. And he certainly doesn't explain.",
Daniel Immerwahr,[00:08:08:05],00:08:09:04,It's a curious thing.,
Daniel Immerwahr,[00:08:09:04],00:08:17:16,"And you might wonder, why FDR made that edit to the speech, why he took the Philippines out, from prominent reference in the speech. And.",
Daniel Immerwahr,[00:08:17:16],00:08:18:24,And it's actually hard to.,
Daniel Immerwahr,[00:08:18:24],00:08:23:01,"Know why. Or at least we don't, you know, we can't scan his brain. We don't know exactly why, but.",
Daniel Immerwahr,[00:08:23:01],00:08:24:05,I have a pretty good guess.,
Daniel Immerwahr,[00:08:24:05],00:08:26:13,As to why this happened.,
Daniel Immerwahr,[00:08:26:15],00:08:28:11,"At the time,",
Daniel Immerwahr,[00:08:28:13],00:08:36:04,"People, there was a lot of opinion polls about, you know, people in his audience asked.",
Daniel Immerwahr,[00:08:36:06],00:08:36:15,If the.,
Daniel Immerwahr,[00:08:36:15],00:08:48:06,"United States would defend, militarily or if the United States should defend militarily, various places if they were attacked. So if Canada's attack, should the U.S. military defend it, if the Philippines is attacked, etc..",conflict
Daniel Immerwahr,[00:08:48:08],00:08:50:03,And what what was noticeable.,
Daniel Immerwahr,[00:08:50:03],00:08:51:14,On those opinion polls is that the.,
Daniel Immerwahr,[00:08:51:14],00:08:52:14,Far western.,
Daniel Immerwahr,[00:08:52:14],00:08:57:04,"Territories of the United States, the Philippines, Guam, American Samoa did.",
Daniel Immerwahr,[00:08:57:04],00:08:58:08,Extremely poorly.,
Daniel Immerwahr,[00:08:58:08],00:09:04:24,In polling there were very few people in the audience who wanted to see the US military brought to the defense of such far western.,conflict
Daniel Immerwahr,[00:09:04:24],00:09:07:19,Territories. Hawaii was a little different.,
Daniel Immerwahr,[00:09:07:19],00:09:08:24,Hawaii had a far.,
Daniel Immerwahr,[00:09:08:24],00:09:12:02,"Larger white population, was a little closer to.",
Daniel Immerwahr,[00:09:12:02],00:09:13:02,The continental United.,
Daniel Immerwahr,[00:09:13:02],00:09:16:13,"States, and for that reason it was easier, I think, for.",
Daniel Immerwahr,[00:09:16:13],00:09:22:03,"People in his audience, to see, to see the Hawaii as.",
Daniel Immerwahr,[00:09:22:05],00:09:23:24,"American, but even.",
Daniel Immerwahr,[00:09:23:24],00:09:35:15,"Still, it was kind of difficult. There's a poll from fortune magazine, in 1940, in which fortune it's the same kind of poll that I just described. Fortune asked its readers, which countries should the United States defend? If it came.",
Daniel Immerwahr,[00:09:35:15],00:09:37:11,"To war, and 55.",
Daniel Immerwahr,[00:09:37:11],00:09:41:08,Percent of them suggested that it would be worth defending Hawaii?,
Daniel Immerwahr,[00:09:41:10],00:09:42:01,Officials.,
Daniel Immerwahr,[00:09:42:01],00:09:51:02,"In the Territory of Hawaii hit the roof when they saw this poll, and they sent angry letters to fortune, and they had their two objections. One of them, I think you can probably.",
Daniel Immerwahr,[00:09:51:02],00:09:56:22,Guess 55%. That is an awfully and sort of terrifyingly low number.,
Daniel Immerwahr,[00:09:56:24],00:10:05:15,"They thought, are you saying that only 55% of the country believes that we merit and, defense in case that we were attacked, that that's very scary. This is happening just.",
Daniel Immerwahr,[00:10:05:15],00:10:07:06,Before the Pearl Harbor attack.,
Daniel Immerwahr,[00:10:07:06],00:10:11:00,And it's not at all unthinkable that the Japanese would attack at Hawaii.,
Daniel Immerwahr,[00:10:11:02],00:10:11:15,The other.,
Daniel Immerwahr,[00:10:11:15],00:10:16:15,"Objection, I think, is a little subtler, but but it's also really important. The,",
Daniel Immerwahr,[00:10:16:17],00:10:19:02,The officials in the Territory of Hawaii objected to the.,
Daniel Immerwahr,[00:10:19:02],00:10:21:01,Wording of the poll.,
Daniel Immerwahr,[00:10:21:03],00:10:33:03,"Which countries should the United States defend? Which countries? Hawaii is not a country. Hawaii is an integral part of the United States. Like New York, new York is not a country that the United States should consider defending. New York is.",
Daniel Immerwahr,[00:10:33:03],00:10:34:04,Part of the United States.,
Daniel Immerwahr,[00:10:34:08],00:10:42:03,So is Hawaii. And the way your wording the question sets people up to misunderstand that really important fact at a.,
Daniel Immerwahr,[00:10:42:03],00:10:43:17,"Time, officials in Hawaii felt.",
Daniel Immerwahr,[00:10:43:18],00:10:44:01,When we.,
Daniel Immerwahr,[00:10:44:01],00:10:45:20,Really need people to understand.,
Daniel Immerwahr,[00:10:45:20],00:10:50:00,"That, I think, FDR had some sense in his.",
Daniel Immerwahr,[00:10:50:00],00:10:51:05,Mind about the.,
Daniel Immerwahr,[00:10:51:07],00:10:53:07,Unsteady status.,
Daniel Immerwahr,[00:10:53:09],00:10:55:14,"In, in the years of a lot of his audience.",
Daniel Immerwahr,[00:10:55:16],00:10:58:20,"Of Hawaii, because he made one final.",
Daniel Immerwahr,[00:10:58:20],00:11:07:06,"Adjustment to the speech, and he made it, in between the last drafts that we have with all his markings, and the.",
Daniel Immerwahr,[00:11:07:08],00:11:07:23,Version that.,
Daniel Immerwahr,[00:11:07:23],00:11:16:19,"He verbally gave that we have a recording of. And so I don't exactly know when he made it, but I like to imagine that he was approaching the microphone and he just paused and thought.",
Daniel Immerwahr,[00:11:16:21],00:11:18:11,One final adjustment.,
Daniel Immerwahr,[00:11:18:13],00:11:19:01,And it's.,
Daniel Immerwahr,[00:11:19:01],00:11:20:01,An adjustment to.,
Daniel Immerwahr,[00:11:20:01],00:11:33:23,"That seventh line that I've already drawn your attention to. In the penultimate draft. FDR had said, that this was an attack on the island of Oahu, and then he changed it, and he changed it. To add just one more.",literature
Daniel Immerwahr,[00:11:33:23],00:11:34:21,Word.,
Daniel Immerwahr,[00:11:34:23],00:11:36:15,To the American island.,
Daniel Immerwahr,[00:11:36:15],00:11:37:12,Of Oahu.,
Daniel Immerwahr,[00:11:37:14],00:11:40:05,FDR was nervous that people in his audience would.,
Daniel Immerwahr,[00:11:40:05],00:11:41:15,Not understand that.,
Daniel Immerwahr,[00:11:41:15],00:11:43:18,Hawaii was actually part of the United States.,
Daniel Immerwahr,[00:11:43:21],00:11:44:19,And he badly.,
Daniel Immerwahr,[00:11:44:19],00:11:45:18,Needed them to understand.,
Daniel Immerwahr,[00:11:45:18],00:11:46:21,"That, because otherwise.",
Daniel Immerwahr,[00:11:46:21],00:11:50:04,"The entire speech makes no sense, because the speech is.",
Daniel Immerwahr,[00:11:50:06],00:11:52:05,The Empire of Japan attacked the.,
Daniel Immerwahr,[00:11:52:05],00:12:00:04,"United States of America. And so FDR, you can see, was already, I strongly suspect, very nervous about whether people would understand the Philippines.",
Daniel Immerwahr,[00:12:00:09],00:12:03:15,To be the United States of America. But I think he was nervous.,
Daniel Immerwahr,[00:12:03:15],00:12:04:13,"About Hawaii, too.",
Daniel Immerwahr,[00:12:04:17],00:12:05:01,Which was.,
Daniel Immerwahr,[00:12:05:01],00:12:06:18,"Also, like the Philippines, a territory.",
Daniel Immerwahr,[00:12:06:23],00:12:07:05,Not.,
Daniel Immerwahr,[00:12:07:05],00:12:13:22,"A state. And hence his rounding up to, Hawaii to America, the American island of Oahu.",
Daniel Immerwahr,[00:12:13:24],00:12:17:04,A place where American lives were lost. The speech was.,
Daniel Immerwahr,[00:12:17:04],00:12:20:21,A big deal when it was given. People recognize that at the time.,
Daniel Immerwahr,[00:12:20:23],00:12:26:03,"And but I think it didn't fully settle the issue. FDR, asked people.",
Daniel Immerwahr,[00:12:26:03],00:12:31:11,"Not in this speech, but in a series of subsequent speeches to buy Atlas and maps.",
Daniel Immerwahr,[00:12:31:11],00:12:32:22,And so that they could follow.,
Daniel Immerwahr,[00:12:32:22],00:12:34:12,Along as he narrated the war through.,
Daniel Immerwahr,[00:12:34:12],00:12:36:01,A series of fireside chats.,
Daniel Immerwahr,[00:12:36:03],00:12:50:15,"And it was actually a bonanza for map publishers, as suddenly they found there was a huge national audience for for Atlas, as people wanted to be able to follow the war. And you would see these, publishers come out with new wartime atlases that were specifically issued for the war.",conflict
Daniel Immerwahr,[00:12:50:17],00:12:50:24,I have an.,
Daniel Immerwahr,[00:12:50:24],00:12:52:07,Account of a.,
Daniel Immerwahr,[00:12:52:09],00:12:53:04,Classroom.,education
Daniel Immerwahr,[00:12:53:04],00:13:07:00,"Of of seventh grade girls in Kalamazoo, Michigan, who were doing exactly what the president had asked for, and they had purchased a wartime atlas, Rand McNally Ready Reference Atlas of the world, which was published, during World War two for.",education;conflict
Daniel Immerwahr,[00:13:07:00],00:13:09:00,The purposes of World War two. And they're doing.,conflict
Daniel Immerwahr,[00:13:09:00],00:13:17:18,"Exactly what the president had asked. They're following along on the various pages of the atlas. They're learning about the world as the war, carries, American soldiers to various parts of it.",education;conflict
Daniel Immerwahr,[00:13:17:20],00:13:18:21,And then one seventh.,
Daniel Immerwahr,[00:13:18:21],00:13:19:22,Grade girl turns to.,
Daniel Immerwahr,[00:13:19:22],00:13:20:01,An.,
Daniel Immerwahr,[00:13:20:01],00:13:29:07,"Unexpected page, a kind of uninteresting one on the same page, at the back of the atlas, this page here, the index of foreign cities and physical features. It's just an index. It tells you.",
Daniel Immerwahr,[00:13:29:07],00:13:30:00,Where you'll.,
Daniel Immerwahr,[00:13:30:00],00:13:41:21,"Find things on, on various maps. But it's an index of foreign cities and physical features. So a foreign places and the seventh grade girl looks at this and notices that on this list of foreign places.",education
Daniel Immerwahr,[00:13:41:23],00:13:44:02,She sees Hawaii and she.,
Daniel Immerwahr,[00:13:44:02],00:13:44:22,Also sees the.,
Daniel Immerwahr,[00:13:44:22],00:13:50:18,"Philippines. And hey, there's Puerto Rico. Which leads to a real question. What's going.",
Daniel Immerwahr,[00:13:50:18],00:13:54:09,"On? I don't know exactly how this played out in the seventh grade classroom, but.",
Daniel Immerwahr,[00:13:54:15],00:13:55:13,It's some version of this.,
Daniel Immerwahr,[00:13:55:13],00:13:57:24,The girl asks the teacher. The teacher poses it to the class.,
Daniel Immerwahr,[00:13:58:05],00:13:59:07,The entire class.,
Daniel Immerwahr,[00:13:59:07],00:14:00:14,Gets in on this question.,
Daniel Immerwahr,[00:14:00:17],00:14:02:04,To the point where they.,
Daniel Immerwahr,[00:14:02:13],00:14:04:18,"Write to Rand McNally, the publisher of this.",
Daniel Immerwahr,[00:14:04:18],00:14:05:15,"Atlas, asking.",
Daniel Immerwahr,[00:14:05:15],00:14:19:20,"What gaps why are these places listed as foreign? Hawaii is not part of the United States. What are you talking about? FDR gave this whole speech where he talked about the United States being attacked at Hawaii. Rand McNally, the map publisher, wrote back to.",
Daniel Immerwahr,[00:14:19:20],00:14:20:08,The seventh grade.,
Daniel Immerwahr,[00:14:20:08],00:14:21:19,Girls to explain.,
Daniel Immerwahr,[00:14:21:19],00:14:28:04,"Its reasoning. And so this is the sound of, a map publisher explaining to a group of seventh grade girls in Kalamazoo.",
Daniel Immerwahr,[00:14:28:04],00:14:30:01,"Michigan, why it is appropriate.",
Daniel Immerwahr,[00:14:30:01],00:14:32:16,To list Hawaii as foreign.,
Daniel Immerwahr,[00:14:32:18],00:14:34:02,Although Hawaii belongs.,
Daniel Immerwahr,[00:14:34:02],00:14:36:06,"To the United States, says Rand McNally.",
Daniel Immerwahr,[00:14:36:08],00:14:37:14,It is not an integral part.,
Daniel Immerwahr,[00:14:37:14],00:14:40:00,Of this country. It is foreign to our continental.,
Daniel Immerwahr,[00:14:40:00],00:14:42:01,Shores and therefore cannot logically.,
Daniel Immerwahr,[00:14:42:01],00:14:43:07,Be shown in the United.,
Daniel Immerwahr,[00:14:43:07],00:14:46:08,States proper index.,
Daniel Immerwahr,[00:14:46:10],00:14:47:13,I don't know what that means.,
Daniel Immerwahr,[00:14:47:13],00:14:50:03,"I don't know what that means, and I don't think the.",
Daniel Immerwahr,[00:14:50:03],00:15:09:00,"Girls did either. They were sort of furious. They, took that correspondence and, they first responded to Rand McNally, and then they forwarded the entire thing to the Secretary of the interior, which is how I found it. And they gave their commentary on Rand McNally's, reasoning, which is this.",
Daniel Immerwahr,[00:15:09:02],00:15:09:23,We believe this.,
Daniel Immerwahr,[00:15:09:23],00:15:19:08,"Statement is not true. It is an alibi instead of an explanation. The Department of Interior wrote back to those seventh grade girls in Kalamazoo, Michigan.",
Daniel Immerwahr,[00:15:19:14],00:15:21:18,"And confirmed that they were entirely right. Yes, Hawaii.",
Daniel Immerwahr,[00:15:21:18],00:15:25:02,"Is part of the United States, the Philippines where we go these places are part of the United.",
Daniel Immerwahr,[00:15:25:02],00:15:32:13,States. And yet that question what's up with Hawaii? Is the Philippines part of the United States? What's going on with Puerto Rico? That question and.,
Daniel Immerwahr,[00:15:32:13],00:15:36:17,"Questions like it? I think, have haunted US history. I.",
Daniel Immerwahr,[00:15:36:17],00:15:37:14,Think if you ask most.,
Daniel Immerwahr,[00:15:37:14],00:15:39:00,People in the United States to.,
Daniel Immerwahr,[00:15:39:01],00:15:40:08,Just picture.,
Daniel Immerwahr,[00:15:40:08],00:16:00:00,"The country mentally like to map it mentally, to imagine what it looks like, the, the mental map that you would normally get would be this map. The, political scientist Benedict Anderson referred to maps like these as logo maps because that, you know this if the United States had a logo, like a brand's, this might be it.",
Daniel Immerwahr,[00:16:00:00],00:16:04:12,And he's not entirely wrong about that.,
Daniel Immerwahr,[00:16:04:14],00:16:05:12,You know.,
Daniel Immerwahr,[00:16:05:14],00:16:14:19,"This map isn't entirely right. If you've seen maps of the United States, you were aware that, Alaska and Hawaii, which are now states, are usually shown on those maps of the United States. And.",
Daniel Immerwahr,[00:16:14:19],00:16:16:13,"If you've taken a U.S. history class, you're also.",
Daniel Immerwahr,[00:16:16:13],00:16:23:12,"Aware that this isn't a permanent map of the United States. In fact, the country, as historians are always eager to tell students.",
Daniel Immerwahr,[00:16:23:14],00:16:24:22,Had a different shape at its start.,
Daniel Immerwahr,[00:16:24:22],00:16:31:23,"At its founding, it was a much smaller, feels like now stub of a country, on the eastern seaboard.",
Daniel Immerwahr,[00:16:32:00],00:16:32:11,And then it was.,
Daniel Immerwahr,[00:16:32:11],00:16:33:19,Only through a series of.,
Daniel Immerwahr,[00:16:34:00],00:16:34:17,Wars.,
Daniel Immerwahr,[00:16:34:17],00:16:37:11,Purchases and indigenous possessions in the 19th.,
